"","OBJECTID.x","Location.Description","Size.1","Last.Update.Date","Last.Editor","Size.2","Size.3","CatchID","DrainID","Inspection.Status","Facility.Type","Jurisdiction","Watershed.Management.Area","GlobalID","PRIORITY","Flow.Monitoring.Status","Flow.Monitoring.Deploy.Date","Flow.Monitoring.Return.Date","Next.Inspection.Date","POINT_X","POINT_Y","Persistent.Flow","Facility.Identifier.x","Survey.Link","Outfall.Capture.Feasibility.Study","Dry.Weather.Samples","Accessibility","Flow.Measurement.Count","Last.Discharge.Observation","Last.Discharge.Measurement.Trend","AVGFLOWWIDTH","AVGFLOWDEPTH","AVGFLOWVEL","AVGDISCHARGE","MAXDISCHARGE","MINDISCHARGE","GlobalID.y","Created.User","Created.Date","Last.Edited.User","Last.Edited.Date","OBJECTID.y","Area..Acres.","Facility.Identifier.y","Shape.STArea..","Shape.STLength.."
"1",1,"J02P05.  Border of Aliso and Wood Canyons Park and Crimson Cyn",66,"2021-08-27 19:38:54","OCPWPublisher",NA,NA,9007,"J01","Verified","Outfall","Aliso Viejo","South","{6367FF6D-1FC8-4E27-B1F3-A8005D44345E}","Priority","Complete","2016-06-09 7:00:00","2016-06-24 7:00:00",NA,-117.7378266,33.55864514,"Yes","J01-9007-1 (J02P05)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={6367FF6D-1FC8-4E27-B1F3-A8005D44345E}&field:Station=J01-9007-1","Yes","Yes","Easily accessible",17,0.06,"Below Average Discharge",0.92058823,0.0542647,2.77529411,0.118431,0.237944,0.042,"{C9020375-87C0-473E-BAE6-BD728E2CEE65}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1126,145.6125777,"J01-9007-1",6342864.117,12832.36304
"2",2,"",NA,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9364,"J01","Not-Found","Outfall","Orange Co","South","{B505EE57-E554-47FD-BAEF-02EE63B94683}","Not A Priority","","","",NA,-117.7224306,33.54941526,"","J01-9364-1","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B505EE57-E554-47FD-BAEF-02EE63B94683}&field:Station=J01-9364-1","No","No","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"",66,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9364,"J01","Verified","Outfall","Orange Co","South","{45DC9F7E-3DD3-44F6-A4A9-350A8C32653C}","Not A Priority","","","",NA,-117.7212902,33.54985427,"Yes","J01-9364-3 (J01P21)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={45DC9F7E-3DD3-44F6-A4A9-350A8C32653C}&field:Station=J01-9364-3","No","No","Easily accessible",1,3.673333,"",5.8,1.9,18,3.673333,3.673333,3.673333,"{5F51144B-37B7-4E77-9ACA-B55B0166A341}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1161,167.8733715,"J01-9364-3",7312541.274,13461.93491
"4",4,"J03P02.Alicia Parkway near Aliso and Wood Canyon Park ",72,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9221,"J03","Verified","Outfall","Laguna Niguel","South","{B349E3D1-F18C-44B9-A54D-9A854691EE96}","Priority","Complete","2016-06-01 7:00:00","2016-06-15 7:00:00",NA,-117.7171712,33.54994727,"Yes","J03-9221-1 (J03P02)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B349E3D1-F18C-44B9-A54D-9A854691EE96}&field:Station=J03-9221-1 (J03P02)","Yes","Yes","Easily accessible",14,0.16,"Below Average Discharge",1.28214285,0.08785714,4.63642857,0.241424,0.6,0.042,"{56C89101-2FC4-482C-A908-46575D8C6DEC}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 19:10:27",1174,565.7093729,"J03-9221-1 (J03P02)",24642223.5,25366.26918
"5",5,"L01S04",96,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,727,"L01","Verified","Outfall","Dana Point","South","{798A1AA2-7443-4216-9DB2-0FB1B57E4222}","Priority","Complete","2017-05-10 0:00:00","2017-07-03 0:00:00",NA,-117.6810116,33.47115503,"Unknown","L01-727-1 (L01S04)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={798A1AA2-7443-4216-9DB2-0FB1B57E4222}&field:Station=L01-727-1 (L01S04)","No","Yes","Easily accessible",7,0.103019,"Below Average Discharge",1.65857142,0.08857142,7.03142857,0.159367,0.305882,0.084857,"{D306992E-C596-428D-98B4-E355AFC81D37}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1279,458.4026999,"L01-727-1 (L01S04)",19967959.38,36080.70613
"6",6,"L02P25",90,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,166,"L02","Verified","Outfall","Rancho Santa Margarita","South","{FF3574C5-E460-4A7F-94BD-7DEF35298977}","Priority","Complete","2016-10-04 7:00:00","2016-12-08 8:00:00",NA,-117.6178921,33.63763055,"Yes","L02-166-2 (L02P25)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={FF3574C5-E460-4A7F-94BD-7DEF35298977}&field:Station=L02-166-2 (L02P25)","No","No","Easily accessible",13,0.0924,"Below Average Discharge",1.53,0.0876923,3.92923076,0.233754,0.507,0.0924,"{3A11CF81-5CBC-49DA-954D-B3E5E34A8451}","OCENVRESUSER","2020-01-07 16:36:20","OCENVRESUSER","2020-01-14 18:44:14",4073,363.9529338,"L02-166-2 (L02P25)",15853740.42,31309.94429
"7",7,"L02P45 (access at Arroyo Vista and Paraiso)",42,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,204,"L02","Verified","Outfall","Rancho Santa Margarita","South","{41CB5673-9B11-493E-B0F9-13C85AD6312E}","Not A Priority","","","",NA,-117.6233178,33.61913433,"Yes","L02-204-1 (L02P45)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={41CB5673-9B11-493E-B0F9-13C85AD6312E}&field:Station=L02-204-1 (L02P45)","No","No","Difficult accessibility",7,0.003333,"Below Average Discharge",0.75714285,0.02857142,6.22857142,0.024923,0.06,0.003333,"{D6EF1DF7-533F-4B7B-B16F-C947417EFC58}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1313,53.98208335,"L02-204-1 (L02P45)",2351452.227,6730.601747
"8",8,"L02P50",102,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,374,"L02","Verified","Outfall","Orange Co","South","{5DF64E4A-01D2-4F6C-919E-DCBB0BDD3E55}","Priority","Complete","2016-05-25 7:00:00","2016-06-09 7:00:00",NA,-117.6460125,33.56985508,"Yes","L02-374-1 (L02P50)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={5DF64E4A-01D2-4F6C-919E-DCBB0BDD3E55}&field:Station=L02-374-1 (L02P50)","No","Yes","Easily accessible",10,0.684,"Above Average Discharge",1.331,0.097,4.215,0.202424,0.684,0.042,"{4B2AD31D-E8DB-4FB6-878B-D604335C8FFB}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1318,456.4819718,"L02-374-1 (L02P50)",19884292.78,33704.95009
"9",9,"COL02P55",42,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,401,"L02","Verified","Outfall","Orange Co","South","{6D0EBCA6-4D3F-4C1C-894E-0641CFB65C37}","Not A Priority","","","",NA,-117.6507363,33.56248669,"Yes","L02-401-2 (COL02P55)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={6D0EBCA6-4D3F-4C1C-894E-0641CFB65C37}&field:Station=L02-401-2 (COL02P55)","No","No","Easily accessible",NA,NA,"",NA,NA,NA,NA,NA,NA,"{1725FC96-E6AB-4C95-9861-4BD007E7CE9D}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1322,116.8631183,"L02-401-2 (COL02P55)",5090541.574,14120.44745
"10",10,"J01P26",78,"2021-07-16 18:12:34","OCENVRESUSER",NA,NA,9144,"J01","Verified","Outfall","Aliso Viejo","South","{55C07C97-F5A8-4AD9-BDD6-F282EF1F22F5}","Priority","","","",NA,-117.7186966,33.5591058,"Yes","J01-9144-4 (J01P26)","https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={55C07C97-F5A8-4AD9-BDD6-F282EF1F22F5}&field:Station=J01-9144-4 (J01P26)","No","No","Easily accessible",4,0.0105,"Above Average Discharge",1.3825,0.06921875,117,0.006698,0.0105,0.001406,"{7C6E22B2-F5EA-4B6D-8719-DA1148FECB75}","OCENVRESUSER","2019-06-26 20:29:19","OCENVRESUSER","2020-01-14 18:44:14",1148,193.4929599,"J01-9144-4 (J01P26)",8428527.077,19730.35382
