FACILITYID,JURISDICTI2,Acres,AREA,PERCENTAGE
DP02-12131-1,LAGUNA BEACH,10.34018744,10.32819284,100
DP04-12015-1,LAGUNA BEACH,118.0997707,117.9627752,65.93698008
DP04-12015-1,LAGUNA NIGUEL,60.7117124,60.71069578,33.93511159
DP04-12015-1,ORANGE CO,0.22883035,0.22882955,0.127907549
DP05-12190-1,DANA POINT,50.98801866,50.98384767,100
DP06-12106-1,DANA POINT,66.55078859,66.54534452,100
I00-11437-1,LAGUNA BEACH,584.5185296,583.8404889,96.47184583
I00-11437-1,ORANGE CO,21.35220326,21.35212857,3.528154171
I00-11453-1,LAGUNA BEACH,342.487129,342.0898444,100
I00-11468-1,LAGUNA BEACH,205.1889505,204.9509316,91.76756832
I00-11468-1,ORANGE CO,18.38613081,18.3860665,8.232432026
I00-11518-1,LAGUNA BEACH,624.5335654,623.8091072,96.69041979
I00-11518-1,ORANGE CO,21.35220326,21.35212857,3.309580209
I01-11010-1,LAGUNA BEACH,12.16319583,12.14908654,100
I01-11010-2,LAGUNA BEACH,21.94677037,21.92131215,99.97705013
I01-11010-2,ORANGE CO,0.005211875,0.005031723,0.022948298
I01-11015-1,LAGUNA BEACH,2.534402341,2.531462438,100.0000115
I01-11015-2,LAGUNA BEACH,24.11137886,24.08340969,9.814813201
I01-11015-2,ORANGE CO,229.2178401,221.2947674,90.18518695
I01-11021-1,LAGUNA BEACH,15.04177941,15.02433096,100
I01-11023-1,LAGUNA BEACH,1.417887999,1.41624325,33.40107474
I01-11023-1,ORANGE CO,2.924972976,2.823869268,66.59891828
I01-11023-2,LAGUNA BEACH,16.83509957,16.81557088,100
I01-11023-3,LAGUNA BEACH,0.732428491,0.731578875,2.021964214
I01-11023-3,ORANGE CO,36.71924031,35.45001446,97.97803498
I01-11023-4,LAGUNA BEACH,6.447827182,6.44034771,99.99999471
I01-11023-5,LAGUNA BEACH,1.053108911,1.051887306,8.451122386
I01-11023-5,ORANGE CO,11.80280145,11.39482948,91.54887409
I01-11023-6,LAGUNA BEACH,2.133468536,2.130993715,5.386925399
I01-11023-6,ORANGE CO,38.76766463,37.42763358,94.61307583
I01-11059-1,LAGUNA BEACH,282.771915,282.4438999,99.99999976
I01-11059-2,LAGUNA BEACH,9.298575541,9.287789205,100
I01-11077-1,LAGUNA BEACH,109.1753484,109.0487051,92.37171423
I01-11077-1,ORANGE CO,9.327939735,9.005513067,7.628285715
I01-11093-1,LAGUNA BEACH,13.25437584,13.23900078,15.10734659
I01-11093-1,ORANGE CO,77.05740772,74.3938653,84.89265355
I01-11093-2,LAGUNA BEACH,3.180440929,3.176751622,1.070402039
I01-11093-2,ORANGE CO,304.1164046,293.6044114,98.92959796
I01-11216-1,ALISO VIEJO,203.5235098,197.8417541,85.52948144
I01-11216-1,LAGUNA WOODS,68.62496037,29.5633434,12.7806056
I01-11216-3,ALISO VIEJO,1.380449649,1.341911705,27.53095221
I01-11216-3,LAGUNA WOODS,8.199428271,3.532279107,72.46900588
I01-11216-4,ALISO VIEJO,68.46768322,66.55627434,100
I01-11217-1,ALISO VIEJO,36.68870361,35.66446691,100
I01-11343-1,LAGUNA WOODS,77.39360002,33.34083637,100
I01-11343-2,LAGUNA WOODS,107.3524162,46.24696799,98.79491313
I01-11487-1,ALISO VIEJO,543.7338457,528.5544551,9.42798961
I01-11487-1,IRVINE,12281.72099,27.31992357,0.487313943
I01-11487-1,LAGUNA BEACH,1611.895459,1610.025662,28.71852666
I01-11487-1,LAGUNA WOODS,534.7197383,230.3550073,4.108913651
I01-11487-1,NEWPORT BEACH,891.2760213,5.779558064,0.103091768
I01-11487-1,ORANGE CO,3280.467663,3169.981671,56.5439454
I01-11487-2,LAGUNA BEACH,134.8813118,134.7248497,100.0000001
I01-11502-1,LAGUNA BEACH,24.53821534,24.50975105,94.54079859
I01-11502-1,LAGUNA WOODS,3.28531571,1.415300148,5.45919891
I01-11502-2,ALISO VIEJO,0.005797298,0.005635455,0.048588247
I01-11502-2,LAGUNA BEACH,0.106832376,0.10670845,0.92002798
I01-11502-2,LAGUNA WOODS,26.66239759,11.4860484,99.03138771
I01-11503-1,ALISO VIEJO,1.077998896,1.047904455,44.89420078
I01-11503-1,LAGUNA BEACH,1.287753839,1.286260047,55.10580333
I01-11503-2,ALISO VIEJO,0.754631294,0.73356429,100
I01-11503-3,ALISO VIEJO,93.59328718,90.98044807,100
J01-10004-1,LAKE FOREST,1506.373175,466.5905351,97.22901103
J01-10004-2,LAKE FOREST,37.97389578,11.76219854,100
J01-10006-1,LAKE FOREST,74.91051418,23.2031063,100
J01-10012-3,MISSION VIEJO,5.986544433,5.986516204,19.22071006
J01-10012-3,ORANGE CO,32.12662443,18.90289392,60.69089784
J01-10012-3,RANCHO SANTA MARGARITA,6.25676584,6.256766146,20.08839263
J01-10017-1 (J01TBN4),ALISO VIEJO,17.92293631,17.42258259,100
J01-10018-1 (J01TBN5),ALISO VIEJO,3.327136106,3.234252614,100
J01-10019-1 (J01P33),ALISO VIEJO,75.03384406,72.93912799,100
J01-10041-2,LAGUNA HILLS,0.044153567,0.036310178,0.009690605
J01-10041-2,LAGUNA NIGUEL,374.6646232,374.6583494,99.9903098
