Accessibility,Facility Identifier,JURISDICTI,Area (Acres),SIZE1,INSPECTED,GlobalID,PERSISTENTFLOW,POINT_Y,POINT_X
Difficult accessibility,DP01-12022-1,DANA POINT,NA,48,1,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},Unknown,33.464085,-117.71479
Difficult accessibility,DP01-12022-2,DANA POINT,NA,54,1,{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},Unknown,33.466503,-117.716091
Easily accessible,DP04-12015-1,LAGUNA BEACH,178.9021437,48,1,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Yes,33.50464905,-117.7474477
Easily accessible,DP06-12106-1,DANA POINT,66.54528569,60,1,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},Yes,33.46389565,-117.688411
Difficult accessibility,I00-11437-1,LAGUNA BEACH,605.1920824,60,1,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},Yes,33.53349571,-117.7702547
Easily accessible,I00-11453-1,LAGUNA BEACH,342.0895419,48,1,{171AC70D-B722-42FD-9ADA-813B331846A7},Unknown,33.53709679,-117.7805154
Inaccessible,I00-11468-1,LAGUNA BEACH,223.3367999,48,1,{60A6CD6E-DA16-422B-8EDA-6D2EFD365167},Yes,33.53565787,-117.7690133
Easily accessible,I00-11518-1,LAGUNA BEACH,645.1606654,84,1,{77142EB8-ED5A-457E-A15B-0DA4FE92CCF2},Unknown,33.52971644,-117.7733308
Easily accessible,I00-11518-2,LAGUNA BEACH,NA,48,1,{43927D34-5C8D-480F-9527-A565DA0C7C0C},Unknown,33.528629,-117.772636
Difficult accessibility,I01-11010-1,LAGUNA BEACH,12.1490758,48,1,{25FC0B7A-A34B-48D1-86FD-00FA62D21B2B},Yes,33.54416454,-117.7834119
Easily accessible,I01-11015-2,LAGUNA BEACH,245.3779599,36,1,{7466B2A4-CC2D-4862-BC7C-0ABA52F841B0},Unknown,33.54790609,-117.7815571
Easily accessible,I01-11015-3,LAGUNA BEACH,NA,36,1,{DB9C2669-FA77-4FA1-A76C-F2D11E0410E4},Unknown,33.54793033,-117.7815464
Easily accessible,I01-11023-1,LAGUNA BEACH,4.24010907,36,1,{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},Unknown,33.54963669,-117.7803262
Easily accessible,I01-11023-2,LAGUNA BEACH,16.81555601,36,1,{038D9EF3-E345-4A2B-A2E8-4C86B0814F1F},Unknown,33.55023025,-117.7795866
Easily accessible,I01-11023-3,LAGUNA BEACH,36.18156164,36,1,{B1E7A48B-1DC2-43B1-BE7B-17B6936EF467},Unknown,33.55073178,-117.7789163
Easily accessible,I01-11023-4,LAGUNA BEACH,6.44034236,36,1,{4299039A-0613-47FF-B808-7CF8CD065E00},Unknown,33.55119472,-117.7782698
Easily accessible,I01-11023-5,LAGUNA BEACH,12.44670623,36,1,{37C6F748-E62C-4DCD-89A7-0CB6EFB76B47},Unknown,33.55124303,-117.7782669
Easily accessible,I01-11059-1,LAGUNA BEACH,282.4436509,60,1,{C71E52F8-AC08-4469-BA89-8E02697C744D},Unknown,33.55357149,-117.7755089
Easily accessible,I01-11059-2,LAGUNA BEACH,9.28778099,36,1,{8A75D24A-9302-4837-9C8D-5CEE11DCAB92},Unknown,33.5535769,-117.7754408
Easily accessible,I01-11059-3,LAGUNA BEACH,NA,36,1,{DB859266-5BF1-4E9B-91AB-9674CD92B469},Unknown,33.55369586,-117.7753481
Easily accessible,I01-11065-1,LAGUNA BEACH,NA,36,1,{343D946F-618A-4C8F-BECA-AAD6427C9CAA},Unknown,33.55771802,-117.7731408
Easily accessible,I01-11077-1,LAGUNA BEACH,118.0541139,NA,1,{ED3BCD26-6F4E-4AE2-9C8B-80EDA743C061},Unknown,33.56321823,-117.7679944
Easily accessible,I01-11077-2,LAGUNA BEACH,NA,36,1,{B9DC0E18-53B8-47A3-A9E6-B022A6119F8C},Unknown,33.56314232,-117.7678685
Easily accessible,I01-11093-1,LAGUNA BEACH,87.63278849,36,1,{A6CD0460-3E4D-434A-8EED-4ABA7D87A2EB},Unknown,33.5586741,-117.7725813
Easily accessible,I01-11093-2,LAGUNA BEACH,296.7809007,48,1,{50B8F0F5-D3AB-43AA-9466-0350D018EEA8},Unknown,33.56267164,-117.7697325
Difficult accessibility,I01-11195-2,ALISO VIEJO,NA,NA,1,{86E3548C-66A9-4F7B-BC80-1C6D6520BA51},Yes,33.58990998,-117.7515792
Easily accessible,I01-11216-1 (I02P13),ALISO VIEJO,231.3139001,60,1,{407CFB17-3B6F-4280-9700-B0FD229A0C5E},Yes,33.59874987,-117.7472414
Easily accessible,I01-11216-2 (I02P12),ALISO VIEJO,NA,60,1,{3E6152B4-AA12-4483-A315-F2A09982301C},Yes,33.59875002,-117.7472017
Easily accessible,I01-11216-3,ALISO VIEJO,4.87418855,48,1,{DB80E054-4D2C-4D53-8065-26F13D35FE95},Yes,33.59871601,-117.7470641
Easily accessible,I01-11216-4 (I02P14),ALISO VIEJO,66.5562155,42,1,{BD8B9607-5DAE-4D8D-9B8E-9B2DC1C2A8C1},Yes,33.59823241,-117.7462112
Easily accessible,I01-11217-1,ALISO VIEJO,35.66443538,36,1,{6731B5BE-BAEC-490D-90D1-2CBFABE191C3},Unknown,33.59737837,-117.7462887
Difficult accessibility,I01-11343-1,LAGUNA WOODS,33.3408069,36,1,{2889E41D-D4E7-47BA-843A-5A6D17AF80DF},Yes,33.61120531,-117.7552383
Difficult accessibility,I01-11343-2 (I02P18),LAGUNA WOODS,46.81104081,48,1,{9A50D575-FFD5-41A9-B523-61D9221779CD},Yes,33.61211013,-117.7539721
Easily accessible,I01-11487-1,LAGUNA BEACH,5606.221578,NA,1,{5950041F-4A9F-49ED-994B-C50CD46C105C},Unknown,33.54221573,-117.7852577
Easily accessible,I01-11487-2,LAGUNA BEACH,134.7247304,48,1,{04035718-9418-4D9D-BE25-7FB1C35BC0A0},Yes,33.54099301,-117.7835203
Easily accessible,I01-11502-1,ALISO VIEJO,25.92502892,36,1,{C081E89B-5CDA-439B-97FB-CCA6D19E46F4},Unknown,33.59564552,-117.7484889
Easily accessible,I01-11503-3,ALISO VIEJO,90.98036764,48,1,{8617AFA3-52A5-463C-8916-03BC38AAFBC4},Yes,33.5934822,-117.7493187
Easily accessible,I01-11503-5,ALISO VIEJO,NA,36,1,{CEFC14D7-9ED9-43A9-BA53-748978BC75CB},Yes,33.59354235,-117.7495222
Easily accessible,J01-10004-1 (J01P01),LAKE FOREST,479.8877595,96,1,{2B86E2C7-7931-456A-BDF6-8E5B829C36D2},Yes,33.63341124,-117.6769005
Easily accessible,J01-10004-2,LAKE FOREST,11.76218814,42,1,{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},Unknown,33.63406841,-117.6746996
Easily accessible,J01-10006-1,LAKE FOREST,23.20308578,36,1,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},Yes,33.62836754,-117.6836706
Easily accessible,J01-10012-3,MISSION VIEJO,31.14614857,36,1,{0E023D41-5A3C-41F1-98C3-7CA73337F6D9},Unknown,33.66921793,-117.6269624
Easily accessible,J01-10017-1 (J01TBN4),ALISO VIEJO,17.42256719,48,1,{3A09A49C-9DAA-4A66-898F-7D6115463F96},Yes,33.57090835,-117.7170737
Difficult accessibility,J01-10019-1 (J01P33),ALISO VIEJO,72.93906351,42,1,{65AB7468-482A-4869-8212-F73F5CC03224},Yes,33.56456651,-117.7184508
Easily accessible,J01-10041-2 (J03P13),LAGUNA NIGUEL,374.6943268,NA,1,{30268716-5276-44DF-9485-87949570FB12},Yes,33.55263878,-117.7088295
Easily accessible,J01-9005-1 (J03P05),LAGUNA NIGUEL,127.7904415,54,1,{BEADF14B-536C-491F-AF1C-E6C6959F66BD},Yes,33.53991146,-117.7041702
Easily accessible,J01-9005-3,LAGUNA NIGUEL,201.8906379,NA,1,{8D0A255A-DAB2-4BAC-A4E1-414D7DD8EA41},Yes,33.5461744,-117.7030442
Easily accessible,J01-9007-1 (J02P05),ALISO VIEJO,145.6125777,66,1,{6367FF6D-1FC8-4E27-B1F3-A8005D44345E},Yes,33.55864514,-117.7378266
Easily accessible,J01-9008-1 (J01P30),ALISO VIEJO,211.5720904,84,1,{87FF3E7F-0CD3-43AB-8A99-DD46A197D6A4},Yes,33.57677172,-117.7133093
Difficult accessibility,J01-9031-1,LAKE FOREST,298.9594232,54,1,{845D0596-F79C-47AB-8A96-2BF5F46A5F2D},Unknown,33.67284809,-117.6388505
Easily accessible,J01-9033-1,LAKE FOREST,41.10421176,36,1,{82959DB9-0482-452E-8715-E1BA44BC8E44},Yes,33.67101354,-117.6262793
Easily accessible,J01-9040-1,LAKE FOREST,146.1265793,66,1,{7E5CB88D-6665-452A-804A-655CBEAB830F},Yes,33.678031,-117.623537
Easily accessible,J01-9046-1,LAKE FOREST,65.72077069,24,1,{7B37BD5E-90A3-4DC7-8721-402EFF48BB71},Unknown,33.65453345,-117.6597977
Easily accessible,J01-9046-2,LAKE FOREST,46.36377902,42,1,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},Unknown,33.65446074,-117.6596867
Easily accessible,J01-9046-3,LAKE FOREST,15.52791748,36,1,{C52723D5-88DF-4B27-A94D-AEE8BFE85FDF},Yes,33.65614256,-117.659418
Easily accessible,J01-9066-1 (J01P04),MISSION VIEJO,82.12170635,36,1,{44FB9709-D45F-44FA-A0BF-A0B51C5584F8},Yes,33.6093405,-117.6928876
Easily accessible,J01-9066-2 (J01P03),MISSION VIEJO,420.3493093,81,1,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},Yes,33.61059435,-117.6927683
Easily accessible,J01-9082-2,ALISO VIEJO,124.6607607,72,1,{D7F5B54C-C817-44EE-AD28-FD7E7AE69350},Yes,33.5815891,-117.7457601
Easily accessible,J01-9082-3,ALISO VIEJO,124.6607607,48,1,{D57375B8-DA33-4EBF-B4C6-11FF1DA7BC5E},Unknown,33.58158523,-117.7457369
Easily accessible,J01-9082-4,ALISO VIEJO,124.6607607,42,1,{AFB6CBDA-AC92-4821-99CD-EDC47B411745},Yes,33.58157074,-117.7457266
Difficult accessibility,J01-9131-1 (J01P28),ALISO VIEJO,286.3860685,96,1,{3F8450D4-0881-4A9D-829A-4B4707912F53},Yes,33.57471343,-117.715865
Easily accessible,J01-9144-1 (J01P23),LAGUNA NIGUEL,175.4581519,96,1,{61303168-3951-41A3-9F99-5A1FBF0706F7},Yes,33.554894,-117.7189509
Easily accessible,J01-9144-4 (J01P26),ALISO VIEJO,193.4929599,78,1,{55C07C97-F5A8-4AD9-BDD6-F282EF1F22F5},Unknown,33.5591058,-117.7186966
Easily accessible,J01-9224-1 (J01P24),LAGUNA NIGUEL,222.4672653,54,1,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},Yes,33.55648201,-117.7177983
Easily accessible,J01-9224-2 (J01P25),LAGUNA NIGUEL,222.4672653,39,1,{7BFD7882-593A-4F10-AAF7-CC4B57726763},Yes,33.55761613,-117.7176799
Easily accessible,J01-9259-3,LAKE FOREST,140.7550576,NA,1,{E9D08FC2-7F70-4A86-8EF6-2A8BE2A5E6F4},Yes,33.62434247,-117.689955
Easily accessible,J01-9264-1 (J01P06),LAKE FOREST,680.9305951,72,1,{86AB9BCD-9766-418C-889A-A078524BE271},Yes,33.66346514,-117.6540685
Easily accessible,J01-9273-1,LAGUNA WOODS,30.68945533,36,1,{1B614B52-1204-4A36-9937-3895C916CE39},Yes,33.59989171,-117.7073654
Easily accessible,J01-9275-1,LAKE FOREST,27.09901317,36,1,{D1EBB0B7-3D03-4EE5-8D43-EF34E157DB50},Unknown,33.64907787,-117.6613528
Easily accessible,J01-9275-2,LAKE FOREST,42.7322098,36,1,{8DD9934B-1D0A-4A08-9886-1E1C2EF93E40},Unknown,33.65086633,-117.6606465
Inaccessible,J01-9313-1,ALISO VIEJO,137.3766528,54,1,{6C557F4D-24D0-4AC7-9549-68AEDF86E4E7},Unknown,33.56256131,-117.7433926
Easily accessible,J01-9349-1,LAKE FOREST,69.7067491,36,1,{0C4B2C1F-221A-4822-9ED8-4F1AF591803F},Unknown,33.64412251,-117.6658163
Easily accessible,J01-9364-3 (J01P21),ORANGE CO,167.8733715,66,1,{45DC9F7E-3DD3-44F6-A4A9-350A8C32653C},Yes,33.54985427,-117.7212902
Easily accessible,J01-9364-4,ORANGE CO,42.33257611,42,1,{51AB1EDB-AED9-40F1-83A8-6391511D250C},Unknown,33.54433919,-117.7272411
Easily accessible,J01-9377-1,LAKE FOREST,34.4468196,36,1,{3B4E9F27-523C-4F6B-A986-26E060B631EF},Unknown,33.65809197,-117.6577684
Easily accessible,J01-9377-2 (J01TBN8),LAKE FOREST,98.41839547,48,1,{0F35296A-ECE2-4C19-BD75-E6442A50F57C},Unknown,33.66001815,-117.653411
Easily accessible,J01-9782-1 (J01TBN3),LAKE FOREST,30.80686795,42,1,{91E48869-6AD5-41B7-8A9B-640ED2238B02},Unknown,33.63275609,-117.6769216
Easily accessible,J01-9785-1,LAKE FOREST,21.25657462,60,1,{91338D15-19F3-4699-83FA-4C17B2C07214},Yes,33.61716175,-117.693665
