Inst Time,Flow (cfs)
8/25/2022 0:00,0.006
8/26/2022 0:00,0.012
8/27/2022 0:00,0.012
8/28/2022 0:00,0.004
8/29/2022 0:00,0.003
8/30/2022 0:00,0.007
8/31/2022 0:00,0.005
9/1/2022 0:00,0.002
9/2/2022 0:00,0.01
9/3/2022 0:00,0.016
9/4/2022 0:00,0.005
9/5/2022 0:00,0.008
9/6/2022 0:00,0.011
9/7/2022 0:00,0.01
9/8/2022 0:00,0
9/9/2022 0:00,0.003
9/10/2022 0:00,0.301
9/11/2022 0:00,0.005
9/12/2022 0:00,0.02
9/13/2022 0:00,0.007
9/14/2022 0:00,0.007
9/15/2022 0:00,0.002
9/16/2022 0:00,0.003
9/17/2022 0:00,0.004
9/18/2022 0:00,0.005
9/19/2022 0:00,0.003
9/20/2022 0:00,0.007
9/21/2022 0:00,0.015
9/22/2022 0:00,0.009
9/23/2022 0:00,0.023
9/24/2022 0:00,0.028
9/25/2022 0:00,0.024
9/26/2022 0:00,0.012
9/27/2022 0:00,0.014
9/28/2022 0:00,0.007
9/29/2022 0:00,0.014
9/30/2022 0:00,0.005
10/1/2022 0:00,0.002
10/2/2022 0:00,0.002
10/3/2022 0:00,0.004
10/4/2022 0:00,0.006
10/5/2022 0:00,0.006
10/6/2022 0:00,0.004
