Datetime,Flow_cfs
2016-03-17 12:30:00,0.031
2016-03-17 12:44:00,0.02
2016-03-17 13:00:00,0.032
2016-03-17 13:14:00,0.024
2016-03-17 13:30:00,0.031
2016-03-17 13:45:00,0.017
2016-03-17 13:59:00,0.017
2016-03-17 14:15:00,0.025
2016-03-17 14:29:00,0.02
2016-03-17 14:45:00,0.023
2016-03-17 15:00:00,0.013
2016-03-17 15:14:00,0.021
2016-03-17 15:30:00,0.022
2016-03-17 15:44:00,0.024
2016-03-17 16:00:00,0.024
2016-03-17 16:14:00,0.016
2016-03-17 16:30:00,0.023
2016-03-17 16:45:00,0.024
2016-03-17 16:59:00,0.023
2016-03-17 17:15:00,0.019
2016-03-17 17:29:00,0.023
2016-03-17 17:45:00,0.016
2016-03-17 18:00:00,0.018
2016-03-17 18:14:00,0.018
2016-03-17 18:30:00,0.015
2016-03-17 18:44:00,0.018
2016-03-17 19:00:00,0.018
2016-03-17 19:14:00,0.019
2016-03-17 19:30:00,0.019
2016-03-17 19:45:00,0.02
2016-03-17 19:59:00,0.018
2016-03-17 20:15:00,0.017
2016-03-17 20:29:00,0.015
2016-03-17 20:45:00,0.016
2016-03-17 21:00:00,0.02
2016-03-17 21:14:00,0.013
2016-03-17 21:30:00,0.01
2016-03-17 21:44:00,0.014
2016-03-17 22:00:00,0.014
2016-03-17 22:14:00,0.016
2016-03-17 22:30:00,0.011
2016-03-17 22:45:00,0.013
2016-03-17 22:59:00,0.015
2016-03-17 23:15:00,0.02
2016-03-17 23:29:00,0.011
2016-03-17 23:45:00,0.002
2016-03-18 00:00:00,0.004
2016-03-18 00:14:00,0.006
2016-03-18 00:30:00,0.003
2016-03-18 00:44:00,0.017
2016-03-18 01:00:00,0.002
2016-03-18 01:14:00,0.003
2016-03-18 01:30:00,0.005
2016-03-18 01:45:00,0.005
2016-03-18 01:59:00,0.001
2016-03-18 02:15:00,0.005
2016-03-18 02:29:00,0.002
2016-03-18 02:45:00,0.005
2016-03-18 03:00:00,0.006
2016-03-18 03:14:00,0.018
2016-03-18 03:30:00,0.01
2016-03-18 03:44:00,0.038
2016-03-18 04:00:00,0.03
2016-03-18 04:14:00,0.015
2016-03-18 04:30:00,0.007
2016-03-18 04:45:00,0.014
2016-03-18 04:59:00,0.015
2016-03-18 05:15:00,0.01
2016-03-18 05:29:00,0.021
2016-03-18 05:45:00,0.008
2016-03-18 06:00:00,0.002
2016-03-18 06:14:00,0.011
2016-03-18 06:30:00,0.008
2016-03-18 06:44:00,0.027
2016-03-18 07:00:00,0.021
2016-03-18 07:14:00,0.016
2016-03-18 07:30:00,0.006
2016-03-18 07:45:00,0.01
2016-03-18 07:59:00,0.023
2016-03-18 08:15:00,0.016
2016-03-18 08:29:00,0.029
2016-03-18 08:45:00,0.028
2016-03-18 09:00:00,0.027
2016-03-18 09:14:00,0.024
2016-03-18 09:30:00,0.032
2016-03-18 09:44:00,0.027
2016-03-18 10:00:00,0.022
2016-03-18 10:14:00,0.022
2016-03-18 10:30:00,0.022
2016-03-18 10:45:00,0.034
2016-03-18 10:59:00,0.036
2016-03-18 11:15:00,0.036
2016-03-18 11:29:00,0.036
2016-03-18 11:45:00,0.027
2016-03-18 12:00:00,0.029
2016-03-18 12:14:00,0.023
2016-03-18 12:30:00,0.036
2016-03-18 12:44:00,0.03
2016-03-18 13:00:00,0.014
2016-03-18 13:14:00,0.029
2016-03-18 13:30:00,0.029
2016-03-18 13:45:00,0.027
2016-03-18 13:59:00,0.027
2016-03-18 14:15:00,0.018
2016-03-18 14:29:00,0.016
2016-03-18 14:45:00,0.02
2016-03-18 15:00:00,0.013
2016-03-18 15:14:00,0.032
2016-03-18 15:30:00,0.032
2016-03-18 15:44:00,0.025
2016-03-18 16:00:00,0.024
2016-03-18 16:14:00,0.025
2016-03-18 16:30:00,0.026
2016-03-18 16:45:00,0.017
2016-03-18 16:59:00,0.016
2016-03-18 17:15:00,0.016
2016-03-18 17:29:00,0.022
2016-03-18 17:45:00,0.015
2016-03-18 18:00:00,0.015
2016-03-18 18:14:00,0.016
2016-03-18 18:30:00,0.015
2016-03-18 18:44:00,0.012
2016-03-18 19:00:00,0.01
2016-03-18 19:14:00,0.013
2016-03-18 19:30:00,0.011
2016-03-18 19:45:00,0.012
2016-03-18 19:59:00,0.01
2016-03-18 20:15:00,0.009
2016-03-18 20:29:00,0.012
2016-03-18 20:45:00,0.01
2016-03-18 21:00:00,0.016
2016-03-18 21:14:00,0.012
2016-03-18 21:30:00,0.012
2016-03-18 21:44:00,0.013
2016-03-18 22:00:00,0.012
2016-03-18 22:14:00,0.009
2016-03-18 22:30:00,0.012
2016-03-18 22:45:00,0.021
2016-03-18 22:59:00,0.011
2016-03-18 23:15:00,0.006
2016-03-18 23:29:00,0.008
2016-03-18 23:45:00,0.008
2016-03-19 00:00:00,0.009
2016-03-19 00:14:00,0.015
2016-03-19 00:30:00,0.01
2016-03-19 00:44:00,0.011
2016-03-19 01:00:00,0.009
2016-03-19 01:14:00,0.023
2016-03-19 01:30:00,0.017
2016-03-19 01:45:00,0.007
2016-03-19 01:59:00,0.009
2016-03-19 02:15:00,0.01
2016-03-19 02:29:00,0.018
2016-03-19 02:45:00,0.006
2016-03-19 03:00:00,0.009
2016-03-19 03:14:00,0.011
2016-03-19 03:30:00,0.013
2016-03-19 03:44:00,0.007
2016-03-19 04:00:00,0.016
2016-03-19 04:14:00,0.016
2016-03-19 04:30:00,0.008
2016-03-19 04:45:00,0.023
2016-03-19 04:59:00,0.015
2016-03-19 05:15:00,0.009
2016-03-19 05:29:00,0.014
2016-03-19 05:45:00,0.024
2016-03-19 06:00:00,0.012
2016-03-19 06:14:00,0.007
2016-03-19 06:30:00,0.008
2016-03-19 06:44:00,0.009
2016-03-19 07:00:00,0.01
2016-03-19 07:14:00,0.014
2016-03-19 07:30:00,0.011
2016-03-19 07:45:00,0.014
2016-03-19 07:59:00,0.013
2016-03-19 08:15:00,0.014
