Datetime,Flow_cfs
2016-05-25 10:30:00,0.041
2016-05-25 10:30:00,0.033
2016-05-25 10:35:00,0.129
2016-05-25 10:39:00,0.159
2016-05-25 10:45:00,0.147
2016-05-25 10:49:00,0.061
2016-05-25 10:55:00,0.094
2016-05-25 10:59:00,0.08
2016-05-25 11:05:00,0.045
2016-05-25 11:09:00,0.018
2016-05-25 11:15:00,0.015
2016-05-25 11:19:00,0.079
2016-05-25 11:25:00,0.104
2016-05-25 11:29:00,0.023
2016-05-25 11:35:00,0.026
2016-05-25 11:39:00,0.053
2016-05-25 11:45:00,0.035
2016-05-25 11:49:00,0.162
2016-05-25 11:55:00,0.123
2016-05-25 12:00:00,0.057
2016-05-25 12:04:00,0.082
2016-05-25 12:10:00,0.046
2016-05-25 12:14:00,0.056
2016-05-25 12:20:00,0.115
2016-05-25 12:24:00,0.059
2016-05-25 12:30:00,0.057
2016-05-25 12:34:00,0.049
2016-05-25 12:40:00,0.038
2016-05-25 12:44:00,0.095
2016-05-25 12:50:00,0.195
2016-05-25 12:54:00,0.235
2016-05-25 13:00:00,0.038
2016-05-25 13:04:00,0.113
2016-05-25 13:10:00,0.199
2016-05-25 13:14:00,0.205
2016-05-25 13:20:00,0.131
2016-05-25 13:24:00,0.139
2016-05-25 13:30:00,0.164
2016-05-25 13:35:00,0.158
2016-05-25 13:39:00,0.047
2016-05-25 13:45:00,0.03
2016-05-25 13:49:00,0.159
2016-05-25 13:55:00,0.062
2016-05-25 13:59:00,0.106
2016-05-25 14:05:00,0.173
2016-05-25 14:09:00,0.024
2016-05-25 14:15:00,0.053
2016-05-25 14:19:00,0.118
2016-05-25 14:25:00,0.085
2016-05-25 14:29:00,0.169
2016-05-25 14:35:00,0.131
2016-05-25 14:39:00,0.057
2016-05-25 14:45:00,0.053
2016-05-25 14:49:00,0.078
2016-05-25 14:55:00,0.145
2016-05-25 15:00:00,0.126
2016-05-25 15:04:00,0.062
2016-05-25 15:10:00,0.093
2016-05-25 15:14:00,0.126
2016-05-25 15:20:00,0.127
2016-05-25 15:24:00,0.061
2016-05-25 15:30:00,0.109
2016-05-25 15:34:00,0.064
2016-05-25 15:40:00,0.086
2016-05-25 15:44:00,0.078
2016-05-25 15:50:00,0.082
2016-05-25 15:54:00,0.081
2016-05-25 16:00:00,0.061
2016-05-25 16:04:00,0.012
2016-05-25 16:10:00,0.043
2016-05-25 16:14:00,0.052
2016-05-25 16:20:00,0.026
2016-05-25 16:24:00,0.036
2016-05-25 16:30:00,0.045
2016-05-25 16:35:00,0.06
2016-05-25 16:39:00,0.05
2016-05-25 16:45:00,0.068
2016-05-25 16:49:00,0.076
2016-05-25 16:55:00,0.048
2016-05-25 16:59:00,0.078
2016-05-25 17:05:00,0.053
2016-05-25 17:09:00,0.047
2016-05-25 17:15:00,0.039
2016-05-25 17:19:00,0.052
2016-05-25 17:25:00,0.056
2016-05-25 17:29:00,0.056
2016-05-25 17:35:00,0.041
2016-05-25 17:39:00,0.048
2016-05-25 17:45:00,0.046
2016-05-25 17:49:00,0.05
2016-05-25 17:55:00,0.036
2016-05-25 18:00:00,0.032
2016-05-25 18:04:00,0.033
2016-05-25 18:10:00,0.029
2016-05-25 18:14:00,0.023
2016-05-25 18:20:00,0.026
2016-05-25 18:24:00,0.02
2016-05-25 18:30:00,0.03
2016-05-25 18:34:00,0.021
2016-05-25 18:40:00,0.029
2016-05-25 18:44:00,0.023
2016-05-25 18:50:00,0.024
2016-05-25 18:54:00,0.025
2016-05-25 19:00:00,0.025
2016-05-25 19:04:00,0.014
2016-05-25 19:10:00,0.008
2016-05-25 19:14:00,0.012
2016-05-25 19:20:00,0.01
