Datetime,Flow_cfs
2016-06-30 13:44:00,0.387
2016-06-30 13:49:00,0.387
2016-06-30 13:54:00,0.442
2016-06-30 13:59:00,0.527
2016-06-30 14:04:00,0.54
2016-06-30 14:09:00,0.554
2016-06-30 14:14:00,0.586
2016-06-30 14:19:00,0.577
2016-06-30 14:24:00,0.669
2016-06-30 14:29:00,0.644
2016-06-30 14:34:00,0.6
2016-06-30 14:39:00,0.625
2016-06-30 14:44:00,0.582
2016-06-30 14:49:00,0.659
2016-06-30 14:54:00,0.644
2016-06-30 14:59:00,0.679
2016-06-30 15:04:00,0.62
2016-06-30 15:09:00,0.659
2016-06-30 15:14:00,0.586
2016-06-30 15:19:00,0.654
2016-06-30 15:24:00,0.582
2016-06-30 15:29:00,0.605
2016-06-30 15:34:00,0.659
2016-06-30 15:39:00,0.659
2016-06-30 15:44:00,0.568
2016-06-30 15:49:00,0.625
2016-06-30 15:54:00,0.679
2016-06-30 15:59:00,0.679
2016-06-30 16:04:00,0.649
2016-06-30 16:09:00,0.649
2016-06-30 16:14:00,0.674
2016-06-30 16:19:00,0.664
2016-06-30 16:24:00,0.669
2016-06-30 16:29:00,0.726
2016-06-30 16:34:00,0.7
2016-06-30 16:39:00,0.644
2016-06-30 16:44:00,0.639
2016-06-30 16:49:00,0.644
2016-06-30 16:54:00,0.62
2016-06-30 16:59:00,0.639
2016-06-30 17:04:00,0.731
2016-06-30 17:09:00,0.586
2016-06-30 17:14:00,0.568
2016-06-30 17:19:00,0.605
2016-06-30 17:24:00,0.644
2016-06-30 17:29:00,0.586
2016-06-30 17:34:00,0.6
2016-06-30 17:39:00,0.742
2016-06-30 17:44:00,0.679
2016-06-30 17:49:00,0.644
2016-06-30 17:54:00,0.664
2016-06-30 17:59:00,0.536
2016-06-30 18:04:00,0.659
2016-06-30 18:09:00,0.679
2016-06-30 18:14:00,0.664
2016-06-30 18:19:00,0.536
2016-06-30 18:24:00,0.679
2016-06-30 18:29:00,0.649
2016-06-30 18:34:00,0.644
2016-06-30 18:39:00,0.62
2016-06-30 18:44:00,0.63
2016-06-30 18:49:00,0.625
2016-06-30 18:54:00,0.605
2016-06-30 18:59:00,0.545
2016-06-30 19:04:00,0.591
2016-06-30 19:09:00,0.63
2016-06-30 19:14:00,0.639
2016-06-30 19:19:00,0.615
2016-06-30 19:24:00,0.62
2016-06-30 19:29:00,0.644
2016-06-30 19:34:00,0.582
2016-06-30 19:39:00,0.558
2016-06-30 19:44:00,0.554
2016-06-30 19:49:00,0.54
2016-06-30 19:54:00,0.605
2016-06-30 19:59:00,0.62
2016-06-30 20:04:00,0.63
2016-06-30 20:09:00,0.6
2016-06-30 20:14:00,0.531
2016-06-30 20:19:00,0.483
2016-06-30 20:24:00,0.563
2016-06-30 20:29:00,0.615
2016-06-30 20:34:00,0.568
2016-06-30 20:39:00,0.654
2016-06-30 20:44:00,0.625
2016-06-30 20:49:00,0.615
2016-06-30 20:54:00,0.659
2016-06-30 20:59:00,0.625
2016-06-30 21:04:00,0.654
2016-06-30 21:09:00,0.649
2016-06-30 21:14:00,0.625
2016-06-30 21:19:00,0.462
2016-06-30 21:24:00,0.509
2016-06-30 21:29:00,0.634
2016-06-30 21:34:00,0.549
2016-06-30 21:39:00,0.61
2016-06-30 21:44:00,0.549
2016-06-30 21:49:00,0.596
2016-06-30 21:54:00,0.649
2016-06-30 21:59:00,0.615
2016-06-30 22:04:00,0.596
2016-06-30 22:09:00,0.62
2016-06-30 22:14:00,0.558
2016-06-30 22:19:00,0.63
2016-06-30 22:24:00,0.625
2016-06-30 22:29:00,0.639
2016-06-30 22:34:00,0.6
2016-06-30 22:39:00,0.568
2016-06-30 22:44:00,0.634
2016-06-30 22:49:00,0.572
2016-06-30 22:54:00,0.596
2016-06-30 22:59:00,0.577
2016-06-30 23:04:00,0.514
2016-06-30 23:09:00,0.568
2016-06-30 23:14:00,0.591
2016-06-30 23:19:00,0.54
2016-06-30 23:24:00,0.545
2016-06-30 23:29:00,0.596
2016-06-30 23:34:00,0.582
2016-06-30 23:39:00,0.426
2016-06-30 23:44:00,0.545
2016-06-30 23:49:00,0.558
