Datetime,Flow_cfs
2016-09-01 14:25:00,0.008
2016-09-01 14:29:00,0.009
2016-09-01 14:35:00,0.01
2016-09-01 14:39:00,0.009
2016-09-01 14:45:00,0.01
2016-09-01 14:49:00,0.008
2016-09-01 14:55:00,0.008
2016-09-01 15:00:00,0.01
2016-09-01 15:04:00,0.007
2016-09-01 15:10:00,0.014
2016-09-01 15:14:00,0.01
2016-09-01 15:20:00,0.007
2016-09-01 15:24:00,0.012
2016-09-01 15:30:00,0.009
2016-09-01 15:34:00,0.012
2016-09-01 15:40:00,0.006
2016-09-01 15:44:00,0.009
2016-09-01 15:50:00,0.009
2016-09-01 15:54:00,0.008
2016-09-01 16:00:00,0.009
2016-09-01 16:04:00,0.011
2016-09-01 16:10:00,0.006
2016-09-01 16:14:00,0.007
2016-09-01 16:20:00,0.003
2016-09-01 16:24:00,0.007
2016-09-01 16:30:00,0.008
2016-09-01 16:35:00,0.006
2016-09-01 16:39:00,0.009
2016-09-01 16:45:00,0.007
2016-09-01 16:49:00,0.006
2016-09-01 16:55:00,0.007
2016-09-01 16:59:00,0.007
2016-09-01 17:05:00,0.006
2016-09-01 17:09:00,0.003
2016-09-01 17:15:00,0.004
2016-09-01 17:19:00,0.005
2016-09-01 17:25:00,0.005
2016-09-01 17:29:00,0.005
2016-09-01 17:35:00,0.005
2016-09-01 17:39:00,0.005
2016-09-01 17:45:00,0.004
2016-09-01 17:49:00,0.005
2016-09-01 17:55:00,0.004
2016-09-01 18:00:00,0.005
2016-09-01 18:04:00,0.005
2016-09-01 18:10:00,0.005
2016-09-01 18:14:00,0.006
2016-09-01 18:20:00,0.005
2016-09-01 18:24:00,0.005
2016-09-01 18:30:00,0.005
2016-09-01 18:34:00,0.005
2016-09-01 18:40:00,0.005
2016-09-01 18:44:00,0.004
2016-09-01 18:50:00,0.006
2016-09-01 18:54:00,0.005
2016-09-01 19:00:00,0.005
2016-09-01 19:04:00,0.006
2016-09-01 19:10:00,0.006
2016-09-01 19:14:00,0.005
2016-09-01 19:20:00,0.005
2016-09-01 19:24:00,0.006
2016-09-01 19:30:00,0.005
2016-09-01 19:35:00,0.004
2016-09-01 19:39:00,0.005
2016-09-01 19:45:00,0.005
2016-09-01 19:49:00,0.006
2016-09-01 19:55:00,0.005
2016-09-01 19:59:00,0.005
2016-09-01 20:05:00,0.005
2016-09-01 20:09:00,0.004
2016-09-01 20:15:00,0.006
2016-09-01 20:19:00,0.005
2016-09-01 20:25:00,0.006
2016-09-01 20:29:00,0.006
2016-09-01 20:35:00,0.006
2016-09-01 20:39:00,0.006
2016-09-01 20:45:00,0.006
2016-09-01 20:49:00,0.007
2016-09-01 20:55:00,0.007
2016-09-01 21:00:00,0.006
