Datetime,Flow_cfs
2016-07-29 09:04:00,0.076
2016-07-29 09:10:00,0.005
2016-07-29 09:14:00,0.01
2016-07-29 09:20:00,0.008
2016-07-29 09:24:00,0.012
2016-07-29 09:30:00,0.019
2016-07-29 09:34:00,0.015
2016-07-29 09:40:00,0.022
2016-07-29 09:44:00,0.051
2016-07-29 09:50:00,0.043
2016-07-29 09:54:00,0.054
2016-07-29 10:00:00,0.061
2016-07-29 10:04:00,0.043
2016-07-29 10:10:00,0.003
2016-07-29 10:14:00,0.02
2016-07-29 10:20:00,0.044
2016-07-29 10:24:00,0.037
2016-07-29 10:30:00,0.034
2016-07-29 10:35:00,0.037
2016-07-29 10:39:00,0.039
2016-07-29 10:45:00,0.001
2016-07-29 10:49:00,0.044
2016-07-29 10:55:00,0.051
2016-07-29 10:59:00,0.039
2016-07-29 11:05:00,0.044
2016-07-29 11:09:00,0.052
2016-07-29 11:15:00,0.061
2016-07-29 11:19:00,0.021
2016-07-29 11:25:00,0.0
2016-07-29 11:29:00,0.005
2016-07-29 11:35:00,0.015
2016-07-29 11:39:00,0.014
2016-07-29 11:45:00,0.048
2016-07-29 11:49:00,0.066
2016-07-29 11:55:00,0.0
2016-07-29 12:00:00,0.045
2016-07-29 12:04:00,0.074
2016-07-29 12:10:00,0.021
2016-07-29 12:14:00,0.079
2016-07-29 12:20:00,0.052
2016-07-29 12:24:00,0.073
2016-07-29 12:30:00,0.085
2016-07-29 12:34:00,0.028
2016-07-29 12:40:00,0.071
2016-07-29 12:44:00,0.105
2016-07-29 12:50:00,0.019
2016-07-29 12:54:00,0.066
2016-07-29 13:00:00,0.04
2016-07-29 13:04:00,0.077
2016-07-29 13:10:00,0.165
2016-07-29 13:14:00,0.167
2016-07-29 13:20:00,0.093
2016-07-29 13:24:00,0.13
2016-07-29 13:30:00,0.098
2016-07-29 13:35:00,0.073
2016-07-29 13:39:00,0.042
2016-07-29 13:45:00,0.042
2016-07-29 13:49:00,0.036
2016-07-29 13:55:00,0.034
2016-07-29 13:59:00,0.037
2016-07-29 14:05:00,0.0
2016-07-29 14:09:00,0.015
2016-07-29 14:15:00,0.01
2016-07-29 14:19:00,0.03
2016-07-29 14:25:00,0.004
2016-07-29 14:29:00,0.018
2016-07-29 14:35:00,0.029
2016-07-29 14:39:00,0.014
2016-07-29 14:45:00,0.0
2016-07-29 14:49:00,0.03
2016-07-29 14:55:00,0.016
2016-07-29 15:00:00,0.014
2016-07-29 15:04:00,0.007
2016-07-29 15:10:00,0.01
2016-07-29 15:14:00,0.012
2016-07-29 15:20:00,0.009
2016-07-29 15:24:00,0.011
2016-07-29 15:30:00,0.009
2016-07-29 15:34:00,0.013
2016-07-29 15:40:00,0.012
2016-07-29 15:44:00,0.007
2016-07-29 15:50:00,0.008
2016-07-29 15:54:00,0.013
2016-07-29 16:00:00,0.01
2016-07-29 16:04:00,0.009
2016-07-29 16:10:00,0.009
2016-07-29 16:14:00,0.006
2016-07-29 16:20:00,0.01
2016-07-29 16:24:00,0.007
2016-07-29 16:30:00,0.004
2016-07-29 16:35:00,0.008
2016-07-29 16:39:00,0.005
2016-07-29 16:45:00,0.006
2016-07-29 16:49:00,0.007
2016-07-29 16:55:00,0.005
2016-07-29 16:59:00,0.008
2016-07-29 17:05:00,0.012
2016-07-29 17:09:00,0.014
2016-07-29 17:15:00,0.014
2016-07-29 17:19:00,0.012
2016-07-29 17:25:00,0.008
2016-07-29 17:29:00,0.005
2016-07-29 17:35:00,0.004
2016-07-29 17:39:00,0.006
2016-07-29 17:45:00,0.003
2016-07-29 17:49:00,0.001
2016-07-29 17:55:00,0.009
2016-07-29 18:00:00,0.004
2016-07-29 18:04:00,0.007
2016-07-29 18:10:00,0.003
2016-07-29 18:14:00,0.002
2016-07-29 18:20:00,0.002
2016-07-29 18:24:00,0.008
2016-07-29 18:30:00,0.005
2016-07-29 18:34:00,0.001
2016-07-29 18:40:00,0.001
2016-07-29 18:44:00,0.001
2016-07-29 18:50:00,0.001
2016-07-29 18:54:00,0.001
2016-07-29 19:00:00,0.001
2016-07-29 19:04:00,0.0
2016-07-29 19:10:00,0.001
2016-07-29 19:14:00,0.008
2016-07-29 19:20:00,0.012
2016-07-29 19:24:00,0.007
2016-07-29 19:30:00,0.005
2016-07-29 19:35:00,0.002
2016-07-29 19:39:00,0.013
2016-07-29 19:45:00,0.013
2016-07-29 19:49:00,0.007
2016-07-29 19:55:00,0.008
2016-07-29 19:59:00,0.008
2016-07-29 20:05:00,0.014
2016-07-29 20:09:00,0.007
2016-07-29 20:15:00,0.005
2016-07-29 20:19:00,0.003
2016-07-29 20:25:00,0.001
2016-07-29 20:29:00,0.0
2016-07-29 20:35:00,0.001
2016-07-29 20:39:00,0.001
2016-07-29 20:45:00,0.0
2016-07-29 20:49:00,0.0
2016-07-29 20:55:00,0.0
2016-07-29 21:00:00,0.0
2016-07-29 21:04:00,0.0
2016-07-29 21:10:00,0.0
2016-07-29 21:14:00,0.0
2016-07-29 21:20:00,0.0
2016-07-29 21:24:00,0.0
2016-07-29 21:30:00,0.001
2016-07-29 21:34:00,0.0
2016-07-29 21:40:00,0.002
2016-07-29 21:44:00,0.001
2016-07-29 21:50:00,0.0
2016-07-29 21:54:00,0.0
2016-07-29 22:00:00,0.0
2016-07-29 22:04:00,0.0
2016-07-29 22:10:00,0.0
2016-07-29 22:14:00,0.0
2016-07-29 22:20:00,0.0
2016-07-29 22:24:00,0.0
2016-07-29 22:30:00,0.0
2016-07-29 22:35:00,0.0
2016-07-29 22:39:00,0.0
2016-07-29 22:45:00,0.0
2016-07-29 22:49:00,0.0
2016-07-29 22:55:00,0.0
2016-07-29 22:59:00,0.0
2016-07-29 23:05:00,0.0
2016-07-29 23:09:00,0.0
2016-07-29 23:15:00,0.0
2016-07-29 23:19:00,0.002
2016-07-29 23:25:00,0.001
2016-07-29 23:29:00,0.001
2016-07-29 23:35:00,0.0
2016-07-29 23:39:00,0.0
2016-07-29 23:45:00,0.001
2016-07-29 23:49:00,0.001
2016-07-29 23:55:00,0.0
2016-07-30 00:00:00,0.0
2016-07-30 00:04:00,0.0
2016-07-30 00:10:00,0.0
2016-07-30 00:14:00,0.0
2016-07-30 00:20:00,0.0
2016-07-30 00:24:00,0.0
2016-07-30 00:30:00,0.0
2016-07-30 00:34:00,0.0
2016-07-30 00:40:00,0.0
2016-07-30 00:44:00,0.0
2016-07-30 00:50:00,0.0
2016-07-30 00:54:00,0.0
2016-07-30 01:00:00,0.0
2016-07-30 01:04:00,0.0
2016-07-30 01:10:00,0.0
2016-07-30 01:14:00,0.0
2016-07-30 01:20:00,0.0
2016-07-30 01:24:00,0.0
2016-07-30 01:30:00,0.0
2016-07-30 01:35:00,0.0
2016-07-30 01:39:00,0.0
2016-07-30 01:45:00,0.001
2016-07-30 01:49:00,0.0
2016-07-30 01:55:00,0.0
2016-07-30 01:59:00,0.0
2016-07-30 02:05:00,0.0
2016-07-30 02:09:00,0.0
2016-07-30 02:15:00,0.0
2016-07-30 02:19:00,0.0
2016-07-30 02:25:00,0.0
2016-07-30 02:29:00,0.0
2016-07-30 02:35:00,0.002
2016-07-30 02:39:00,0.001
2016-07-30 02:45:00,0.0
2016-07-30 02:49:00,0.0
2016-07-30 02:55:00,0.0
2016-07-30 03:00:00,0.0
2016-07-30 03:04:00,0.0
2016-07-30 03:10:00,0.0
2016-07-30 03:14:00,0.0
2016-07-30 03:20:00,0.0
2016-07-30 03:24:00,0.001
2016-07-30 03:30:00,0.0
2016-07-30 03:34:00,0.0
2016-07-30 03:40:00,0.0
2016-07-30 03:44:00,0.003
2016-07-30 03:50:00,0.001
2016-07-30 03:54:00,0.001
2016-07-30 04:00:00,0.0
2016-07-30 04:04:00,0.004
2016-07-30 04:10:00,0.004
2016-07-30 04:14:00,0.03
2016-07-30 04:20:00,0.013
2016-07-30 04:24:00,0.027
2016-07-30 04:30:00,0.004
2016-07-30 04:35:00,0.021
2016-07-30 04:39:00,0.012
2016-07-30 04:45:00,0.002
2016-07-30 04:49:00,0.002
2016-07-30 04:55:00,0.0
2016-07-30 04:59:00,0.001
2016-07-30 05:05:00,0.0
2016-07-30 05:09:00,0.005
2016-07-30 05:15:00,0.0
2016-07-30 05:19:00,0.003
2016-07-30 05:25:00,0.005
2016-07-30 05:29:00,0.002
2016-07-30 05:35:00,0.005
2016-07-30 05:39:00,0.04
2016-07-30 05:45:00,0.028
2016-07-30 05:49:00,0.023
2016-07-30 05:55:00,0.009
2016-07-30 06:00:00,0.013
2016-07-30 06:04:00,0.006
2016-07-30 06:10:00,0.006
2016-07-30 06:14:00,0.013
2016-07-30 06:20:00,0.012
2016-07-30 06:24:00,0.012
2016-07-30 06:30:00,0.014
2016-07-30 06:34:00,0.015
2016-07-30 06:40:00,0.02
2016-07-30 06:44:00,0.012
2016-07-30 06:50:00,0.015
2016-07-30 06:54:00,0.018
2016-07-30 07:00:00,0.018
2016-07-30 07:04:00,0.025
2016-07-30 07:10:00,0.018
2016-07-30 07:14:00,0.024
2016-07-30 07:20:00,0.028
2016-07-30 07:24:00,0.021
2016-07-30 07:30:00,0.021
2016-07-30 07:35:00,0.02
2016-07-30 07:39:00,0.021
2016-07-30 07:45:00,0.022
2016-07-30 07:49:00,0.021
2016-07-30 07:55:00,0.016
2016-07-30 07:59:00,0.019
2016-07-30 08:05:00,0.014
2016-07-30 08:09:00,0.021
2016-07-30 08:15:00,0.021
2016-07-30 08:19:00,0.019
2016-07-30 08:25:00,0.024
2016-07-30 08:29:00,0.035
2016-07-30 08:35:00,0.022
2016-07-30 08:39:00,0.019
2016-07-30 08:45:00,0.023
2016-07-30 08:49:00,0.013
2016-07-30 08:55:00,0.013
2016-07-30 09:00:00,0.008
2016-07-30 09:04:00,0.007
2016-07-30 09:10:00,0.017
2016-07-30 09:14:00,0.013
2016-07-30 09:20:00,0.025
2016-07-30 09:24:00,0.036
2016-07-30 09:30:00,0.025
2016-07-30 09:34:00,0.021
