FacilityID,Jurisdiction,ObsRecordDate,ObsWeather,AvgDischarge,FlowCondition,PersistentFlow,FlowConnectivity,Priority,PrioritizationScore2022,Conductivity,Inspected,FloatDischargeCFS,VolumeDischargeCFS,SampleDry,PointY,PointX
L02-166-2 (L02P25),Rancho Santa Margarita,2022-12-12T00:00:00Z,2,0.241467,Flowing,Unknown,Undetermined,Not A Priority,NA,590,Verified,NA,NA,NA,33.63763055,-117.6178921
L02-166-2 (L02P25),Rancho Santa Margarita,2023-08-10T00:00:00Z,1,0.241467,Other - See Comments,Unknown,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.63763055,-117.6178921
L02-166-2 (L02P25),Rancho Santa Margarita,2023-06-12T00:00:00Z,1,0.241467,Flowing,Unknown,Direct Connection,Not A Priority,NA,1693,Verified,NA,0.035,NA,33.63763055,-117.6178921
L02-166-2 (L02P25),Rancho Santa Margarita,2022-11-23T00:00:00Z,1,0.241467,Flowing,Unknown,Undetermined,Not A Priority,NA,NA,Verified,0.21,0.044,NA,33.63763055,-117.6178921
L03-708-9,Laguna Niguel,2023-06-27T00:00:00Z,1,0.048275,Flowing,Yes,Direct Connection,Priority,53,4742,Verified,0.087413,NA,NA,33.56260598,-117.67595162
L03-708-9,Laguna Niguel,2023-09-01T00:00:00Z,1,0.048275,Flowing,Yes,Direct Connection,Priority,53,1850,Verified,0.053774,NA,NA,33.56260598,-117.67595162
J01-10004-2,Lake Forest,2023-09-26T00:00:00Z,1,7.54e-4,Pooled or Ponded,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.63406841,-117.6746996
J01-10004-2,Lake Forest,2023-05-16T00:00:00Z,1,7.54e-4,Other - See Comments,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.63406841,-117.6746996
DP06-12106-1,Dana Point,2023-06-15T00:00:00Z,1,0.331812,Pooled or Ponded,Yes,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.46389565,-117.68841095
DP06-12106-1,Dana Point,2023-09-08T00:00:00Z,1,0.331812,Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,7458,Verified,0.64625,NA,NA,33.46389565,-117.68841095
M01-124-4,San Clemente,2023-05-23T00:00:00Z,1,6e-4,Other - See Comments,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,NA,NA,Verified,NA,NA,NA,33.46509434,-117.6391214
M01-124-4,San Clemente,2023-08-01T00:00:00Z,1,6e-4,Other - See Comments,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,NA,NA,Verified,NA,NA,NA,33.46509434,-117.6391214
L01-749-2d,San Juan Capistrano,2023-06-08T00:00:00Z,1,0.081752,NA,Yes,NA,NA,NA,NA,Verified,NA,NA,NA,33.50766038,-117.64028598
L01-749-2d,San Juan Capistrano,2023-08-16T00:00:00Z,1,0.081752,Pooled or Ponded,Yes,NA,NA,NA,NA,Verified,NA,NA,NA,33.50766038,-117.64028598
M02-086-1,San Clemente,2023-05-23T00:00:00Z,1,3.71e-4,Other - See Comments,Unknown,Unsafe to Access,Not A Priority,NA,NA,Verified,NA,NA,NA,33.47727634,-117.59994514
M02-086-1,San Clemente,2023-08-01T00:00:00Z,1,3.71e-4,Dry,Unknown,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.47727634,-117.59994514
K01-12155-5,Laguna Niguel,2023-06-28T00:00:00Z,1,0.061386,Flowing,Unknown,Undetermined,Not A Priority,NA,2264,Verified,0.146939,NA,NA,33.50234645,-117.72005298
K01-12155-5,Laguna Niguel,2023-08-30T00:00:00Z,1,0.061386,Flowing,Unknown,Direct Connection,Not A Priority,NA,1221,Verified,0.019934,NA,NA,33.50234645,-117.72005298
K01-12156-3,Laguna Niguel,2023-06-19T00:00:00Z,1,0,Pooled or Ponded,Unknown,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.50412766,-117.70947404
K01-12156-3,Laguna Niguel,2023-08-31T00:00:00Z,1,0,Other - See Comments,Unknown,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.50412766,-117.70947404
J01-9066-2 (J01P03),Mission Viejo,2023-08-17T00:00:00Z,1,0.083379,Flowing,Yes,Direct Connection,Priority,64,2370,Verified,0.019033,0.02,NA,33.61059435,-117.69276829
J01-9066-2 (J01P03),Mission Viejo,2023-07-05T00:00:00Z,1,0.083379,Flowing,Yes,Direct Connection,Priority,64,3755,Verified,NA,0.024,NA,33.61059435,-117.69276829
J01-9066-2 (J01P03),Mission Viejo,2023-04-25T00:00:00Z,1,0.083379,Flowing,Yes,NA,Priority,64,NA,Verified,0.014375,0.042,NA,33.61059435,-117.69276829
J01-10006-1,Lake Forest,2023-07-17T00:00:00Z,1,0,Pooled or Ponded,Yes,Unsafe to Access,Not A Priority,NA,NA,Verified,NA,NA,NA,33.62836754,-117.68367057
J01-10006-1,Lake Forest,2023-09-25T00:00:00Z,1,0,Pooled or Ponded,Yes,Undetermined,Not A Priority,NA,NA,Verified,NA,NA,NA,33.62836754,-117.68367057
L01-766-8,San Juan Capistrano,2023-06-05T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.49262805,-117.66235245
L01-766-8,San Juan Capistrano,2023-08-07T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.49262805,-117.66235245
L01-727-3,Dana Point,2023-09-06T00:00:00Z,1,0.007959,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.47155114,-117.68013751
L01-727-3,Dana Point,2023-05-15T00:00:00Z,1,0.007959,Flowing,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,1024,Verified,NA,NA,NA,33.47155114,-117.68013751
L03-172-2,Mission Viejo,2023-07-17T00:00:00Z,1,0.013291,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.65145815,-117.63884529
L03-172-2,Mission Viejo,2023-08-28T00:00:00Z,1,0.013291,Flowing,Yes,Undetermined,Not A Priority,NA,842,Verified,NA,NA,NA,33.65145815,-117.63884529
L01-749-3,San Juan Capistrano,2023-06-05T00:00:00Z,1,0,Flowing,Unknown,NA,Not A Priority,NA,NA,Verified,NA,0.003,NA,33.50819651,-117.6389212
L01-749-3,San Juan Capistrano,2023-08-09T00:00:00Z,1,0,Other - See Comments,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.50819651,-117.6389212
L01-340-1,Orange Co,2023-06-27T00:00:00Z,1,0.051357,Flowing,Yes,Unsafe to Access,Priority,39,2569,Verified,0.026406,NA,Yes,33.58696205,-117.59544022
L01-340-1,Orange Co,2023-08-15T00:00:00Z,1,0.051357,Flowing,Yes,Direct Connection,Priority,39,1626,Verified,0.048,0.016,Yes,33.58696205,-117.59544022
DP01-12022-2,Dana Point,2023-09-12T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,NA,NA,Verified,NA,NA,NA,33.466503,-117.716091
DP01-12022-2,Dana Point,2023-06-15T00:00:00Z,1,0,Dry,Unknown,NA,NA,NA,NA,Verified,NA,NA,NA,33.466503,-117.716091
M02-015-1,San Clemente,2023-05-24T00:00:00Z,1,0.020964,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.47815722,-117.58324573
M02-015-1,San Clemente,2023-09-01T00:00:00Z,1,0.020964,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.47815722,-117.58324573
I01-11077-1,Laguna Beach,2023-07-07T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.56321823,-117.76799437
I01-11077-1,Laguna Beach,2023-09-20T00:00:00Z,1,0,Dry,Unknown,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.56321823,-117.76799437
J07-9022-6,Mission Viejo,2023-08-28T00:00:00Z,1,0.001776,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,NA,NA,Verified,NA,NA,NA,33.628759,-117.66624
J07-9022-6,Mission Viejo,2023-07-27T00:00:00Z,1,0.001776,Dry,Unknown,NA,NA,NA,NA,Verified,NA,NA,NA,33.628759,-117.66624
L01-733-4,Orange Co,2023-05-31T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.62235401,-117.57672575
L01-733-4,Orange Co,2023-08-15T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.62235401,-117.57672575
I01-11023-1,Laguna Beach,2023-06-07T00:00:00Z,1,0.002155,Other - See Comments,Unknown,Partial - Significant Distance,Priority,43,NA,Verified,NA,NA,Yes,33.54963669,-117.78032617
I01-11023-1,Laguna Beach,2023-07-07T00:00:00Z,1,0.002155,Other - See Comments,Unknown,Partial - Significant Distance,Priority,43,NA,Verified,NA,NA,Yes,33.54963669,-117.78032617
M02-142-1,San Clemente,2023-09-01T00:00:00Z,1,0,NA,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Removed From Inventory,NA,NA,NA,33.43629495,-117.62411754
M02-142-1,San Clemente,2023-05-24T00:00:00Z,1,0,NA,Unknown,NA,Not A Priority,NA,NA,Removed From Inventory,NA,NA,NA,33.43629495,-117.62411754
K01-12155-1,Laguna Niguel,2023-08-30T00:00:00Z,1,4.4e-4,Pooled or Ponded,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.49919589,-117.72022028
K01-12155-1,Laguna Niguel,2023-06-28T00:00:00Z,2,4.4e-4,Flowing,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,822,Verified,NA,NA,NA,33.49919589,-117.72022028
L03-455-3 (L03P37),San Juan Capistrano,2023-08-31T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.53870259,-117.67558208
L03-455-3 (L03P37),San Juan Capistrano,2023-06-29T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.53870259,-117.67558208
L03-693-1 (L03P11),Mission Viejo,2023-05-18T00:00:00Z,1,0.114855,Flowing,Yes,Direct Connection,Priority,55,4180,Verified,0.532895,0.032,NA,33.59775734,-117.65573521
L03-693-1 (L03P11),Mission Viejo,2023-08-02T00:00:00Z,1,0.114855,Flowing,Yes,Direct Connection,Priority,55,3890,Verified,0.112,0.038,NA,33.59775734,-117.65573521
L03-693-1 (L03P11),Mission Viejo,2022-11-21T00:00:00Z,1,0.114855,Flowing,Yes,Direct Connection,Priority,55,2957,Verified,0.043158,NA,NA,33.59775734,-117.65573521
J01-9259-3,Lake Forest,2023-09-25T00:00:00Z,1,0.00601,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.62434247,-117.68995504
J01-9259-3,Lake Forest,2023-07-17T00:00:00Z,1,0.00601,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,1630,Verified,NA,NA,NA,33.62434247,-117.68995504
SC09-081-2d,San Clemente,2023-09-14T00:00:00Z,1,0.075564,Flowing,Unknown,Direct Connection,NA,NA,11000,Verified,0.1008,0.031,NA,33.43542826,-117.63778634
SC09-081-2d,San Clemente,2023-09-07T00:00:00Z,1,0.075564,Flowing,Unknown,Direct Connection,NA,NA,9121,Verified,0.123457,NA,NA,33.43542826,-117.63778634
L02-344-2,Orange Co,2023-08-17T00:00:00Z,1,0.408144,Pooled or Ponded,Yes,NA,NA,NA,NA,Verified,NA,NA,NA,33.59189214,-117.62860278
L02-344-2,Orange Co,2023-06-01T00:00:00Z,1,0.408144,Pooled or Ponded,Yes,Unsafe to Access,NA,NA,NA,Verified,NA,NA,NA,33.59189214,-117.62860278
M02-052-3,San Clemente,2023-06-15T00:00:00Z,1,0.100222,Flowing,Yes,Direct Connection,Priority,48,6171,Verified,0.028889,NA,NA,33.45125039,-117.60979324
K01-12032-2 (K01P11),Laguna Niguel,2023-06-28T00:00:00Z,1,0.095233,Flowing,Yes,Undetermined,Priority,58,1920,Verified,0.412639,NA,NA,33.51685546,-117.71775833
K01-12032-2 (K01P11),Laguna Niguel,2023-08-30T00:00:00Z,1,0.095233,Flowing,Yes,Direct Connection,Priority,58,2140,Verified,0.053154,NA,NA,33.51685546,-117.71775833
K01-12032-2 (K01P11),Laguna Niguel,2023-06-28T00:00:00Z,1,0.095233,Flowing,Yes,Undetermined,Priority,58,2006,Verified,0.260204,NA,NA,33.51685546,-117.71775833
L01-517-6,Orange Co,2023-08-14T00:00:00Z,1,0.02934,Other - See Comments,Unknown,NA,NA,NA,NA,Verified,NA,NA,NA,33.52411358,-117.61898895
L01-517-6,Orange Co,2023-05-30T00:00:00Z,1,0.02934,NA,Unknown,Undetermined,NA,NA,NA,Verified,NA,NA,NA,33.52411358,-117.61898895
L01-517-2,San Juan Capistrano,2023-08-09T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.51860298,-117.62572076
L01-517-2,San Juan Capistrano,2023-06-05T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.51860298,-117.62572076
J05-9255-1 (J05P01),Laguna Hills,2023-09-27T00:00:00Z,1,0,NA,Yes,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.584603,-117.706386
J05-9255-1 (J05P01),Laguna Hills,2023-07-27T00:00:00Z,1,0,NA,Yes,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.584603,-117.706386
J05-9255-1 (J05P01),Laguna Hills,2023-08-17T00:00:00Z,1,0,NA,Yes,Undetermined,Not A Priority,NA,NA,Verified,NA,NA,NA,33.584603,-117.706386
J07-9110-2,Mission Viejo,2023-08-28T00:00:00Z,1,0.012035,Flowing,Yes,Direct Connection,Priority,45,NA,Verified,NA,NA,NA,33.6360887,-117.66225214
J07-9110-2,Mission Viejo,2023-07-17T00:00:00Z,1,0.012035,Pooled or Ponded,Yes,Direct Connection,Priority,45,1417,Verified,NA,0,NA,33.6360887,-117.66225214
J07-9110-2,Mission Viejo,2023-04-26T00:00:00Z,1,0.012035,Flowing,Yes,NA,Priority,45,NA,Verified,0.125,NA,NA,33.6360887,-117.66225214
