"","Inst Time","Flow (cfs)"
"4","4/28/2023 0:00","0.081"
"5","4/29/2023 0:00","0.081"
"6","4/30/2023 0:00","0.08"
"7","5/1/2023 0:00","0.08"
"8","5/2/2023 0:00","0.079"
"9","5/3/2023 0:00","0.08"
"10","5/4/2023 0:00","0.095"
"11","5/5/2023 0:00","0.079"
"12","5/6/2023 0:00","0.079"
"13","5/7/2023 0:00","0.08"
"14","5/8/2023 0:00","0.08"
"15","5/9/2023 0:00","0.081"
"16","5/10/2023 0:00","0.079"
"17","5/11/2023 0:00","0.08"
"18","5/12/2023 0:00","0.081"
"19","5/13/2023 0:00","0.081"
"20","5/14/2023 0:00","0.081"
"21","5/15/2023 0:00","0.081"
"22","5/16/2023 0:00","0.081"
"23","5/17/2023 0:00","0.08"
"24","5/18/2023 0:00","0.08"
"25","5/19/2023 0:00","0.08"
"26","5/20/2023 0:00","0.081"
"27","5/21/2023 0:00","0.081"
"28","5/22/2023 0:00","0.08"
"29","5/23/2023 0:00","0.078"
"30","5/24/2023 0:00","0.078"
"31","5/25/2023 0:00","0.078"
"32","5/26/2023 0:00","0.078"
"33","5/27/2023 0:00","0.078"
"34","5/28/2023 0:00","0.078"
"35","5/29/2023 0:00","0.077"
"36","5/30/2023 0:00","0.08"
"37","5/31/2023 0:00","0.077"
"38","6/1/2023 0:00","0.078"
"39","6/2/2023 0:00","0.078"
"40","6/3/2023 0:00","0.078"
"41","6/4/2023 0:00","0.078"
"42","6/5/2023 0:00","0.077"
"43","6/6/2023 0:00","0.077"
"44","6/7/2023 0:00","0.077"
"45","6/8/2023 0:00","0.078"
"46","6/9/2023 0:00","0.078"
"47","6/10/2023 0:00","0.077"
"48","6/11/2023 0:00","0.078"
"49","6/12/2023 0:00","0.079"
"50","6/13/2023 0:00","0.078"
"51","6/14/2023 0:00","0.078"
"52","6/15/2023 0:00","0.078"
"53","6/16/2023 0:00","0.078"
"54","6/17/2023 0:00","0.078"
"55","6/18/2023 0:00","0.077"
"56","6/19/2023 0:00","0.077"
"57","6/20/2023 0:00","0.077"
"58","6/21/2023 0:00","0.076"
"59","6/22/2023 0:00","0.076"
"60","6/23/2023 0:00","0.076"
"61","6/24/2023 0:00","0.076"
"62","6/25/2023 0:00","0.077"
"63","6/26/2023 0:00","0.076"
"64","6/27/2023 0:00","0.077"
"65","6/28/2023 0:00","0.077"
"66","6/29/2023 0:00","0.077"
"67","6/30/2023 0:00","0.078"
"68","7/1/2023 0:00","0.078"
"69","7/2/2023 0:00","0.078"
"70","7/3/2023 0:00","0.077"
"71","7/4/2023 0:00","0.077"
"72","7/5/2023 0:00","0.077"
"73","7/6/2023 0:00","0.078"
"74","7/7/2023 0:00","0.08"
"75","7/8/2023 0:00","0.08"
"76","7/9/2023 0:00","0.08"
"77","7/10/2023 0:00","0.08"
"78","7/11/2023 0:00","0.081"
"79","7/12/2023 0:00","0.081"
"80","7/13/2023 0:00","0.082"
"81","7/14/2023 0:00","0.082"
"82","7/15/2023 0:00","0.081"
"83","7/16/2023 0:00","0.085"
"84","7/17/2023 0:00","0.091"
"85","7/18/2023 0:00","0.09"
"86","7/19/2023 0:00","0.082"
"87","7/20/2023 0:00","0.082"
"88","7/21/2023 0:00","0.081"
"89","7/22/2023 0:00","0.082"
"90","7/23/2023 0:00","0.082"
"91","7/24/2023 0:00","0.082"
"92","7/25/2023 0:00","0.083"
"93","7/26/2023 0:00","0.084"
"94","7/27/2023 0:00","0.083"
"95","7/28/2023 0:00","0.083"
"96","7/29/2023 0:00","0.084"
"97","7/30/2023 0:00","0.084"
"98","7/31/2023 0:00","0.083"
"99","8/1/2023 0:00","0.083"
"100","8/2/2023 0:00","0.082"
"101","8/3/2023 0:00","0.081"
"102","8/4/2023 0:00","0.081"
"103","8/5/2023 0:00","0.082"
"104","8/6/2023 0:00","0.082"
"105","8/7/2023 0:00","0.081"
"106","8/8/2023 0:00","0.082"
"107","8/9/2023 0:00","0.082"
"108","8/10/2023 0:00","0.082"
"109","8/11/2023 0:00","0.082"
"110","8/12/2023 0:00","0.081"
"111","8/13/2023 0:00","0.082"
"112","8/14/2023 0:00","0.082"
"113","8/15/2023 0:00","0.083"
"114","8/16/2023 0:00","0.082"
"115","8/17/2023 0:00","0.081"
"116","8/18/2023 0:00","0.081"
"117","8/19/2023 0:00","0.081"
"118","8/20/2023 0:00","0.184"
"119","8/21/2023 0:00","0.096"
"120","8/22/2023 0:00","0.081"
"121","8/23/2023 0:00","0.081"
"122","8/24/2023 0:00","0.08"
"123","8/25/2023 0:00","0.08"
"124","8/26/2023 0:00","0.081"
"125","8/27/2023 0:00","0.081"
"126","8/28/2023 0:00","0.081"
"127","8/29/2023 0:00","0.081"
"128","8/30/2023 0:00","0.081"
"129","8/31/2023 0:00","0.081"
"130","9/1/2023 0:00","0.081"
"131","9/2/2023 0:00","0.082"
"132","9/3/2023 0:00","0.081"
"133","9/4/2023 0:00","0.08"
"134","9/5/2023 0:00","0.081"
"135","9/6/2023 0:00","0.081"
"136","9/7/2023 0:00","0.081"
"137","9/8/2023 0:00","0.082"
"138","9/9/2023 0:00","0.082"
"139","9/10/2023 0:00","0.083"
"140","9/11/2023 0:00","0.082"
"141","9/12/2023 0:00","0.081"
"142","9/13/2023 0:00","0.081"
"143","9/14/2023 0:00","0.081"
"144","9/15/2023 0:00","0.082"
"145","9/16/2023 0:00","0.082"
"146","9/17/2023 0:00","0.082"
"147","9/18/2023 0:00","0.082"
"148","9/19/2023 0:00","0.08"
"149","9/20/2023 0:00","0.081"
"150","9/21/2023 0:00","0.08"
"151","9/22/2023 0:00","0.08"
"152","9/23/2023 0:00","0.08"
"153","9/24/2023 0:00","0.08"
"154","9/25/2023 0:00","0.08"
"155","9/26/2023 0:00","0.08"
"156","9/27/2023 0:00","0.08"
"157","9/28/2023 0:00","0.081"
"158","9/29/2023 0:00","0.082"
"159","9/30/2023 0:00","0.08"
"160","10/1/2023 0:00","0.079"
"161","10/2/2023 0:00","0.079"
"162","10/3/2023 0:00","0.08"
"163","10/4/2023 0:00","0.081"
"164","10/5/2023 0:00","0.082"
"165","10/6/2023 0:00","0.09"
"166","10/7/2023 0:00","0.085"
"167","10/8/2023 0:00","0.081"
"168","10/9/2023 0:00","0.08"
"169","10/10/2023 0:00","0.081"
"170","10/11/2023 0:00","0.081"
"171","10/12/2023 0:00","0.079"
"172","10/13/2023 0:00","0.079"
"173","10/14/2023 0:00","0.08"
"174","10/15/2023 0:00","0.08"
"175","10/16/2023 0:00","0.08"
"176","10/17/2023 0:00","0.081"
"177","10/18/2023 0:00","0.081"
"178","10/19/2023 0:00","0.081"
"179","10/20/2023 0:00","0.08"
"180","10/21/2023 0:00","0.08"
"181","10/22/2023 0:00","0.08"
"182","10/23/2023 0:00","0.08"
"183","10/24/2023 0:00","0.079"
"184","10/25/2023 0:00","0.079"
"185","10/26/2023 0:00","0.079"
"186","10/27/2023 0:00","0.078"
"187","10/28/2023 0:00","0.078"
"188","10/29/2023 0:00","0.077"
"189","10/30/2023 0:00","0.077"
"190","10/31/2023 0:00","0.077"
"191","11/1/2023 0:00","0.077"
"192","11/2/2023 0:00","0.078"
"193","11/3/2023 0:00","0.078"
"194","11/4/2023 0:00","0.078"
"195","11/5/2023 0:00","0.079"
"196","11/6/2023 0:00","0.08"
"197","11/7/2023 0:00","0.08"
"198","11/8/2023 0:00",""
