"","Inst Time","Flow (cfs)"
"4","4/28/2023 0:00","0.081"
"5","4/29/2023 0:00","0.084"
"6","4/30/2023 0:00","0.063"
"7","5/1/2023 0:00","0.068"
"8","5/2/2023 0:00","0.065"
"9","5/3/2023 0:00","0.078"
"10","5/4/2023 0:00","1.82"
"11","5/5/2023 0:00","0.069"
"12","5/6/2023 0:00","0.073"
"13","5/7/2023 0:00","0.084"
"14","5/8/2023 0:00","0.092"
"15","5/9/2023 0:00","0.101"
"16","5/10/2023 0:00","0.067"
"17","5/11/2023 0:00","0.083"
"18","5/12/2023 0:00","0.1"
"19","5/13/2023 0:00","0.083"
"20","5/14/2023 0:00","0.098"
"21","5/15/2023 0:00","0.09"
"22","5/16/2023 0:00","0.107"
"23","5/17/2023 0:00","0.081"
"24","5/18/2023 0:00","0.073"
"25","5/19/2023 0:00","0.084"
"26","5/20/2023 0:00","0.102"
"27","5/21/2023 0:00","0.101"
"28","5/22/2023 0:00","0.092"
"29","5/23/2023 0:00","0.092"
"30","5/24/2023 0:00","0.108"
"31","5/25/2023 0:00","0.081"
"32","5/26/2023 0:00","0.082"
"33","5/27/2023 0:00","0.096"
"34","5/28/2023 0:00","0.09"
"35","5/29/2023 0:00","0.089"
"36","5/30/2023 0:00","0.512"
"37","5/31/2023 0:00","0.087"
"38","6/1/2023 0:00","0.099"
"39","6/2/2023 0:00","0.1"
"40","6/3/2023 0:00","0.095"
"41","6/4/2023 0:00","0.094"
"42","6/5/2023 0:00","0.071"
"43","6/6/2023 0:00","0.064"
"44","6/7/2023 0:00","0.088"
"45","6/8/2023 0:00","0.091"
"46","6/9/2023 0:00","0.082"
"47","6/10/2023 0:00","0.077"
"48","6/11/2023 0:00","0.073"
"49","6/12/2023 0:00","0.084"
"50","6/13/2023 0:00","0.088"
"51","6/14/2023 0:00","0.084"
"52","6/15/2023 0:00","0.143"
"53","6/16/2023 0:00","0.106"
"54","6/17/2023 0:00","0.12"
"55","6/18/2023 0:00","0.052"
"56","6/19/2023 0:00","0.065"
"57","6/20/2023 0:00","0.079"
"58","6/21/2023 0:00","0.083"
"59","6/22/2023 0:00","0.061"
"60","6/23/2023 0:00","0.069"
"61","6/24/2023 0:00","0.078"
"62","6/25/2023 0:00","0.082"
"63","6/26/2023 0:00","0.078"
"64","6/27/2023 0:00","0.082"
"65","6/28/2023 0:00","0.063"
"66","6/29/2023 0:00","0.071"
"67","6/30/2023 0:00","0.109"
"68","7/1/2023 0:00","0.082"
"69","7/2/2023 0:00","0.091"
"70","7/3/2023 0:00","0.063"
"71","7/4/2023 0:00","0.069"
"72","7/5/2023 0:00","0.071"
"73","7/6/2023 0:00","0.058"
"74","7/7/2023 0:00","0.07"
"75","7/8/2023 0:00","0.076"
"76","7/9/2023 0:00","0.075"
"77","7/10/2023 0:00","0.085"
"78","7/11/2023 0:00","0.086"
"79","7/12/2023 0:00","0.047"
"80","7/13/2023 0:00","0.075"
"81","7/14/2023 0:00","0.078"
"82","7/15/2023 0:00","0.082"
"83","7/16/2023 0:00","0.089"
"84","7/17/2023 0:00","0.106"
"85","7/18/2023 0:00","0.087"
"86","7/19/2023 0:00","0.052"
"87","7/20/2023 0:00","0.079"
"88","7/21/2023 0:00","0.081"
"89","7/22/2023 0:00","0.096"
"90","7/23/2023 0:00","0.072"
"91","7/24/2023 0:00","0.125"
"92","7/25/2023 0:00","0.078"
"93","7/26/2023 0:00","0.061"
"94","7/27/2023 0:00","0.087"
"95","7/28/2023 0:00","0.068"
"96","7/29/2023 0:00","0.103"
"97","7/30/2023 0:00","0.082"
"98","7/31/2023 0:00","0.094"
"99","8/1/2023 0:00","0.122"
"100","8/2/2023 0:00","0.094"
"101","8/3/2023 0:00","0.066"
"102","8/4/2023 0:00","0.076"
"103","8/5/2023 0:00","0.096"
"104","8/6/2023 0:00","0.092"
"105","8/7/2023 0:00","0.084"
"106","8/8/2023 0:00","0.102"
"107","8/9/2023 0:00","0.103"
"108","8/10/2023 0:00","0.104"
"109","8/11/2023 0:00","0.09"
"110","8/12/2023 0:00","0.072"
"111","8/13/2023 0:00","0.096"
"112","8/14/2023 0:00","0.12"
"113","8/15/2023 0:00","0.091"
"114","8/16/2023 0:00","0.082"
"115","8/17/2023 0:00","0.085"
"116","8/18/2023 0:00","0.086"
"117","8/19/2023 0:00","0.071"
"118","8/20/2023 0:00","14.2"
"119","8/21/2023 0:00","0.443"
"120","8/22/2023 0:00","0.137"
"121","8/23/2023 0:00","0.125"
"122","8/24/2023 0:00","0.122"
"123","8/25/2023 0:00","0.119"
"124","8/26/2023 0:00","0.102"
"125","8/27/2023 0:00","0.092"
"126","8/28/2023 0:00","0.081"
"127","8/29/2023 0:00","0.064"
"128","8/30/2023 0:00","0.109"
"129","8/31/2023 0:00","0.12"
"130","9/1/2023 0:00","0.124"
"131","9/2/2023 0:00","0.177"
"132","9/3/2023 0:00","0.128"
"133","9/4/2023 0:00","0.08"
"134","9/5/2023 0:00","0.101"
"135","9/6/2023 0:00","0.121"
