"","Inst Time","Flow (cfs)"
"5","4/26/2023 0:00","0.278"
"6","4/27/2023 0:00","0.279"
"7","4/28/2023 0:00","0.292"
"8","4/29/2023 0:00","0.244"
"9","4/30/2023 0:00","0.2"
"10","5/1/2023 0:00","0.234"
"11","5/2/2023 0:00","0.203"
"12","5/3/2023 0:00","0.198"
"13","5/4/2023 0:00","1.34"
"14","5/5/2023 0:00","0.407"
"15","5/6/2023 0:00","0.247"
"16","5/7/2023 0:00","0.246"
"17","5/8/2023 0:00","0.27"
"18","5/9/2023 0:00","0.263"
"19","5/10/2023 0:00","0.273"
"20","5/11/2023 0:00","0.269"
"21","5/12/2023 0:00","0.284"
"22","5/13/2023 0:00","0.275"
"23","5/14/2023 0:00","0.259"
"24","5/15/2023 0:00","0.265"
"25","5/16/2023 0:00","0.252"
"26","5/17/2023 0:00","0.272"
"27","5/18/2023 0:00","0.256"
"28","5/19/2023 0:00","0.225"
"29","5/20/2023 0:00","0.251"
"30","5/21/2023 0:00","0.25"
"31","5/22/2023 0:00","0.272"
"32","5/23/2023 0:00","0.267"
"33","5/24/2023 0:00","0.395"
"34","5/25/2023 0:00","0.223"
"35","5/26/2023 0:00","0.251"
"36","5/27/2023 0:00","0.244"
"37","5/28/2023 0:00","0.221"
"38","5/29/2023 0:00","0.413"
"39","5/30/2023 0:00","0.255"
"40","5/31/2023 0:00","0.293"
"41","6/1/2023 0:00","0.632"
"42","6/2/2023 0:00","0.395"
"43","6/3/2023 0:00","0.301"
"44","6/4/2023 0:00","0.268"
"45","6/5/2023 0:00","0.314"
"46","6/6/2023 0:00","0.26"
"47","6/7/2023 0:00","0.253"
"48","6/8/2023 0:00","0.288"
"49","6/9/2023 0:00","0.259"
"50","6/10/2023 0:00","0.261"
"51","6/11/2023 0:00","0.268"
"52","6/12/2023 0:00","0.245"
"53","6/13/2023 0:00","0.288"
"54","6/14/2023 0:00","0.254"
"55","6/15/2023 0:00","0.288"
"56","6/16/2023 0:00","0.256"
"57","6/17/2023 0:00","0.23"
"58","6/18/2023 0:00","0.217"
"59","6/19/2023 0:00","0.228"
"60","6/20/2023 0:00","0.238"
"61","6/21/2023 0:00","0.216"
"62","6/22/2023 0:00","0.225"
"63","6/23/2023 0:00","0.234"
"64","6/24/2023 0:00","0.254"
"65","6/25/2023 0:00","0.204"
