"","Inst Time","Flow (cfs)"
"5","5/4/2023 0:00","0.113"
"6","5/5/2023 0:00","0.028"
"7","5/6/2023 0:00","0.023"
"8","5/7/2023 0:00","0.028"
"9","5/8/2023 0:00","0.028"
"10","5/9/2023 0:00","0.028"
"11","5/10/2023 0:00","0.026"
"12","5/11/2023 0:00","0.026"
"13","5/12/2023 0:00","0.028"
"14","5/13/2023 0:00","0.024"
"15","5/14/2023 0:00","0.025"
"16","5/15/2023 0:00","0.027"
"17","5/16/2023 0:00","0.03"
"18","5/17/2023 0:00","0.025"
"19","5/18/2023 0:00","0.025"
"20","5/19/2023 0:00","0.025"
"21","5/20/2023 0:00","0.025"
"22","5/21/2023 0:00","0.026"
"23","5/22/2023 0:00","0.025"
"24","5/23/2023 0:00","0.026"
"25","5/24/2023 0:00","0.026"
"26","5/25/2023 0:00","0.026"
"27","5/26/2023 0:00","0.024"
"28","5/27/2023 0:00","0.023"
"29","5/28/2023 0:00","0.023"
"30","5/29/2023 0:00","0.026"
"31","5/30/2023 0:00","0.024"
"32","5/31/2023 0:00","0.025"
"33","6/1/2023 0:00","0.044"
"34","6/2/2023 0:00","0.027"
"35","6/3/2023 0:00","0.027"
"36","6/4/2023 0:00","0.026"
"37","6/5/2023 0:00","0.028"
"38","6/6/2023 0:00","0.032"
"39","6/7/2023 0:00","0.034"
"40","6/8/2023 0:00","0.03"
"41","6/9/2023 0:00","0.029"
"42","6/10/2023 0:00","0.03"
"43","6/11/2023 0:00","0.034"
"44","6/12/2023 0:00","0.036"
"45","6/13/2023 0:00","0.034"
"46","6/14/2023 0:00","0.031"
"47","6/15/2023 0:00","0.034"
"48","6/16/2023 0:00","0.037"
"49","6/17/2023 0:00","0.036"
"50","6/18/2023 0:00","0.032"
"51","6/19/2023 0:00","0.032"
"52","6/20/2023 0:00","0.033"
"53","6/21/2023 0:00","0.028"
"54","6/22/2023 0:00","0.029"
"55","6/23/2023 0:00","0.028"
"56","6/24/2023 0:00","0.026"
"57","6/25/2023 0:00","0.028"
"58","6/26/2023 0:00","0.025"
"59","6/27/2023 0:00","0.027"
"60","6/28/2023 0:00","0.028"
"61","6/29/2023 0:00","0.03"
"62","6/30/2023 0:00","0.031"
"63","7/1/2023 0:00","0.028"
"64","7/2/2023 0:00","0.026"
"65","7/3/2023 0:00","0.027"
"66","7/4/2023 0:00","0.032"
"67","7/5/2023 0:00","0.031"
"68","7/6/2023 0:00","0.031"
"69","7/7/2023 0:00","0.034"
"70","7/8/2023 0:00","0.034"
"71","7/9/2023 0:00","0.032"
"72","7/10/2023 0:00","0.029"
"73","7/11/2023 0:00","0.034"
"74","7/12/2023 0:00","0.035"
