Time,J01_9224_2
and,262
Date,Mean
4/27/2023 0:00,
4/28/2023 0:00,0.081
4/29/2023 0:00,0.081
4/30/2023 0:00,0.08
5/1/2023 0:00,0.08
5/2/2023 0:00,0.079
5/3/2023 0:00,0.08
5/4/2023 0:00,0.095
5/5/2023 0:00,0.079
5/6/2023 0:00,0.079
5/7/2023 0:00,0.08
5/8/2023 0:00,0.08
5/9/2023 0:00,0.081
5/10/2023 0:00,0.079
5/11/2023 0:00,0.08
5/12/2023 0:00,0.081
5/13/2023 0:00,0.081
5/14/2023 0:00,0.081
5/15/2023 0:00,0.081
5/16/2023 0:00,0.081
5/17/2023 0:00,0.08
5/18/2023 0:00,0.08
5/19/2023 0:00,0.08
5/20/2023 0:00,0.081
5/21/2023 0:00,0.081
5/22/2023 0:00,0.08
5/23/2023 0:00,0.078
5/24/2023 0:00,0.078
5/25/2023 0:00,0.078
5/26/2023 0:00,0.078
5/27/2023 0:00,0.078
5/28/2023 0:00,0.078
5/29/2023 0:00,0.077
5/30/2023 0:00,0.08
5/31/2023 0:00,0.077
6/1/2023 0:00,0.078
6/2/2023 0:00,0.078
6/3/2023 0:00,0.078
6/4/2023 0:00,0.078
6/5/2023 0:00,0.077
6/6/2023 0:00,0.077
6/7/2023 0:00,0.077
6/8/2023 0:00,0.078
6/9/2023 0:00,0.078
6/10/2023 0:00,0.077
6/11/2023 0:00,0.078
6/12/2023 0:00,0.079
6/13/2023 0:00,0.078
6/14/2023 0:00,0.078
6/15/2023 0:00,0.078
6/16/2023 0:00,0.078
6/17/2023 0:00,0.078
6/18/2023 0:00,0.077
6/19/2023 0:00,0.077
6/20/2023 0:00,0.077
6/21/2023 0:00,0.076
6/22/2023 0:00,0.076
6/23/2023 0:00,0.076
6/24/2023 0:00,0.076
6/25/2023 0:00,0.077
6/26/2023 0:00,0.076
6/27/2023 0:00,0.077
6/28/2023 0:00,0.077
6/29/2023 0:00,0.077
6/30/2023 0:00,0.078
7/1/2023 0:00,0.078
7/2/2023 0:00,0.078
7/3/2023 0:00,0.077
7/4/2023 0:00,0.077
7/5/2023 0:00,0.077
7/6/2023 0:00,0.078
7/7/2023 0:00,0.08
7/8/2023 0:00,0.08
7/9/2023 0:00,0.08
7/10/2023 0:00,0.08
7/11/2023 0:00,0.081
7/12/2023 0:00,0.081
7/13/2023 0:00,0.082
7/14/2023 0:00,0.082
7/15/2023 0:00,0.081
7/16/2023 0:00,0.085
7/17/2023 0:00,0.091
7/18/2023 0:00,0.09
7/19/2023 0:00,0.082
7/20/2023 0:00,0.082
7/21/2023 0:00,0.081
7/22/2023 0:00,0.082
7/23/2023 0:00,0.082
7/24/2023 0:00,0.082
7/25/2023 0:00,0.083
7/26/2023 0:00,0.084
7/27/2023 0:00,0.083
7/28/2023 0:00,0.083
7/29/2023 0:00,0.084
7/30/2023 0:00,0.084
7/31/2023 0:00,0.083
8/1/2023 0:00,0.083
8/2/2023 0:00,0.082
8/3/2023 0:00,0.081
8/4/2023 0:00,0.081
8/5/2023 0:00,0.082
8/6/2023 0:00,0.082
8/7/2023 0:00,0.081
8/8/2023 0:00,0.082
8/9/2023 0:00,0.082
8/10/2023 0:00,0.082
8/11/2023 0:00,0.082
8/12/2023 0:00,0.081
8/13/2023 0:00,0.082
