Time,K01_12058_1,K01_12058_2
and,262,262
Date,Mean,Mean
4/27/2023 0:00,,0.771
4/28/2023 0:00,0.081,0.051
4/29/2023 0:00,0.084,0.055
4/30/2023 0:00,0.063,0.041
5/1/2023 0:00,0.068,0.051
5/2/2023 0:00,0.065,0.041
5/3/2023 0:00,0.078,0.046
5/4/2023 0:00,1.82,0.177
5/5/2023 0:00,0.069,0.06
5/6/2023 0:00,0.073,0.05
5/7/2023 0:00,0.084,0.055
5/8/2023 0:00,0.092,0.058
5/9/2023 0:00,0.101,0.065
5/10/2023 0:00,0.067,0.05
5/11/2023 0:00,0.083,0.052
5/12/2023 0:00,0.1,0.06
5/13/2023 0:00,0.083,0.058
5/14/2023 0:00,0.098,0.07
5/15/2023 0:00,0.09,0.065
5/16/2023 0:00,0.107,0.08
5/17/2023 0:00,0.081,0.055
5/18/2023 0:00,0.073,0.047
5/19/2023 0:00,0.084,0.057
5/20/2023 0:00,0.102,0.081
5/21/2023 0:00,0.101,0.084
5/22/2023 0:00,0.092,0.08
5/23/2023 0:00,0.092,0.085
5/24/2023 0:00,0.108,0.081
5/25/2023 0:00,0.081,0.072
5/26/2023 0:00,0.082,0.069
5/27/2023 0:00,0.096,0.081
5/28/2023 0:00,0.09,0.079
5/29/2023 0:00,0.089,0.077
5/30/2023 0:00,0.512,0.3
5/31/2023 0:00,0.087,0.073
6/1/2023 0:00,0.099,0.089
6/2/2023 0:00,0.1,0.089
6/3/2023 0:00,0.095,0.073
6/4/2023 0:00,0.094,0.068
6/5/2023 0:00,0.071,0.051
6/6/2023 0:00,0.064,0.047
6/7/2023 0:00,0.088,0.066
6/8/2023 0:00,0.091,0.07
6/9/2023 0:00,0.082,0.065
6/10/2023 0:00,0.077,0.062
6/11/2023 0:00,0.073,0.068
6/12/2023 0:00,0.084,0.081
6/13/2023 0:00,0.088,0.082
6/14/2023 0:00,0.084,0.061
6/15/2023 0:00,0.143,0.085
6/16/2023 0:00,0.106,0.086
6/17/2023 0:00,0.12,0.082
6/18/2023 0:00,0.052,0.047
6/19/2023 0:00,0.065,0.055
6/20/2023 0:00,0.079,0.06
6/21/2023 0:00,0.083,0.054
6/22/2023 0:00,0.061,0.043
6/23/2023 0:00,0.069,0.05
6/24/2023 0:00,0.078,0.052
6/25/2023 0:00,0.082,0.055
6/26/2023 0:00,0.078,0.049
