Time,L04_672_1,L04_672_1
and,232,262
Date,Point,Point
5/2/2023 10:45,0.041,0.108
5/2/2023 10:50,0.031,0.059
5/2/2023 10:55,0.04,0.103
5/2/2023 11:00,0.039,0.097
5/2/2023 11:05,0.036,0.085
5/2/2023 11:10,0.039,0.101
5/2/2023 11:15,0.036,0.082
5/2/2023 11:20,0.038,0.092
5/2/2023 11:25,0.031,0.061
5/2/2023 11:30,0.032,0.064
5/2/2023 11:35,0.036,0.084
5/2/2023 11:40,0.033,0.07
5/2/2023 11:45,0.036,0.084
5/2/2023 11:50,0.038,0.092
5/2/2023 11:55,0.048,0.154
5/2/2023 12:00,0.04,0.103
5/2/2023 12:05,0.039,0.098
5/2/2023 12:10,0.03,0.058
5/2/2023 12:15,0.036,0.082
5/2/2023 12:20,0.046,0.145
5/2/2023 12:25,0.046,0.145
5/2/2023 12:30,0.039,0.097
5/2/2023 12:35,0.038,0.095
5/2/2023 12:40,0.036,0.085
5/2/2023 12:45,0.037,0.088
5/2/2023 12:50,0.037,0.086
5/2/2023 12:55,0.044,0.128
5/2/2023 13:00,0.039,0.098
5/2/2023 13:05,0.025,0.038
5/2/2023 13:10,0.032,0.064
5/2/2023 13:15,0.037,0.091
5/2/2023 13:20,0.039,0.101
5/2/2023 13:25,0.034,0.073
5/2/2023 13:30,0.039,0.101
5/2/2023 13:35,0.034,0.071
5/2/2023 13:40,0.039,0.097
5/2/2023 13:45,0.035,0.079
5/2/2023 13:50,0.05,0.166
5/2/2023 13:55,0.045,0.135
5/2/2023 14:00,0.034,0.074
5/2/2023 14:05,0.041,0.108
5/2/2023 14:10,0.041,0.113
5/2/2023 14:15,0.043,0.123
5/2/2023 14:20,0.036,0.084
5/2/2023 14:25,0.03,0.057
5/2/2023 14:30,0.041,0.108
5/2/2023 14:35,0.051,0.177
5/2/2023 14:40,0.039,0.1
5/2/2023 14:45,0.042,0.114
5/2/2023 14:50,0.038,0.094
5/2/2023 14:55,0.044,0.13
5/2/2023 15:00,0.035,0.079
5/2/2023 15:05,0.034,0.075
5/2/2023 15:10,0.031,0.06
5/2/2023 15:15,0.038,0.094
5/2/2023 15:20,0.033,0.069
5/2/2023 15:25,0.038,0.095
5/2/2023 15:30,0.036,0.082
5/2/2023 15:35,0.039,0.097
5/2/2023 15:40,0.045,0.134
5/2/2023 15:45,0.035,0.079
5/2/2023 15:50,0.035,0.079
5/2/2023 15:55,0.032,0.065
5/2/2023 16:00,0.034,0.075
5/2/2023 16:05,0.037,0.091
5/2/2023 16:10,0.03,0.057
5/2/2023 16:15,0.034,0.075
5/2/2023 16:20,0.036,0.082
5/2/2023 16:25,0.033,0.07
5/2/2023 16:30,0.03,0.054
5/2/2023 16:35,0.032,0.064
5/2/2023 16:40,0.035,0.079
5/2/2023 16:45,0.03,0.058
5/2/2023 16:50,0.027,0.046
5/2/2023 16:55,0.026,0.04
5/2/2023 17:00,0.03,0.058
5/2/2023 17:05,0.029,0.053
5/2/2023 17:10,0.029,0.052
5/2/2023 17:15,0.037,0.088
5/2/2023 17:20,0.037,0.089
5/2/2023 17:25,0.027,0.046
5/2/2023 17:30,0.034,0.071
5/2/2023 17:35,0.032,0.064
5/2/2023 17:40,0.03,0.054
5/2/2023 17:45,0.027,0.045
5/2/2023 17:50,0.025,0.038
5/2/2023 17:55,0.027,0.045
5/2/2023 18:00,0.032,0.065
5/2/2023 18:05,0.022,0.029
5/2/2023 18:10,0.023,0.03
5/2/2023 18:15,0.024,0.036
5/2/2023 18:20,0.023,0.03
5/2/2023 18:25,0.024,0.035
5/2/2023 18:30,0.027,0.044
5/2/2023 18:35,0.023,0.03
5/2/2023 18:40,0.019,0.021
5/2/2023 18:45,0.019,0.02
5/2/2023 18:50,0.024,0.034
5/2/2023 18:55,0.02,0.023
5/2/2023 19:00,0.022,0.029
5/2/2023 19:05,0.02,0.023
5/2/2023 19:10,0.024,0.036
5/2/2023 19:15,0.014,0.011
5/2/2023 19:20,0.01,0.005
5/2/2023 19:25,0.014,0.011
5/2/2023 19:30,0.02,0.023
5/2/2023 19:35,0.018,0.019
5/2/2023 19:40,0.021,0.027
5/2/2023 19:45,0.022,0.028
5/2/2023 19:50,0.03,0.056
5/2/2023 19:55,0.028,0.049
5/2/2023 20:00,0.018,0.019
5/2/2023 20:05,0.025,0.037
5/2/2023 20:10,0.026,0.04
5/2/2023 20:15,0.022,0.029
5/2/2023 20:20,0.02,0.024
5/2/2023 20:25,0.021,0.025
5/2/2023 20:30,0.019,0.021
5/2/2023 20:35,0.019,0.021
5/2/2023 20:40,0.023,0.032
5/2/2023 20:45,0.016,0.014
5/2/2023 20:50,0.019,0.021
5/2/2023 20:55,0.014,0.011
5/2/2023 21:00,0.012,0.007
5/2/2023 21:05,0.01,0.005
5/2/2023 21:10,0.015,0.012
5/2/2023 21:15,0.01,0.005
5/2/2023 21:20,0.015,0.012
5/2/2023 21:25,0.019,0.021
5/2/2023 21:30,0.023,0.032
5/2/2023 21:35,0.022,0.029
5/2/2023 21:40,0.021,0.026
5/2/2023 21:45,0.019,0.021
5/2/2023 21:50,0.023,0.031
5/2/2023 21:55,0.025,0.038
5/2/2023 22:00,0.022,0.029
5/2/2023 22:05,0.024,0.034
5/2/2023 22:10,0.023,0.033
5/2/2023 22:15,0.027,0.046
5/2/2023 22:20,0.028,0.048
5/2/2023 22:25,0.022,0.028
5/2/2023 22:30,0.024,0.034
5/2/2023 22:35,0.021,0.025
5/2/2023 22:40,0.017,0.017
5/2/2023 22:45,0.014,0.011
5/2/2023 22:50,0.02,0.024
5/2/2023 22:55,0.023,0.03
5/2/2023 23:00,0.023,0.031
5/2/2023 23:05,0.022,0.028
5/2/2023 23:10,0.019,0.02
5/2/2023 23:15,0.024,0.034
5/2/2023 23:20,0.024,0.036
5/2/2023 23:25,0.023,0.031
5/2/2023 23:30,0.023,0.033
5/2/2023 23:35,0.024,0.034
5/2/2023 23:40,0.022,0.029
5/2/2023 23:45,0.022,0.028
5/2/2023 23:50,0.024,0.034
5/2/2023 23:55,0.023,0.03
5/3/2023 0:00,0.018,0.019
5/3/2023 0:05,0.021,0.026
5/3/2023 0:10,0.017,0.017
5/3/2023 0:15,0.021,0.025
5/3/2023 0:20,0.021,0.026
5/3/2023 0:25,0.021,0.025
5/3/2023 0:30,0.03,0.057
5/3/2023 0:35,0.027,0.045
5/3/2023 0:40,0.022,0.029
5/3/2023 0:45,0.021,0.027
5/3/2023 0:50,0.029,0.053
5/3/2023 0:55,0.028,0.05
5/3/2023 1:00,0.025,0.037
5/3/2023 1:05,0.026,0.043
5/3/2023 1:10,0.027,0.044
5/3/2023 1:15,0.034,0.073
5/3/2023 1:20,0.033,0.069
5/3/2023 1:25,0.033,0.068
5/3/2023 1:30,0.024,0.035
5/3/2023 1:35,0.024,0.034
5/3/2023 1:40,0.023,0.031
5/3/2023 1:45,0.033,0.069
5/3/2023 1:50,0.03,0.054
5/3/2023 1:55,0.021,0.025
5/3/2023 2:00,0.021,0.025
5/3/2023 2:05,0.02,0.024
5/3/2023 2:10,0.023,0.031
5/3/2023 2:15,0.021,0.027
5/3/2023 2:20,0.024,0.034
5/3/2023 2:25,0.021,0.026
5/3/2023 2:30,0.019,0.021
5/3/2023 2:35,0.022,0.029
5/3/2023 2:40,0.019,0.021
5/3/2023 2:45,0.019,0.021
5/3/2023 2:50,0.022,0.029
5/3/2023 2:55,0.024,0.034
5/3/2023 3:00,0.025,0.037
5/3/2023 3:05,0.021,0.027
5/3/2023 3:10,0.024,0.034
5/3/2023 3:15,0.017,0.016
5/3/2023 3:20,0.016,0.015
5/3/2023 3:25,0.019,0.02
5/3/2023 3:30,0.025,0.038
5/3/2023 3:35,0.021,0.027
5/3/2023 3:40,0.022,0.029
5/3/2023 3:45,0.018,0.018
5/3/2023 3:50,0.021,0.025
5/3/2023 3:55,0.023,0.032
5/3/2023 4:00,0.019,0.021
5/3/2023 4:05,0.017,0.017
5/3/2023 4:10,0.017,0.017
5/3/2023 4:15,0.016,0.014
5/3/2023 4:20,0.015,0.013
5/3/2023 4:25,0.019,0.02
5/3/2023 4:30,0.02,0.024
5/3/2023 4:35,0.021,0.027
5/3/2023 4:40,0.017,0.016
5/3/2023 4:45,0.014,0.011
5/3/2023 4:50,0.015,0.013
