Time,L02_641_2,L02_246_1,L02_374_1
and,262,262,262
Date,Mean,Mean,Mean
4/24/2023 0:00,,,
4/25/2023 0:00,0.293,0.022,0.062
4/26/2023 0:00,0.278,0.021,0.06
4/27/2023 0:00,0.279,0.022,0.058
4/28/2023 0:00,0.292,0.024,0.05
4/29/2023 0:00,0.244,0.023,0.051
4/30/2023 0:00,0.2,0.021,0.038
5/1/2023 0:00,0.234,0.021,0.055
5/2/2023 0:00,0.203,0.019,0.032
5/3/2023 0:00,0.198,0.019,0.034
5/4/2023 0:00,1.34,0.025,1.3
5/5/2023 0:00,0.407,0.021,0.115
5/6/2023 0:00,0.247,0.026,0.041
5/7/2023 0:00,0.246,0.026,0.035
5/8/2023 0:00,0.27,0.023,0.033
5/9/2023 0:00,0.263,0.024,0.047
5/10/2023 0:00,0.273,0.024,0.041
5/11/2023 0:00,0.269,0.025,0.042
5/12/2023 0:00,0.284,0.025,0.04
5/13/2023 0:00,0.275,0.025,0.048
5/14/2023 0:00,0.259,0.026,0.041
5/15/2023 0:00,0.265,0.026,0.041
5/16/2023 0:00,0.252,0.027,0.043
5/17/2023 0:00,0.272,0.027,0.036
5/18/2023 0:00,0.256,0.027,0.043
5/19/2023 0:00,0.225,0.028,0.044
5/20/2023 0:00,0.251,0.028,0.049
5/21/2023 0:00,0.25,0.028,0.037
5/22/2023 0:00,0.272,0.029,0.045
5/23/2023 0:00,0.267,0.029,0.052
5/24/2023 0:00,0.395,0.03,0.066
5/25/2023 0:00,0.223,0.03,0.037
5/26/2023 0:00,0.251,0.03,0.036
5/27/2023 0:00,0.244,0.031,0.061
5/28/2023 0:00,0.221,0.031,0.049
5/29/2023 0:00,0.413,0.032,0.049
5/30/2023 0:00,0.255,0.026,0.083
5/31/2023 0:00,0.293,0.024,0.065
6/1/2023 0:00,0.632,0.028,0.045
6/2/2023 0:00,0.395,0.03,0.036
6/3/2023 0:00,0.301,0.033,0.038
6/4/2023 0:00,0.268,0.03,0.04
6/5/2023 0:00,0.314,0.025,0.051
6/6/2023 0:00,0.26,0.024,0.038
6/7/2023 0:00,0.253,0.027,0.039
6/8/2023 0:00,0.288,0.024,0.034
6/9/2023 0:00,0.259,0.029,0.044
6/10/2023 0:00,0.261,0.028,0.041
6/11/2023 0:00,0.268,0.026,0.04
6/12/2023 0:00,0.245,0.026,0.042
6/13/2023 0:00,0.288,0.027,0.035
6/14/2023 0:00,0.254,0.024,0.043
6/15/2023 0:00,0.288,0.03,0.046
6/16/2023 0:00,0.256,0.03,0.032
6/17/2023 0:00,0.23,0.031,0.032
6/18/2023 0:00,0.217,0.03,0.033
6/19/2023 0:00,0.228,0.027,0.028
6/20/2023 0:00,0.238,0.023,0.017
6/21/2023 0:00,0.216,0.024,0.017
6/22/2023 0:00,0.225,0.028,0.027
6/23/2023 0:00,0.234,0.025,0.02
6/24/2023 0:00,0.254,0.027,0.019
6/25/2023 0:00,0.204,0.025,0.021
6/26/2023 0:00,0.203,0.024,0.017
6/27/2023 0:00,0.26,0.024,0.028
6/28/2023 0:00,0.251,0.024,0.039
6/29/2023 0:00,0.229,0.023,0.025
6/30/2023 0:00,0.216,0.024,0.031
7/1/2023 0:00,0.235,0.028,0.038
7/2/2023 0:00,0.212,0.023,0.031
7/3/2023 0:00,0.224,0.025,0.028
7/4/2023 0:00,0.224,0.024,0.029
7/5/2023 0:00,0.242,0.024,0.03
7/6/2023 0:00,0.28,0.024,0.039
7/7/2023 0:00,0.259,0.025,0.028
7/8/2023 0:00,0.233,0.026,0.036
7/9/2023 0:00,0.173,0.023,0.027
7/10/2023 0:00,0.215,0.024,0.03
7/11/2023 0:00,0.245,0.023,0.039
7/12/2023 0:00,0.204,0.024,0.034
7/13/2023 0:00,0.213,0.017,0.029
7/14/2023 0:00,0.199,0.024,0.028
7/15/2023 0:00,0.187,0.026,0.038
7/16/2023 0:00,0.198,0.023,0.026
7/17/2023 0:00,0.198,0.023,0.03
7/18/2023 0:00,0.197,0.023,0.032
7/19/2023 0:00,0.184,0.021,0.033
7/20/2023 0:00,0.176,0.022,0.025
7/21/2023 0:00,0.155,0.022,0.024
7/22/2023 0:00,0.182,0.024,0.037
7/23/2023 0:00,0.177,0.025,0.034
7/24/2023 0:00,0.184,0.024,0.029
7/25/2023 0:00,0.191,0.032,0.035
7/26/2023 0:00,0.189,0.021,0.03
7/27/2023 0:00,0.175,0.021,0.026
7/28/2023 0:00,0.207,0.023,0.03
7/29/2023 0:00,0.155,0.027,0.03
7/30/2023 0:00,0.164,0.023,0.036
7/31/2023 0:00,0.164,0.026,0.031
8/1/2023 0:00,0.152,0.024,0.036
8/2/2023 0:00,0.138,0.024,0.024
8/3/2023 0:00,0.173,0.026,0.021
8/4/2023 0:00,0.189,0.027,0.022
8/5/2023 0:00,0.135,0.026,0.035
8/6/2023 0:00,0.155,0.028,0.034
8/7/2023 0:00,0.201,0.025,0.032
8/8/2023 0:00,0.19,0.027,0.03
8/9/2023 0:00,0.187,0.026,0.042
8/10/2023 0:00,0.183,0.029,0.048
8/11/2023 0:00,0.209,0.027,0.03
8/12/2023 0:00,0.166,0.028,0.022
8/13/2023 0:00,0.146,0.029,0.023
8/14/2023 0:00,0.149,0.028,0.029
8/15/2023 0:00,0.176,0.027,0.034
8/16/2023 0:00,0.146,0.025,0.033
8/17/2023 0:00,0.143,0.026,0.023
8/18/2023 0:00,0.142,0.029,0.025
8/19/2023 0:00,0.172,0.032,0.032
8/20/2023 0:00,0.025,0.048,2.62
8/21/2023 0:00,0.036,0.015,1.23
8/22/2023 0:00,0.181,0.04,0.732
8/23/2023 0:00,0.089,0.038,0.188
8/24/2023 0:00,0.012,0.036,0.065
8/25/2023 0:00,0.051,0.032,0.053
8/26/2023 0:00,0.116,0.033,0.037
8/27/2023 0:00,0.023,0.029,0.047
8/28/2023 0:00,0.007,0.024,0.039
8/29/2023 0:00,0.075,0.027,0.035
8/30/2023 0:00,0.107,0.028,0.043
8/31/2023 0:00,0.169,0.028,0.053
9/1/2023 0:00,0.189,0.028,0.052
9/2/2023 0:00,0.146,0.029,0.063
9/3/2023 0:00,0.155,0.029,0.049
9/4/2023 0:00,0.138,0.031,0.024
9/5/2023 0:00,0.155,0.03,0.035
9/6/2023 0:00,0.208,0.027,0.03
9/7/2023 0:00,0.163,0.031,0.03
9/8/2023 0:00,0.206,0.025,0.036
9/9/2023 0:00,0.161,0.032,0.045
9/10/2023 0:00,0.154,0.03,0.057
9/11/2023 0:00,0.175,0.033,0.044
9/12/2023 0:00,0.148,0.029,0.033
9/13/2023 0:00,0.158,0.032,0.041
9/14/2023 0:00,0.166,0.032,0.035
9/15/2023 0:00,0.181,0.033,0.041
9/16/2023 0:00,0.146,0.032,0.038
9/17/2023 0:00,0.225,0.032,0.064
9/18/2023 0:00,0.181,0.035,0.057
9/19/2023 0:00,0.197,0.035,0.046
9/20/2023 0:00,0.19,0.034,0.045
9/21/2023 0:00,0.147,0.041,0.04
9/22/2023 0:00,0.131,0.039,0.037
9/23/2023 0:00,0.201,0.04,0.033
9/24/2023 0:00,0.163,0.035,0.034
9/25/2023 0:00,0.172,0.034,0.035
9/26/2023 0:00,,0.042,0.034
9/27/2023 0:00,,0.034,0.043
9/28/2023 0:00,,0.039,0.072
9/29/2023 0:00,,0.037,0.064
9/30/2023 0:00,,0.038,0.056
10/1/2023 0:00,,0.035,0.05
10/2/2023 0:00,,0.035,0.044
10/3/2023 0:00,,0.036,0.042
10/4/2023 0:00,,0.031,0.041
10/5/2023 0:00,,0.033,0.04
10/6/2023 0:00,,0.033,0.036
10/7/2023 0:00,,0.034,0.036
10/8/2023 0:00,,0.03,0.036
10/9/2023 0:00,,0.028,0.037
10/10/2023 0:00,,0.033,0.057
10/11/2023 0:00,,0.029,0.05
10/12/2023 0:00,,0.032,0.035
10/13/2023 0:00,,0.034,0.036
10/14/2023 0:00,,0.031,0.035
10/15/2023 0:00,,0.033,0.033
10/16/2023 0:00,,0.033,0.044
10/17/2023 0:00,,0.031,0.032
10/18/2023 0:00,,0.033,0.04
10/19/2023 0:00,,0.031,0.047
10/20/2023 0:00,,0.035,0.042
10/21/2023 0:00,,0.031,0.041
10/22/2023 0:00,,0.031,0.049
10/23/2023 0:00,,0.027,0.06
10/24/2023 0:00,,0.034,0.046
10/25/2023 0:00,,0.032,0.051
10/26/2023 0:00,,0.036,0.047
10/27/2023 0:00,,0.034,0.045
10/28/2023 0:00,,0.031,0.041
10/29/2023 0:00,,0.034,0.042
10/30/2023 0:00,,0.029,
10/31/2023 0:00,,0.029,
11/1/2023 0:00,,0.031,
11/2/2023 0:00,,0.029,
11/3/2023 0:00,,0.06,
11/4/2023 0:00,,0.063,
11/5/2023 0:00,,0.048,
11/6/2023 0:00,,0.032,
11/7/2023 0:00,,0.016,
11/8/2023 0:00,,,
