Inst Time,Flow (cfs)
6/7/2021 11:35,0.008
6/7/2021 11:40,0.008
6/7/2021 11:45,0.009
6/7/2021 11:50,0.008
6/7/2021 11:55,0.01
6/7/2021 12:00,0.013
6/7/2021 12:05,0.011
6/7/2021 12:10,0.012
6/7/2021 12:15,0.009
6/7/2021 12:20,0.017
6/7/2021 12:25,0.012
6/7/2021 12:30,0.018
6/7/2021 12:35,0.013
6/7/2021 12:40,0.012
6/7/2021 12:45,0.015
6/7/2021 12:50,0.013
6/7/2021 12:55,0.011
6/7/2021 13:00,0.01
6/7/2021 13:05,0.023
6/7/2021 13:10,0.013
6/7/2021 13:15,0.02
6/7/2021 13:20,0.013
6/7/2021 13:25,0.01
6/7/2021 13:30,0.012
6/7/2021 13:35,0.012
6/7/2021 13:40,0.008
6/7/2021 13:45,0.01
6/7/2021 13:50,0.005
6/7/2021 13:55,0.009
6/7/2021 14:00,0.015
6/7/2021 14:05,0.004
6/7/2021 14:10,0.01
6/7/2021 14:15,0.01
6/7/2021 14:20,0.007
6/7/2021 14:25,0.01
6/7/2021 14:30,0.009
6/7/2021 14:35,0.008
6/7/2021 14:40,0.008
6/7/2021 14:45,0.011
6/7/2021 14:50,0.008
6/7/2021 14:55,0.009
6/7/2021 15:00,0.006
6/7/2021 15:05,0.012
6/7/2021 15:10,0.005
6/7/2021 15:15,0.012
6/7/2021 15:20,0.003
6/7/2021 15:25,0.007
6/7/2021 15:30,0.004
6/7/2021 15:35,0.004
6/7/2021 15:40,0.009
6/7/2021 15:45,0.005
6/7/2021 15:50,0.005
6/7/2021 15:55,0.005
6/7/2021 16:00,0.005
6/7/2021 16:05,0.005
6/7/2021 16:10,0.005
6/7/2021 16:15,0.005
6/7/2021 16:20,0.017
6/7/2021 16:25,0.005
6/7/2021 16:30,0.001
6/7/2021 16:35,0.004
6/7/2021 16:40,0.005
6/7/2021 16:45,0.005
6/7/2021 16:50,0.004
6/7/2021 16:55,0.001
6/7/2021 17:00,0.004
6/7/2021 17:05,0.002
6/7/2021 17:10,0.001
6/7/2021 17:15,0.003
6/7/2021 17:20,0.005
6/7/2021 17:25,0.006
6/7/2021 17:30,0.001
6/7/2021 17:35,0.001
6/7/2021 17:40,0
6/7/2021 17:45,0.003
6/7/2021 17:50,0
6/7/2021 17:55,0.001
6/7/2021 18:00,0
6/7/2021 18:05,0
6/7/2021 18:10,0
6/7/2021 18:15,0.001
6/7/2021 18:20,0.002
6/7/2021 18:25,0.001
6/7/2021 18:30,0.001
6/7/2021 18:35,0.003
6/7/2021 18:40,0.001
6/7/2021 18:45,0.001
6/7/2021 18:50,0.004
6/7/2021 18:55,0.005
6/7/2021 19:00,0
6/7/2021 19:05,0.001
6/7/2021 19:10,0
6/7/2021 19:15,0.003
6/7/2021 19:20,0.006
6/7/2021 19:25,0
6/7/2021 19:30,0
6/7/2021 19:35,0.002
6/7/2021 19:40,0.005
6/7/2021 19:45,0.007
6/7/2021 19:50,0.011
6/7/2021 19:55,0.013
6/7/2021 20:00,0.01
6/7/2021 20:05,0.001
6/7/2021 20:10,0.003
6/7/2021 20:15,0
6/7/2021 20:20,0
6/7/2021 20:25,0.001
6/7/2021 20:30,0
6/7/2021 20:35,0.002
6/7/2021 20:40,0.006
6/7/2021 20:45,0
6/7/2021 20:50,0
6/7/2021 20:55,0
6/7/2021 21:00,0.002
6/7/2021 21:05,0.003
6/7/2021 21:10,0
6/7/2021 21:15,0
6/7/2021 21:20,0
6/7/2021 21:25,0.001
6/7/2021 21:30,0
