"","Inst Time","Flow (cfs)"
"3","10/1/2022 0:00","0"
"4","10/2/2022 0:00","0.001"
"5","10/3/2022 0:00","0.001"
"6","10/4/2022 0:00","0.001"
"7","10/5/2022 0:00","0.001"
"8","10/6/2022 0:00","0.001"
"9","10/7/2022 0:00","0.001"
"10","10/8/2022 0:00","0.001"
"11","10/9/2022 0:00","0.001"
"12","10/10/2022 0:00","0.001"
"13","10/11/2022 0:00","0.002"
"14","10/12/2022 0:00","0.004"
"15","10/13/2022 0:00","0.002"
"16","10/14/2022 0:00","0.002"
"17","10/15/2022 0:00","0.05"
"18","10/16/2022 0:00","0.001"
"19","10/17/2022 0:00","0.001"
"20","10/18/2022 0:00","0.001"
"21","10/19/2022 0:00","0.001"
"22","10/20/2022 0:00","0.001"
"23","10/21/2022 0:00","0"
"24","10/22/2022 0:00","0"
"25","10/23/2022 0:00","0"
"26","10/24/2022 0:00","0"
"27","10/25/2022 0:00","0"
"28","10/26/2022 0:00","0"
"29","10/27/2022 0:00","0"
"30","10/28/2022 0:00","0"
"31","10/29/2022 0:00","0"
"32","10/30/2022 0:00","0"
"33","10/31/2022 0:00","0.001"
"34","11/1/2022 0:00","0.001"
"35","11/2/2022 0:00","0.061"
"36","11/3/2022 0:00","0"
"37","11/4/2022 0:00","0"
"38","11/5/2022 0:00",""
"39","11/6/2022 0:00","0"
"40","11/7/2022 0:00","0.014"
"41","11/8/2022 0:00","0.456"
"42","11/9/2022 0:00","0.034"
"43","11/10/2022 0:00","0"
"44","11/11/2022 0:00","0"
"45","11/12/2022 0:00","0"
"46","11/13/2022 0:00","0.001"
"47","11/14/2022 0:00","0.001"
"48","11/15/2022 0:00","0.001"
"49","11/16/2022 0:00","0.001"
"50","11/17/2022 0:00","0.001"
"51","11/18/2022 0:00","0.001"
"52","11/19/2022 0:00","0.001"
"53","11/20/2022 0:00","0.001"
"54","11/21/2022 0:00","0.001"
"55","11/22/2022 0:00","0.001"
"56","11/23/2022 0:00","0.001"
"57","11/24/2022 0:00","0.001"
"58","11/25/2022 0:00","0.001"
"59","11/26/2022 0:00","0.001"
"60","11/27/2022 0:00","0.001"
"61","11/28/2022 0:00","0.001"
"62","11/29/2022 0:00","0.002"
"63","11/30/2022 0:00","0.002"
"64","12/1/2022 0:00","0.002"
"65","12/2/2022 0:00","0.002"
"66","12/3/2022 0:00","0.002"
"67","12/4/2022 0:00","0.003"
"68","12/5/2022 0:00","0.003"
"69","12/6/2022 0:00","0.003"
"70","12/7/2022 0:00","0.027"
"71","12/8/2022 0:00","0.001"
"72","12/9/2022 0:00","0.002"
"73","12/10/2022 0:00","0.002"
"74","12/11/2022 0:00","0.361"
"75","12/12/2022 0:00","0.113"
"76","12/13/2022 0:00","0.001"
"77","12/14/2022 0:00","0.001"
"78","12/15/2022 0:00","0.001"
"79","12/16/2022 0:00","0.001"
"80","12/17/2022 0:00","0.001"
"81","12/18/2022 0:00","0.001"
"82","12/19/2022 0:00","0.001"
"83","12/20/2022 0:00","0.002"
"84","12/21/2022 0:00","0.002"
"85","12/22/2022 0:00","0.002"
"86","12/23/2022 0:00","0.002"
"87","12/24/2022 0:00","0.002"
"88","12/25/2022 0:00","0.002"
"89","12/26/2022 0:00","0.002"
"90","12/27/2022 0:00","0.066"
"91","12/28/2022 0:00","0.054"
"92","12/29/2022 0:00","0.003"
"93","12/30/2022 0:00","0.004"
"94","12/31/2022 0:00","0.38"
"95","1/1/2023 0:00","0.337"
"96","1/2/2023 0:00","0.002"
"97","1/3/2023 0:00","0.071"
"98","1/4/2023 0:00","0.036"
"99","1/5/2023 0:00","0.38"
"100","1/6/2023 0:00","0.002"
"101","1/7/2023 0:00","0.002"
"102","1/8/2023 0:00","0.002"
"103","1/9/2023 0:00","0.008"
"104","1/10/2023 0:00","0.341"
"105","1/11/2023 0:00","0.003"
"106","1/12/2023 0:00","0.003"
"107","1/13/2023 0:00","0.003"
"108","1/14/2023 0:00","0.643"
"109","1/15/2023 0:00","0.176"
"110","1/16/2023 0:00","0.282"
"111","1/17/2023 0:00","0.023"
"112","1/18/2023 0:00","0.004"
"113","1/19/2023 0:00","0.013"
"114","1/20/2023 0:00","0.004"
"115","1/21/2023 0:00","0.004"
"116","1/22/2023 0:00","0.006"
"117","1/23/2023 0:00","0.007"
"118","1/24/2023 0:00","0.004"
"119","1/25/2023 0:00","0.004"
"120","1/26/2023 0:00","0.006"
"121","1/27/2023 0:00","0.005"
"122","1/28/2023 0:00","0.006"
"123","1/29/2023 0:00","0.014"
"124","1/30/2023 0:00","0.084"
"125","1/31/2023 0:00","0.004"
"126","2/1/2023 0:00","0.004"
"127","2/2/2023 0:00","0.005"
"128","2/3/2023 0:00","0.005"
"129","2/4/2023 0:00","0.006"
"130","2/5/2023 0:00","0.007"
"131","2/6/2023 0:00","0.007"
"132","2/7/2023 0:00","0.008"
"133","2/8/2023 0:00","0.008"
"134","2/9/2023 0:00","0.008"
"135","2/10/2023 0:00","0.01"
"136","2/11/2023 0:00","0.011"
"137","2/12/2023 0:00","0.008"
"138","2/13/2023 0:00","0.008"
"139","2/14/2023 0:00","0.01"
"140","2/15/2023 0:00","0.008"
"141","2/16/2023 0:00","0.008"
"142","2/17/2023 0:00","0.01"
"143","2/18/2023 0:00","0.014"
"144","2/19/2023 0:00","0.011"
"145","2/20/2023 0:00","0.012"
"146","2/21/2023 0:00","0.014"
"147","2/22/2023 0:00","0.006"
"148","2/23/2023 0:00","0.022"
"149","2/24/2023 0:00","0.13"
"150","2/25/2023 0:00","0.763"
"151","2/26/2023 0:00","0.047"
"152","2/27/2023 0:00","0.03"
"153","2/28/2023 0:00","0.06"
"154","3/1/2023 0:00","0.082"
"155","3/2/2023 0:00","0.004"
"156","3/3/2023 0:00","0.004"
"157","3/4/2023 0:00","0.004"
"158","3/5/2023 0:00","0.005"
"159","3/6/2023 0:00","0.005"
"160","3/7/2023 0:00","0.006"
"161","3/8/2023 0:00","0.006"
"162","3/9/2023 0:00","0.009"
"163","3/10/2023 0:00","0.242"
"164","3/11/2023 0:00","0.024"
"165","3/12/2023 0:00","0.005"
"166","3/13/2023 0:00","0.005"
"167","3/14/2023 0:00","0.396"
"168","3/15/2023 0:00","1.32"
"169","3/16/2023 0:00","0.006"
"170","3/17/2023 0:00","0.005"
"171","3/18/2023 0:00","0.005"
"172","3/19/2023 0:00","0.008"
"173","3/20/2023 0:00","0.017"
"174","3/21/2023 0:00","0.542"
"175","3/22/2023 0:00","0.024"
"176","3/23/2023 0:00","0.014"
"177","3/24/2023 0:00","0.004"
"178","3/25/2023 0:00","0.005"
"179","3/26/2023 0:00","0.007"
"180","3/27/2023 0:00","0.008"
"181","3/28/2023 0:00","0.011"
"182","3/29/2023 0:00","0.151"
"183","3/30/2023 0:00","0.026"
"184","3/31/2023 0:00","0.008"
"185","4/1/2023 0:00","0.008"
"186","4/2/2023 0:00","0.01"
"187","4/3/2023 0:00","0.012"
"188","4/4/2023 0:00","0.014"
"189","4/5/2023 0:00","0.014"
"190","4/6/2023 0:00","0.017"
"191","4/7/2023 0:00","0.021"
"192","4/8/2023 0:00","0.023"
"193","4/9/2023 0:00","0.026"
"194","4/10/2023 0:00","0.023"
"195","4/11/2023 0:00","0.023"
"196","4/12/2023 0:00","0.027"
"197","4/13/2023 0:00","0.018"
"198","4/14/2023 0:00","0.015"
"199","4/15/2023 0:00","0.01"
"200","4/16/2023 0:00","0.014"
"201","4/17/2023 0:00","0.011"
"202","4/18/2023 0:00","0.012"
"203","4/19/2023 0:00","0.014"
"204","4/20/2023 0:00","0.014"
"205","4/21/2023 0:00","0.01"
"206","4/22/2023 0:00","0.008"
"207","4/23/2023 0:00","0.009"
"208","4/24/2023 0:00","0.008"
"209","4/25/2023 0:00","0.01"
"210","4/26/2023 0:00","0.011"
"211","4/27/2023 0:00","0.011"
"212","4/28/2023 0:00","0.014"
"213","4/29/2023 0:00","0.016"
"214","4/30/2023 0:00","0.021"
"215","5/1/2023 0:00","0.01"
"216","5/2/2023 0:00","0.008"
"217","5/3/2023 0:00","0.011"
"218","5/4/2023 0:00","0.104"
"219","5/5/2023 0:00","0.002"
"220","5/6/2023 0:00","0.002"
"221","5/7/2023 0:00","0.002"
"222","5/8/2023 0:00","0.002"
"223","5/9/2023 0:00","0.002"
"224","5/10/2023 0:00","0.002"
"225","5/11/2023 0:00","0.003"
"226","5/12/2023 0:00","0.004"
"227","5/13/2023 0:00","0.006"
"228","5/14/2023 0:00","0.006"
"229","5/15/2023 0:00","0.008"
"230","5/16/2023 0:00","0.01"
"231","5/17/2023 0:00","0.013"
"232","5/18/2023 0:00","0.016"
"233","5/19/2023 0:00","0.02"
"234","5/20/2023 0:00","0.023"
"235","5/21/2023 0:00","0.021"
"236","5/22/2023 0:00","0.024"
"237","5/23/2023 0:00","0.027"
"238","5/24/2023 0:00","0.024"
"239","5/25/2023 0:00","0.023"
"240","5/26/2023 0:00","0.024"
"241","5/27/2023 0:00","0.028"
"242","5/28/2023 0:00","0.032"
"243","5/29/2023 0:00","0.032"
"244","5/30/2023 0:00","0.042"
"245","5/31/2023 0:00","0.036"
"246","6/1/2023 0:00","0.032"
"247","6/2/2023 0:00","0.031"
"248","6/3/2023 0:00","0.031"
"249","6/4/2023 0:00","0.032"
"250","6/5/2023 0:00","0.03"
"251","6/6/2023 0:00","0.028"
"252","6/7/2023 0:00","0.028"
"253","6/8/2023 0:00","0.029"
"254","6/9/2023 0:00","0.026"
"255","6/10/2023 0:00","0.023"
"256","6/11/2023 0:00","0.03"
"257","6/12/2023 0:00","0.033"
"258","6/13/2023 0:00","0.014"
"259","6/14/2023 0:00","0.015"
"260","6/15/2023 0:00","0.015"
"261","6/16/2023 0:00","0.012"
"262","6/17/2023 0:00","0.009"
"263","6/18/2023 0:00","0.01"
"264","6/19/2023 0:00","0.01"
"265","6/20/2023 0:00","0.009"
"266","6/21/2023 0:00","0.012"
"267","6/22/2023 0:00","0.015"
"268","6/23/2023 0:00","0.016"
"269","6/24/2023 0:00","0.009"
"270","6/25/2023 0:00","0.008"
"271","6/26/2023 0:00","0.018"
"272","6/27/2023 0:00","0.011"
"273","6/28/2023 0:00","0.008"
"274","6/29/2023 0:00","0.013"
"275","6/30/2023 0:00","0.013"
"276","7/1/2023 0:00","0.018"
"277","7/2/2023 0:00","0.018"
"278","7/3/2023 0:00","0.016"
"279","7/4/2023 0:00","0.018"
"280","7/5/2023 0:00","0.02"
"281","7/6/2023 0:00","0.019"
"282","7/7/2023 0:00","0.02"
"283","7/8/2023 0:00","0.009"
"284","7/9/2023 0:00","0.014"
"285","7/10/2023 0:00","0.018"
"286","7/11/2023 0:00","0.02"
"287","7/12/2023 0:00","0.02"
"288","7/13/2023 0:00","0.021"
"289","7/14/2023 0:00","0.019"
"290","7/15/2023 0:00","0.013"
"291","7/16/2023 0:00","0.011"
"292","7/17/2023 0:00","0.019"
"293","7/18/2023 0:00","0.011"
"294","7/19/2023 0:00","0.009"
"295","7/20/2023 0:00","0.008"
"296","7/21/2023 0:00","0.012"
"297","7/22/2023 0:00","0.011"
"298","7/23/2023 0:00","0.025"
"299","7/24/2023 0:00","0.005"
"300","7/25/2023 0:00","0.004"
"301","7/26/2023 0:00","0.003"
"302","7/27/2023 0:00","0.004"
"303","7/28/2023 0:00","0.004"
"304","7/29/2023 0:00","0.005"
"305","7/30/2023 0:00","0.005"
"306","7/31/2023 0:00","0.005"
"307","8/1/2023 0:00","0.004"
"308","8/2/2023 0:00","0.002"
"309","8/3/2023 0:00","0.002"
"310","8/4/2023 0:00","0.002"
"311","8/5/2023 0:00","0.003"
"312","8/6/2023 0:00","0.003"
"313","8/7/2023 0:00","0.004"
"314","8/8/2023 0:00","0.004"
"315","8/9/2023 0:00","0.005"
"316","8/10/2023 0:00","0.005"
"317","8/11/2023 0:00","0.006"
"318","8/12/2023 0:00","0.011"
"319","8/13/2023 0:00","0.012"
"320","8/14/2023 0:00","0.017"
"321","8/15/2023 0:00","0.012"
"322","8/16/2023 0:00","0.002"
"323","8/17/2023 0:00","0.001"
"324","8/18/2023 0:00","0.002"
"325","8/19/2023 0:00","0.003"
"326","8/20/2023 0:00","0.671"
"327","8/21/2023 0:00","0.047"
"328","8/22/2023 0:00","0.002"
"329","8/23/2023 0:00","0.002"
"330","8/24/2023 0:00","0.002"
"331","8/25/2023 0:00","0.002"
"332","8/26/2023 0:00","0.004"
"333","8/27/2023 0:00","0.002"
"334","8/28/2023 0:00","0.002"
"335","8/29/2023 0:00","0.002"
"336","8/30/2023 0:00","0.004"
"337","8/31/2023 0:00","0.005"
"338","9/1/2023 0:00","0.006"
"339","9/2/2023 0:00","0.007"
"340","9/3/2023 0:00","0.006"
"341","9/4/2023 0:00","0.009"
"342","9/5/2023 0:00","0.011"
"343","9/6/2023 0:00","0.006"
"344","9/7/2023 0:00","0.004"
"345","9/8/2023 0:00","0.003"
"346","9/9/2023 0:00","0.004"
"347","9/10/2023 0:00","0.005"
"348","9/11/2023 0:00","0.004"
"349","9/12/2023 0:00","0.003"
"350","9/13/2023 0:00","0.004"
"351","9/14/2023 0:00","0.006"
"352","9/15/2023 0:00","0.007"
"353","9/16/2023 0:00","0.01"
"354","9/17/2023 0:00","0.01"
"355","9/18/2023 0:00","0.012"
"356","9/19/2023 0:00","0.013"
"357","9/20/2023 0:00","0.013"
"358","9/21/2023 0:00","0.013"
"359","9/22/2023 0:00","0.008"
"360","9/23/2023 0:00","0.005"
"361","9/24/2023 0:00","0.006"
"362","9/25/2023 0:00","0.008"
"363","9/26/2023 0:00","0.005"
"364","9/27/2023 0:00","0.01"
"365","9/28/2023 0:00","0.005"
"366","9/29/2023 0:00","0.006"
"367","9/30/2023 0:00","0.011"
"368","10/1/2023 0:00","0.002"
