"","Inst Time","Flow (cfs)"
"3","10/1/2022 0:00","13.4"
"4","10/2/2022 0:00","13.6"
"5","10/3/2022 0:00","15.1"
"6","10/4/2022 0:00","13.5"
"7","10/5/2022 0:00","11.4"
"8","10/6/2022 0:00","13.3"
"9","10/7/2022 0:00","10.5"
"10","10/8/2022 0:00","10.5"
"11","10/9/2022 0:00","12.2"
"12","10/10/2022 0:00","12.5"
"13","10/11/2022 0:00","14.5"
"14","10/12/2022 0:00","13.8"
"15","10/13/2022 0:00","11.5"
"16","10/14/2022 0:00","11.7"
"17","10/15/2022 0:00","18.5"
"18","10/16/2022 0:00","11.6"
"19","10/17/2022 0:00","9.47"
"20","10/18/2022 0:00","8.29"
"21","10/19/2022 0:00","10.3"
"22","10/20/2022 0:00","11.9"
"23","10/21/2022 0:00","12.1"
"24","10/22/2022 0:00","13.6"
"25","10/23/2022 0:00","15.7"
"26","10/24/2022 0:00","21.3"
"27","10/25/2022 0:00","20.1"
"28","10/26/2022 0:00","16.8"
"29","10/27/2022 0:00","16.6"
"30","10/28/2022 0:00","17.2"
"31","10/29/2022 0:00","17"
"32","10/30/2022 0:00","14.4"
"33","10/31/2022 0:00","12.4"
"34","11/1/2022 0:00","13.9"
"35","11/2/2022 0:00","22.3"
"36","11/3/2022 0:00","16.4"
"37","11/4/2022 0:00","20.8"
"38","11/5/2022 0:00",""
"39","11/6/2022 0:00","12.6"
"40","11/7/2022 0:00","15.8"
"41","11/8/2022 0:00","46.8"
"42","11/9/2022 0:00","24.6"
"43","11/10/2022 0:00","20.3"
"44","11/11/2022 0:00","19.3"
"45","11/12/2022 0:00","18.8"
"46","11/13/2022 0:00","17.7"
"47","11/14/2022 0:00","19.4"
"48","11/15/2022 0:00","19.9"
"49","11/16/2022 0:00","22.3"
"50","11/17/2022 0:00","22.1"
"51","11/18/2022 0:00","19.3"
"52","11/19/2022 0:00","20.1"
"53","11/20/2022 0:00","22"
"54","11/21/2022 0:00","21.8"
"55","11/22/2022 0:00","21.8"
"56","11/23/2022 0:00","21.4"
"57","11/24/2022 0:00","20.9"
"58","11/25/2022 0:00","23.1"
"59","11/26/2022 0:00","21.1"
"60","11/27/2022 0:00","17.4"
"61","11/28/2022 0:00","14.8"
"62","11/29/2022 0:00","14.9"
"63","11/30/2022 0:00","13.5"
"64","12/1/2022 0:00","11.4"
"65","12/2/2022 0:00","12.6"
"66","12/3/2022 0:00","12.2"
"67","12/4/2022 0:00","8.4"
"68","12/5/2022 0:00","8.87"
"69","12/6/2022 0:00","12.7"
"70","12/7/2022 0:00","18"
"71","12/8/2022 0:00","18.5"
"72","12/9/2022 0:00","17.3"
"73","12/10/2022 0:00","13.5"
"74","12/11/2022 0:00","28.3"
"75","12/12/2022 0:00","24.8"
"76","12/13/2022 0:00","15.6"
"77","12/14/2022 0:00","18.5"
"78","12/15/2022 0:00","14.9"
"79","12/16/2022 0:00","15.1"
"80","12/17/2022 0:00","17.7"
"81","12/18/2022 0:00","15.4"
"82","12/19/2022 0:00","20.9"
"83","12/20/2022 0:00","19.7"
"84","12/21/2022 0:00","17.2"
"85","12/22/2022 0:00","16.1"
"86","12/23/2022 0:00","17.3"
"87","12/24/2022 0:00","16.2"
"88","12/25/2022 0:00","16"
"89","12/26/2022 0:00","15.2"
"90","12/27/2022 0:00","17"
"91","12/28/2022 0:00","15.1"
"92","12/29/2022 0:00","12.5"
"93","12/30/2022 0:00","10.3"
"94","12/31/2022 0:00","20.4"
"95","1/1/2023 0:00","19"
"96","1/2/2023 0:00","15.3"
"97","1/3/2023 0:00","20.7"
"98","1/4/2023 0:00","14.2"
"99","1/5/2023 0:00","29.6"
"100","1/6/2023 0:00","15.3"
"101","1/7/2023 0:00","15.1"
"102","1/8/2023 0:00","12.8"
"103","1/9/2023 0:00","10.5"
"104","1/10/2023 0:00","31.7"
"105","1/11/2023 0:00","17.5"
"106","1/12/2023 0:00","15.4"
"107","1/13/2023 0:00","15.2"
"108","1/14/2023 0:00","36.6"
"109","1/15/2023 0:00","19.2"
"110","1/16/2023 0:00","21.5"
"111","1/17/2023 0:00","16.6"
"112","1/18/2023 0:00","20.6"
"113","1/19/2023 0:00","19.8"
"114","1/20/2023 0:00","18.1"
"115","1/21/2023 0:00","22.9"
"116","1/22/2023 0:00","18.9"
"117","1/23/2023 0:00","13.2"
"118","1/24/2023 0:00","23.2"
"119","1/25/2023 0:00","22.7"
"120","1/26/2023 0:00","18.9"
"121","1/27/2023 0:00","22"
"122","1/28/2023 0:00","17.3"
"123","1/29/2023 0:00","15.4"
"124","1/30/2023 0:00","26"
"125","1/31/2023 0:00","20.3"
"126","2/1/2023 0:00","23.2"
"127","2/2/2023 0:00","23.3"
"128","2/3/2023 0:00","19.4"
"129","2/4/2023 0:00","19.6"
"130","2/5/2023 0:00","15.5"
"131","2/6/2023 0:00","19"
"132","2/7/2023 0:00","22"
"133","2/8/2023 0:00","22"
"134","2/9/2023 0:00","20.9"
"135","2/10/2023 0:00","20.3"
"136","2/11/2023 0:00","19.6"
"137","2/12/2023 0:00","21.7"
"138","2/13/2023 0:00","16.3"
"139","2/14/2023 0:00","17.6"
"140","2/15/2023 0:00","24.7"
"141","2/16/2023 0:00","27.5"
"142","2/17/2023 0:00","23.3"
"143","2/18/2023 0:00","20.6"
"144","2/19/2023 0:00","19.4"
"145","2/20/2023 0:00","17.2"
"146","2/21/2023 0:00","14.9"
"147","2/22/2023 0:00","15.5"
"148","2/23/2023 0:00","25.6"
"149","2/24/2023 0:00","34.5"
"150","2/25/2023 0:00","60.6"
"151","2/26/2023 0:00","25"
"152","2/27/2023 0:00","27.5"
"153","2/28/2023 0:00","16.9"
"154","3/1/2023 0:00","24.3"
"155","3/2/2023 0:00","20.6"
"156","3/3/2023 0:00","17.4"
"157","3/4/2023 0:00","16.7"
"158","3/5/2023 0:00","14.3"
"159","3/6/2023 0:00","14.4"
"160","3/7/2023 0:00","16.3"
"161","3/8/2023 0:00","18.4"
"162","3/9/2023 0:00","13.8"
"163","3/10/2023 0:00","30.5"
"164","3/11/2023 0:00","16.2"
"165","3/12/2023 0:00","10.6"
"166","3/13/2023 0:00","11.1"
"167","3/14/2023 0:00","29.2"
"168","3/15/2023 0:00","46.3"
"169","3/16/2023 0:00","18.2"
"170","3/17/2023 0:00","14.6"
"171","3/18/2023 0:00","13.3"
"172","3/19/2023 0:00","16.2"
"173","3/20/2023 0:00","15.9"
"174","3/21/2023 0:00","46.2"
"175","3/22/2023 0:00","24.9"
"176","3/23/2023 0:00","24.2"
"177","3/24/2023 0:00","19.8"
"178","3/25/2023 0:00","18.4"
"179","3/26/2023 0:00","21.5"
"180","3/27/2023 0:00","21.7"
"181","3/28/2023 0:00","19"
"182","3/29/2023 0:00","30.5"
"183","3/30/2023 0:00","27.2"
"184","3/31/2023 0:00","24"
"185","4/1/2023 0:00","20.7"
"186","4/2/2023 0:00","14.9"
"187","4/3/2023 0:00","15.6"
"188","4/4/2023 0:00","22.6"
"189","4/5/2023 0:00","23.2"
"190","4/6/2023 0:00","20.9"
"191","4/7/2023 0:00","20"
"192","4/8/2023 0:00","20.4"
"193","4/9/2023 0:00","18.9"
"194","4/10/2023 0:00","17.6"
"195","4/11/2023 0:00","16.6"
"196","4/12/2023 0:00","22.8"
"197","4/13/2023 0:00","22"
"198","4/14/2023 0:00","19.6"
"199","4/15/2023 0:00","19.3"
"200","4/16/2023 0:00","17.2"
"201","4/17/2023 0:00","16.4"
"202","4/18/2023 0:00","16.2"
"203","4/19/2023 0:00","18.6"
"204","4/20/2023 0:00","17.6"
"205","4/21/2023 0:00","15.5"
"206","4/22/2023 0:00","13.3"
"207","4/23/2023 0:00","13.3"
"208","4/24/2023 0:00","18.3"
"209","4/25/2023 0:00","17.4"
"210","4/26/2023 0:00","13.3"
"211","4/27/2023 0:00","14"
"212","4/28/2023 0:00","14.6"
"213","4/29/2023 0:00","15.4"
"214","4/30/2023 0:00","21.4"
"215","5/1/2023 0:00","18.3"
"216","5/2/2023 0:00","17.7"
"217","5/3/2023 0:00","14.6"
"218","5/4/2023 0:00","22.9"
"219","5/5/2023 0:00","20.4"
"220","5/6/2023 0:00","18.3"
"221","5/7/2023 0:00","17"
"222","5/8/2023 0:00","16.5"
"223","5/9/2023 0:00","14.1"
"224","5/10/2023 0:00","15.4"
"225","5/11/2023 0:00","14.5"
"226","5/12/2023 0:00","10.9"
"227","5/13/2023 0:00","9.24"
"228","5/14/2023 0:00","10.2"
"229","5/15/2023 0:00","13.2"
"230","5/16/2023 0:00","9.7"
"231","5/17/2023 0:00","9.92"
"232","5/18/2023 0:00","13.4"
"233","5/19/2023 0:00","17.4"
"234","5/20/2023 0:00","13.3"
"235","5/21/2023 0:00","9.19"
"236","5/22/2023 0:00","9.48"
"237","5/23/2023 0:00","14"
"238","5/24/2023 0:00","12"
"239","5/25/2023 0:00","8.95"
"240","5/26/2023 0:00","9.28"
"241","5/27/2023 0:00","8.19"
"242","5/28/2023 0:00","9.65"
"243","5/29/2023 0:00","11.7"
"244","5/30/2023 0:00","11.5"
"245","5/31/2023 0:00","9.31"
"246","6/1/2023 0:00","7.87"
"247","6/2/2023 0:00","7.69"
"248","6/3/2023 0:00","9.06"
"249","6/4/2023 0:00","7.1"
"250","6/5/2023 0:00","9.55"
"251","6/6/2023 0:00","10.1"
"252","6/7/2023 0:00","9.42"
"253","6/8/2023 0:00","10.6"
"254","6/9/2023 0:00","9.45"
"255","6/10/2023 0:00","8.86"
"256","6/11/2023 0:00","8.31"
"257","6/12/2023 0:00","8.25"
"258","6/13/2023 0:00","8.32"
"259","6/14/2023 0:00","9.05"
"260","6/15/2023 0:00","8.86"
"261","6/16/2023 0:00","7.14"
"262","6/17/2023 0:00","7.07"
"263","6/18/2023 0:00","9.55"
"264","6/19/2023 0:00","11.1"
"265","6/20/2023 0:00","9.67"
"266","6/21/2023 0:00","13.5"
