Time,J01_9992_1,J01_9992_1,J01_9992_1
and,236.34,231,262
Date,Mean,Mean,Mean
10/1/2022 0:00,86.7,0.51,0.001
10/2/2022 0:00,86.5,0.73,0.011
10/3/2022 0:00,86.3,0.84,0.025
10/4/2022 0:00,86.2,0.96,0.035
10/5/2022 0:00,86.2,0.97,0.044
10/6/2022 0:00,86.2,1,0.029
10/7/2022 0:00,85.9,1.27,0.074
10/8/2022 0:00,86.1,1.09,0.033
10/9/2022 0:00,86,1.18,0.05
10/10/2022 0:00,85.8,1.41,0.089
10/11/2022 0:00,85.7,1.45,0.102
10/12/2022 0:00,86,1.15,0.286
10/13/2022 0:00,86.6,0.6,0.007
10/14/2022 0:00,86.6,0.6,0.002
10/15/2022 0:00,85.5,1.7,1.27
10/16/2022 0:00,86.7,0.51,0.001
10/17/2022 0:00,86.8,0.38,0
10/18/2022 0:00,86.8,0.41,0
10/19/2022 0:00,86.7,0.49,0.013
10/20/2022 0:00,86.7,0.45,0.001
10/21/2022 0:00,86.6,0.62,0.006
10/22/2022 0:00,86.8,0.43,0
10/23/2022 0:00,86.9,0.33,0
10/24/2022 0:00,86.8,0.36,0
10/25/2022 0:00,86.7,0.45,0.001
10/26/2022 0:00,86.6,0.54,0.002
10/27/2022 0:00,86.8,0.43,0
10/28/2022 0:00,86.6,0.57,0.002
10/29/2022 0:00,86.7,0.47,0.001
10/30/2022 0:00,86.6,0.55,0.003
10/31/2022 0:00,86.6,0.55,0.004
11/1/2022 0:00,86.5,0.67,0.005
11/2/2022 0:00,85.4,1.75,1.07
11/3/2022 0:00,85.9,1.28,6.62
11/4/2022 0:00,86.5,0.65,0.003
11/5/2022 0:00,,,
11/6/2022 0:00,86.4,0.82,0.007
11/7/2022 0:00,85.3,1.86,1.31
11/8/2022 0:00,80.6,6.61,14
11/9/2022 0:00,85.8,1.41,0.949
11/10/2022 0:00,86.9,0.29,0
11/11/2022 0:00,86.9,0.29,0
11/12/2022 0:00,86.8,0.39,0.002
11/13/2022 0:00,86.8,0.42,0
11/14/2022 0:00,86.9,0.3,0
11/15/2022 0:00,86.7,0.5,0.001
11/16/2022 0:00,86.6,0.56,0.002
11/17/2022 0:00,86.6,0.57,0.001
11/18/2022 0:00,86.5,0.71,0.003
11/19/2022 0:00,86.6,0.59,0.002
11/20/2022 0:00,86.6,0.63,0.003
11/21/2022 0:00,86.6,0.55,0.001
11/22/2022 0:00,86.6,0.6,0.003
11/23/2022 0:00,86.5,0.72,0.006
11/24/2022 0:00,86.4,0.84,0.011
11/25/2022 0:00,86.5,0.69,0.004
11/26/2022 0:00,86.4,0.76,0.006
11/27/2022 0:00,86.3,0.89,0.012
11/28/2022 0:00,86,1.17,0.036
11/29/2022 0:00,86.1,1.07,0.027
11/30/2022 0:00,86,1.22,0.04
12/1/2022 0:00,86.1,1.11,0.03
12/2/2022 0:00,86,1.18,0.037
12/3/2022 0:00,86.2,1.01,0.02
12/4/2022 0:00,86,1.15,0.036
12/5/2022 0:00,86.1,1.11,0.031
12/6/2022 0:00,86.1,1.08,0.027
12/7/2022 0:00,86.1,1.12,0.412
12/8/2022 0:00,86.7,0.52,0
12/9/2022 0:00,86.7,0.52,0.001
12/10/2022 0:00,86.5,0.65,0.002
12/11/2022 0:00,82.1,5.06,10.6
12/12/2022 0:00,84.5,2.73,3.65
12/13/2022 0:00,86.7,0.49,0.002
12/14/2022 0:00,86.8,0.35,0
12/15/2022 0:00,86.8,0.42,0
12/16/2022 0:00,86.8,0.39,0
12/17/2022 0:00,86.8,0.4,0
12/18/2022 0:00,86.8,0.39,0
12/19/2022 0:00,86.7,0.45,0
12/20/2022 0:00,86.7,0.5,0
12/21/2022 0:00,86.6,0.6,0.002
12/22/2022 0:00,86.6,0.57,0.001
12/23/2022 0:00,86.6,0.59,0.001
12/24/2022 0:00,86.5,0.67,0.003
12/25/2022 0:00,86.5,0.66,0.003
12/26/2022 0:00,86.4,0.76,0.005
12/27/2022 0:00,84.9,2.33,2.06
12/28/2022 0:00,85.6,1.62,1.42
12/29/2022 0:00,86.4,0.77,0.004
12/30/2022 0:00,86.3,0.85,0.012
12/31/2022 0:00,81.9,5.31,11.4
1/1/2023 0:00,83.8,3.38,5.07
1/2/2023 0:00,86.5,0.71,0.005
1/3/2023 0:00,83.3,3.87,2.3
1/4/2023 0:00,84,3.17,1.35
1/5/2023 0:00,,,
1/6/2023 0:00,,,
1/7/2023 0:00,86.7,0.5,0
1/8/2023 0:00,86.7,0.46,0
1/9/2023 0:00,86,1.19,0.26
1/10/2023 0:00,80.9,6.32,9.25
1/11/2023 0:00,86.3,0.89,0.014
1/12/2023 0:00,86.7,0.53,0.001
1/13/2023 0:00,86.7,0.49,0
1/14/2023 0:00,78.8,8.37,22.1
1/15/2023 0:00,82.4,4.77,6.73
