Time,J01_9264_1,J01_9264_1,J01_9264_1,J01_9377_1,J01_9377_1,J01_9377_1,J01_9046_1,J01_9046_1,J01_9046_1
and,236.34,231,262,231,231,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2022 0:00,37.2,39,6.03,1.41,1.41,0.133,18.1,0.22,0.002
10/2/2022 0:00,37.3,38.9,5.94,0.58,0.58,0.01,18.1,0.22,0.002
10/3/2022 0:00,37.2,39,6.03,0.58,0.58,0.009,18.1,0.24,0.003
10/4/2022 0:00,37.2,39,6.02,0.69,0.69,0.014,18.1,0.24,0.004
10/5/2022 0:00,37.2,39,6.09,0.62,0.62,0.012,18.1,0.24,0.004
10/6/2022 0:00,37.2,39,6.12,0.56,0.56,0.008,18.1,0.22,0.001
10/7/2022 0:00,37.2,39,6.03,0.57,0.57,0.008,18.1,0.27,0.003
10/8/2022 0:00,37.2,39,6.07,0.57,0.57,0.008,18.2,0.2,0.002
10/9/2022 0:00,37.2,39,6.11,0.58,0.58,0.008,18.1,0.21,0.002
10/10/2022 0:00,37,39.2,6.3,0.57,0.57,0.009,18.1,0.27,0.003
10/11/2022 0:00,36.9,39.3,6.49,0.63,0.63,0.011,18.1,0.29,0.003
10/12/2022 0:00,36.4,39.8,7.53,0.61,0.61,0.013,18.1,0.25,0.003
10/13/2022 0:00,37.1,39.1,6.2,0.62,0.62,0.01,18.2,0.18,0.001
10/14/2022 0:00,36.9,39.3,6.45,,,,18,0.35,0.006
10/15/2022 0:00,35.1,41.1,9.55,,,,17.8,0.51,0.027
10/16/2022 0:00,36.2,40,7.41,,,,18.1,0.24,0.002
10/17/2022 0:00,37,39.2,6.34,0.58,0.58,0.011,18.1,0.22,0.003
10/18/2022 0:00,37.1,39.1,6.2,0.39,0.39,0.007,18.2,0.17,0.001
10/19/2022 0:00,37.1,39.1,6.21,0.52,0.52,0.007,18.2,0.19,0.001
10/20/2022 0:00,37.1,39,6.13,0.53,0.53,0.007,18.2,0.19,0.002
10/21/2022 0:00,37.1,39.1,6.24,0.54,0.54,0.006,18.1,0.21,0.002
10/22/2022 0:00,37,39.2,6.3,0.53,0.53,0.006,18.1,0.22,0.002
10/23/2022 0:00,37.1,39.1,6.25,0.56,0.56,0.007,18.1,0.22,0.002
10/24/2022 0:00,37.1,39.1,6.18,0.6,0.6,0.009,18.1,0.24,0.002
10/25/2022 0:00,37.1,39.1,6.18,0.59,0.59,0.009,18.2,0.17,0.001
10/26/2022 0:00,37,39.1,6.26,0.46,0.46,0.006,18.1,0.27,0.004
10/27/2022 0:00,37,39.2,6.31,0.5,0.5,0.006,18.2,0.17,0.001
10/28/2022 0:00,37.1,39.1,6.24,0.51,0.51,0.007,18.1,0.24,0.003
10/29/2022 0:00,37.1,39.1,6.25,0.5,0.5,0.006,18.1,0.23,0.003
10/30/2022 0:00,37.1,39,6.14,0.56,0.56,0.008,18.2,0.2,0.001
