Time,J01_9005_3,J01_9005_3,J01_9005_3,NARCO_LAPAZ,NARCO_LAPAZ,J01_9364_3,J01_9364_3,J01_9364_3
and,236.34,231,262,232.37,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2022 0:00,52.9,10.6,14.8,3.01,13.4,32.6,19.8,0
10/2/2022 0:00,52.8,10.7,15.2,3.04,13.6,33,19.4,0
10/3/2022 0:00,52.8,10.6,15,3.1,15.1,32.4,20,0
10/4/2022 0:00,52.8,10.6,15,2.95,13.5,32.2,20.2,0
10/5/2022 0:00,52.8,10.6,15.1,2.86,11.4,32.4,20,0
10/6/2022 0:00,52.9,10.6,14.8,3.1,13.3,32.2,20.2,0
10/7/2022 0:00,52.9,10.6,14.8,2.75,10.5,32.2,20.2,0
10/8/2022 0:00,52.9,10.5,14.6,2.72,10.5,32.3,20.1,0
10/9/2022 0:00,52.9,10.5,14.6,2.95,12.2,32.5,19.9,0
10/10/2022 0:00,52.8,10.6,15.1,3.03,12.5,32.3,20.1,0
10/11/2022 0:00,52.6,10.8,15.7,3.22,14.5,32.2,20.2,0
10/12/2022 0:00,52.7,10.8,15.7,3.13,13.8,28.6,23.8,0.089
10/13/2022 0:00,52.9,10.6,14.8,3.07,11.5,30.6,21.8,0
10/14/2022 0:00,52.8,10.6,15,3.14,11.7,31.4,21,0
10/15/2022 0:00,51.8,11.6,19.1,3.45,18.5,26.2,26.2,1.94
10/16/2022 0:00,53,10.4,14.3,3.09,11.6,21,31.4,2.47
10/17/2022 0:00,53,10.4,14.3,2.48,9.47,28,24.4,0.022
10/18/2022 0:00,53.2,10.3,13.8,2.28,8.29,30.1,22.3,0
10/19/2022 0:00,53.2,10.3,13.9,2.47,10.3,31.2,21.2,0
10/20/2022 0:00,53,10.5,14.5,2.68,11.9,31.2,21.2,0.049
10/21/2022 0:00,53,10.5,14.6,3.02,12.1,28.3,24,0.285
10/22/2022 0:00,53,10.5,14.5,3.24,13.6,32.2,20.1,0
10/23/2022 0:00,53.1,10.3,14.1,3.14,15.7,32.2,20.2,0
10/24/2022 0:00,52.9,10.5,14.7,3.34,21.3,32.4,20,0
10/25/2022 0:00,53,10.4,14.4,3.24,20.1,30.1,22.3,0.006
10/26/2022 0:00,53,10.5,14.6,3.13,16.8,30.6,21.8,0.005
10/27/2022 0:00,53,10.5,14.5,3.11,16.6,32.5,19.9,0
10/28/2022 0:00,52.8,10.7,15.3,3.16,17.2,32.4,20,0
10/29/2022 0:00,52.9,10.6,14.8,3.09,17,32.2,20.2,0
10/30/2022 0:00,53,10.4,14.3,2.88,14.4,32.6,19.8,0
10/31/2022 0:00,52.8,10.6,15.1,2.92,12.4,32.3,20,0
11/1/2022 0:00,52.9,10.5,14.6,3.23,13.9,32.1,20.3,0
11/2/2022 0:00,51.7,11.7,19.5,3.63,22.3,20.6,31.8,3.06
11/3/2022 0:00,53.2,10.3,13.8,3.17,16.4,27,25.4,0.142
11/4/2022 0:00,53.1,10.4,14.1,3.37,20.8,30.1,22.3,0
11/5/2022 0:00,,,,,,,,
11/6/2022 0:00,53.1,10.3,14,2.84,12.6,31.7,20.7,0
11/7/2022 0:00,52.4,11,16.6,3.33,15.8,26.8,25.6,1.61
11/8/2022 0:00,35.6,27.9,108,4.59,46.8,,,
11/9/2022 0:00,32,31.4,124,3.66,24.6,,,
11/10/2022 0:00,46.2,17.3,44.8,3.28,20.3,16.6,35.8,4.86
11/11/2022 0:00,55.3,8.13,7.42,3.21,19.3,,,
11/12/2022 0:00,57.1,6.3,2.75,3.15,18.8,,,
