Time,J01_9007_1,J01_9007_1,J01_9007_1
and,236.34,231,262
Date,Mean,Mean,Mean
10/1/2022 0:00,56.4,0.62,0.019
10/2/2022 0:00,56.4,0.63,0.02
10/3/2022 0:00,56.4,0.58,0.017
10/4/2022 0:00,56.4,0.59,0.019
10/5/2022 0:00,56.3,0.66,0.023
10/6/2022 0:00,56.3,0.69,0.025
10/7/2022 0:00,56.4,0.61,0.019
10/8/2022 0:00,56.5,0.53,0.016
10/9/2022 0:00,56.4,0.63,0.021
10/10/2022 0:00,56.3,0.64,0.021
10/11/2022 0:00,56.3,0.66,0.022
10/12/2022 0:00,56.3,0.7,0.043
10/13/2022 0:00,56.3,0.72,0.026
10/14/2022 0:00,56.3,0.74,0.028
10/15/2022 0:00,55.9,1.12,0.137
10/16/2022 0:00,56.3,0.74,0.029
10/17/2022 0:00,56.4,0.63,0.02
10/18/2022 0:00,56.4,0.62,0.02
10/19/2022 0:00,56.4,0.63,0.021
10/20/2022 0:00,56.4,0.61,0.02
10/21/2022 0:00,56.3,0.69,0.024
10/22/2022 0:00,56.2,0.76,0.03
10/23/2022 0:00,56.4,0.62,0.02
10/24/2022 0:00,56.4,0.54,0.016
10/25/2022 0:00,56.5,0.51,0.014
10/26/2022 0:00,56.4,0.63,0.02
10/27/2022 0:00,56.4,0.58,0.017
10/28/2022 0:00,56.4,0.61,0.02
10/29/2022 0:00,56.5,0.51,0.014
10/30/2022 0:00,56.4,0.56,0.016
10/31/2022 0:00,56.3,0.69,0.025
11/1/2022 0:00,56.2,0.76,0.031
11/2/2022 0:00,55.7,1.29,0.188
11/3/2022 0:00,56.3,0.68,0.025
11/4/2022 0:00,56.4,0.6,0.018
11/5/2022 0:00,,,
11/6/2022 0:00,56.4,0.57,0.017
11/7/2022 0:00,55.8,1.16,0.147
11/8/2022 0:00,54.3,2.66,0.8
11/9/2022 0:00,55.7,1.29,0.147
11/10/2022 0:00,56.3,0.68,0.025
11/11/2022 0:00,56.4,0.56,0.017
11/12/2022 0:00,56.4,0.57,0.017
11/13/2022 0:00,56.4,0.63,0.021
11/14/2022 0:00,56.4,0.59,0.018
11/15/2022 0:00,56.5,0.54,0.016
11/16/2022 0:00,56.4,0.56,0.017
11/17/2022 0:00,56.4,0.61,0.019
11/18/2022 0:00,56.4,0.58,0.018
11/19/2022 0:00,56.4,0.61,0.019
11/20/2022 0:00,56.4,0.61,0.02
11/21/2022 0:00,56.3,0.64,0.022
11/22/2022 0:00,56.2,0.76,0.032
11/23/2022 0:00,56.1,0.94,0.049
11/24/2022 0:00,56,1.01,0.059
11/25/2022 0:00,56,0.95,0.05
11/26/2022 0:00,56.1,0.93,0.048
11/27/2022 0:00,56.1,0.9,0.046
11/28/2022 0:00,56.2,0.79,0.033
11/29/2022 0:00,56.3,0.71,0.026
11/30/2022 0:00,56.2,0.74,0.029
12/1/2022 0:00,56.2,0.77,0.031
12/2/2022 0:00,56.2,0.77,0.031
12/3/2022 0:00,56.4,0.63,0.021
12/4/2022 0:00,56.3,0.66,0.022
12/5/2022 0:00,56.3,0.7,0.026
12/6/2022 0:00,56.3,0.65,0.022
12/7/2022 0:00,56.1,0.86,0.077
12/8/2022 0:00,56.4,0.62,0.02
12/9/2022 0:00,56.4,0.57,0.017
12/10/2022 0:00,56.3,0.64,0.021
12/11/2022 0:00,54.9,2.13,0.493
12/12/2022 0:00,55.1,1.88,0.445
12/13/2022 0:00,56.2,0.76,0.031
12/14/2022 0:00,56.4,0.63,0.02
12/15/2022 0:00,56.3,0.65,0.022
12/16/2022 0:00,56.4,0.58,0.017
12/17/2022 0:00,56.4,0.58,0.017
12/18/2022 0:00,56.4,0.58,0.017
12/19/2022 0:00,56.4,0.58,0.017
12/20/2022 0:00,56.4,0.6,0.018
12/21/2022 0:00,56.4,0.62,0.019
12/22/2022 0:00,56.3,0.65,0.022
12/23/2022 0:00,56.4,0.63,0.02
12/24/2022 0:00,56.3,0.67,0.024
12/25/2022 0:00,56.4,0.63,0.021
12/26/2022 0:00,56.3,0.66,0.023
12/27/2022 0:00,55.7,1.3,0.23
12/28/2022 0:00,55.9,1.14,0.143
12/29/2022 0:00,56.3,0.71,0.026
12/30/2022 0:00,56.2,0.77,0.033
12/31/2022 0:00,55,2,0.466
1/1/2023 0:00,55.1,1.89,0.345
1/2/2023 0:00,56,1.03,0.06
1/3/2023 0:00,54.8,2.2,0.387
1/4/2023 0:00,,,
1/5/2023 0:00,,,
1/6/2023 0:00,,,
1/7/2023 0:00,56.2,0.75,0.029
1/8/2023 0:00,56.3,0.7,0.026
1/9/2023 0:00,56,1,0.079
1/10/2023 0:00,53.9,3.06,0.922
1/11/2023 0:00,55.9,1.05,0.063
1/12/2023 0:00,56.2,0.79,0.034
1/13/2023 0:00,56.3,0.71,0.026
1/14/2023 0:00,53.9,3.11,1.18
