Time,J06_10011_1,J06_10011_1,J06_10011_1,J06_9079_1,J06_9079_1,J06_9079_1,DAIRYFORK_MOULTON,DAIRYFORK_MOULTON
and,236.34,231,262,236.34,231,262,232.37,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2022 0:00,77.6,8.84,0,68.3,0.44,0.019,0.649,1.22
10/2/2022 0:00,77.6,8.85,0,68.4,0.35,0.012,0.644,1.18
10/3/2022 0:00,77.6,8.88,0,68.3,0.43,0.017,0.675,1.41
10/4/2022 0:00,77.6,8.88,0,68.3,0.4,0.016,0.695,1.57
10/5/2022 0:00,77.6,8.89,0,68.3,0.42,0.018,0.725,1.82
10/6/2022 0:00,77.5,8.93,0,68.3,0.43,0.018,0.743,1.98
10/7/2022 0:00,77.5,8.93,0,68.3,0.42,0.017,0.766,2.2
10/8/2022 0:00,77.6,8.86,0,68.3,0.45,0.019,0.76,2.14
10/9/2022 0:00,77.6,8.86,0,68.3,0.4,0.014,0.768,2.22
10/10/2022 0:00,77.6,8.92,0,68.3,0.44,0.019,0.782,2.35
10/11/2022 0:00,77.6,8.83,0,68.2,0.49,0.023,0.792,2.45
10/12/2022 0:00,77,9.49,0.305,68.1,0.63,0.048,0.872,3.72
10/13/2022 0:00,77.7,8.82,0.001,68.2,0.55,0.028,0.773,2.26
10/14/2022 0:00,77.7,8.82,0,68.1,0.58,0.032,0.775,2.29
10/15/2022 0:00,76.5,10,0.449,,,,0.938,4.83
10/16/2022 0:00,77.6,8.87,0.001,,,,0.807,2.64
10/17/2022 0:00,77.7,8.73,0,,,,0.722,1.8
10/18/2022 0:00,77.7,8.75,0.002,,,,0.698,1.59
10/19/2022 0:00,77.7,8.82,0.002,68.2,0.53,0.026,0.739,1.95
10/20/2022 0:00,77.7,8.8,0,68.2,0.56,0.03,0.738,1.93
10/21/2022 0:00,77.6,8.86,0,68.2,0.55,0.031,0.754,2.08
10/22/2022 0:00,77.6,8.85,0,,,,0.747,2.02
10/23/2022 0:00,,,,,,,0.724,1.81
10/24/2022 0:00,,,,68.2,0.5,0.023,0.692,1.55
10/25/2022 0:00,,,,68.3,0.46,0.021,0.674,1.4
10/26/2022 0:00,,,,68.3,0.46,0.02,0.676,1.42
10/27/2022 0:00,,,,68.3,0.47,0.021,0.699,1.6
10/28/2022 0:00,,,,68.3,0.46,0.02,0.698,1.59
