Date,TRABUCO,SULPHURCREEK,ELTORO,PALISADES,LAGUNABEACH,DANAPOINT,TUCKER,,,,
7/1/2015 0:00,0,0,0,0,0,0,0,,,,
7/2/2015 0:00,0,0,0,0,0,0,0,,,,
7/3/2015 0:00,0,0,0,0,0,0,0,,,,
7/4/2015 0:00,0,0,0,0,0,0,0,,,,
7/5/2015 0:00,0,0,0,0,0,0,0,,,,
7/6/2015 0:00,0,0,0,0,0,0,0,,,,
7/7/2015 0:00,0,0,0,0,0,0,0,,,,Data from OCEANINSTITUTE used to estimate rain data from DANAPOINT for 2022-23
7/8/2015 0:00,0,0,0,0,0,0,0,,,,
7/9/2015 0:00,0,0,0,0,0,0,0,,,,
7/10/2015 0:00,0.01,0,0,0,0,0,0,,,,
7/11/2015 0:00,0,0,0,0,0,0,0,,,,
7/12/2015 0:00,0,0.03,0,0,0.02,0,0.04,,,,
7/13/2015 0:00,0,0.04,0,0.02,0.02,0.02,0.28,,,,
7/14/2015 0:00,0,0,0,0,0,0,0,,,,
7/15/2015 0:00,0,0,0.03,0.03,0,0.03,0.06,,,,
7/16/2015 0:00,0,0.26,0.24,0.22,0.22,0.22,0.34,,,,
7/17/2015 0:00,0,0,0,0,0,0,0,,,,
7/18/2015 0:00,0,0,0,0,0,0,0,,,,
7/19/2015 0:00,0.41,0,0,0,0,0,0.01,,,,
7/20/2015 0:00,0.61,0,0,0,0,0,0,,,,
7/21/2015 0:00,0.01,0,0,0,0,0,0,,,,
7/22/2015 0:00,0.01,0,0,0,0,0,0,,,,
7/23/2015 0:00,0.02,0,0,0,0,0,0.01,,,,
7/24/2015 0:00,0,0,0,0,0,0,0,,,,
7/25/2015 0:00,0,0,0,0,0,0,0,,,,
7/26/2015 0:00,0,0,0,0,0,0,0,,,,
7/27/2015 0:00,0,0,0,0,0,0,0,,,,
7/28/2015 0:00,0,0,0,0,0,0,0,,,,
7/29/2015 0:00,0,0,0,0,0,0,0,,,,
7/30/2015 0:00,0,0,0,0,0,0,0,,,,
7/31/2015 0:00,0,0,0,0,0,0,0,,,,
8/1/2015 0:00,0,0,0,0,0,0,0,,,,
8/2/2015 0:00,0,0,0,0,0,0,0,,,,
8/3/2015 0:00,0,0.34,0.16,0.15,0.2,0.15,0.21,,,,
8/4/2015 0:00,0,0,0,0,0,0,0,,,,
8/5/2015 0:00,0,0,0,0,0,0,0,,,,
8/6/2015 0:00,0,0,0,0,0,0,0,,,,
8/7/2015 0:00,0,0,0,0,0,0,0,,,,
8/8/2015 0:00,0,0.12,0.17,0.2,0.15,0.2,0.4,,,,
8/9/2015 0:00,0,1.65,2,1.6,0.93,1.6,3.08,,,,
8/10/2015 0:00,0,0.12,0.16,0.36,0.07,0.36,0.22,,,,
8/11/2015 0:00,0,0,0,0,0,0,0,,,,
8/12/2015 0:00,0,0,0,0,0,0,0,,,,
8/13/2015 0:00,0,0,0,0,0,0,0,,,,
8/14/2015 0:00,0,0,0,0,0,0,0,,,,
8/15/2015 0:00,0,0,0,0,0,0,0,,,,
8/16/2015 0:00,0,0,0,0,0,0,0,,,,
8/17/2015 0:00,0,0,0,0,0,0,0,,,,
8/18/2015 0:00,0,0,0,0,0,0,0,,,,
8/19/2015 0:00,0,0,0,0,0,0,0,,,,
8/20/2015 0:00,0,0,0,0,0,0,0,,,,
8/21/2015 0:00,0,0,0,0,0,0,0,,,,
8/22/2015 0:00,0,0,0,0,0,0,0,,,,
8/23/2015 0:00,0,0,0,0,0,0,0,,,,
8/24/2015 0:00,0,0,0,0,0,0,0,,,,
8/25/2015 0:00,0,0,0,0,0,0,0,,,,
8/26/2015 0:00,0,0,0,0,0,0,0,,,,
8/27/2015 0:00,0,0,0,0,0,0,0,,,,
8/28/2015 0:00,0,0,0,0,0,0,0,,,,
8/29/2015 0:00,0,0,0,0,0,0,0,,,,
8/30/2015 0:00,0,0,0,0,0,0,0,,,,
8/31/2015 0:00,0,0,0,0,0,0,0,,,,
9/1/2015 0:00,0,0,0,0,0,0,0,,,,
9/2/2015 0:00,0,0,0,0,0,0,0.03,,,,
9/3/2015 0:00,0,0,0,0,0,0,0,,,,
9/4/2015 0:00,0,0.02,0.02,0,0.01,0,0.08,,,,
