Time,TRABUCO,SULPHURCREEK,ELTORO,PALISADES,LAGUNABEACH,OCEANINSTITUTE,TUCKER,DANAPOINT,,,,
and,11,11,11,11,11,11.5,11,11,,,,
Date,Total,Total,Total,Total,Total,Total,Total,Total,,,,
10/1/2022 0:00,0,0,0,0,0,0,0,0,,,,Data from PALISADES gauge used to estimate OCEANINSTITUTE 
10/2/2022 0:00,0,0,0,0,0,0,0,0,,,,
10/3/2022 0:00,0,0,0,0,0,0,0,0,,,,
10/4/2022 0:00,0,0,0,0,0,0,0,0,,,,
10/5/2022 0:00,0,0,0,0,0,0,0,0,,,,
10/6/2022 0:00,0,0,0,0,0,0,0,0,,,,
10/7/2022 0:00,0,0,0,0,0,0,0,0,,,,
10/8/2022 0:00,0,0,0,0,0,0,0,0,,,,
10/9/2022 0:00,0,0,0,0,0,0,0,0,,,,
10/10/2022 0:00,0,0,0,0,0,0,0,0,,,,
10/11/2022 0:00,0,0,0,0,0,0,0,0,,,,
10/12/2022 0:00,0.04,0.03,0,0,0.02,0,0.04,,,,,
10/13/2022 0:00,0.06,0.04,0,0.02,0.02,0.02,0.28,,,,,
10/14/2022 0:00,0,0,0,0,0,0,0,,,,,
10/15/2022 0:00,0.07,0,0.03,0.03,0,0.03,0.06,,,,,
10/16/2022 0:00,0.31,0.26,0.24,0.22,0.22,0.22,0.34,,,,,
10/17/2022 0:00,0,0,0,0,0,0,0,,,,,
10/18/2022 0:00,0,0,0,0,0,0,0,,,,,
10/19/2022 0:00,0,0,0,0,0,0,0.01,,,,,
10/20/2022 0:00,0,0,0,0,0,0,0,,,,,
10/21/2022 0:00,0,0,0,0,0,0,0,,,,,
10/22/2022 0:00,0,0,0,0,0,0,0,,,,,
10/23/2022 0:00,0,0,0,0,0,0,0.01,,,,,
10/24/2022 0:00,0,0,0,0,0,0,0,,,,,
10/25/2022 0:00,0,0,0,0,0,0,0,,,,,
10/26/2022 0:00,0,0,0,0,0,0,0,,,,,
10/27/2022 0:00,0,0,0,0,0,0,0,,,,,
10/28/2022 0:00,0,0,0,0,0,0,0,,,,,
10/29/2022 0:00,0,0,0,0,0,0,0,,,,,
10/30/2022 0:00,0,0,0,0,0,0,0,,,,,
10/31/2022 0:00,0,0,0,0,0,0,0,,,,,
11/1/2022 0:00,0,0,0,0,0,0,0,,,,,
11/2/2022 0:00,0,0,0,0,0,0,0,,,,,
11/3/2022 0:00,0.16,0.34,0.16,0.15,0.2,0.15,0.21,,,,,
11/4/2022 0:00,0,0,0,0,0,0,0,,,,,
11/5/2022 0:00,0,0,0,0,0,0,0,,,,,
11/6/2022 0:00,0,0,0,0,0,0,0,,,,,
11/7/2022 0:00,0,0,0,0,0,0,0,,,,,
11/8/2022 0:00,0.3,0.12,0.17,0.2,0.15,0.2,0.4,,,,,
11/9/2022 0:00,3.19,1.65,2,1.6,0.93,1.6,3.08,,,,,
11/10/2022 0:00,0.15,0.12,0.16,0.36,0.07,0.36,0.22,,,,,
11/11/2022 0:00,0,0,0,0,0,0,0,,,,,
11/12/2022 0:00,0,0,0,0,0,0,0,,,,,
11/13/2022 0:00,0,0,0,0,0,0,0,,,,,
11/14/2022 0:00,0,0,0,0,0,0,0,,,,,
11/15/2022 0:00,0,0,0,0,0,0,0,,,,,
11/16/2022 0:00,0,0,0,0,0,0,0,,,,,
11/17/2022 0:00,0,0,0,0,0,0,0,,,,,
11/18/2022 0:00,0,0,0,0,0,0,0,,,,,
11/19/2022 0:00,0,0,0,0,0,0,0,,,,,
11/20/2022 0:00,0,0,0,0,0,0,0,,,,,
11/21/2022 0:00,0,0,0,0,0,0,0,,,,,
11/22/2022 0:00,0,0,0,0,0,0,0,,,,,
11/23/2022 0:00,0,0,0,0,0,0,0,,,,,
11/24/2022 0:00,0,0,0,0,0,0,0,,,,,
11/25/2022 0:00,0,0,0,0,0,0,0,,,,,
11/26/2022 0:00,0,0,0,0,0,0,0,,,,,
