OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_outfall,GlobalID,FACILITYID,LOCDESC,OBJECTID_hydstra,station
1,1,29,10103.93391,1,{6367FF6D-1FC8-4E27-B1F3-A8005D44345E},J01-9007-1 (J02P05),J02P05.  Border of Aliso and Wood Canyons Park and Crimson Cyn,29,SULPHURCREEK
2,2,29,4911.254993,2,{B505EE57-E554-47FD-BAEF-02EE63B94683},J01-9364-1,,29,SULPHURCREEK
3,3,29,4559.909432,3,{45DC9F7E-3DD3-44F6-A4A9-350A8C32653C},J01-9364-3 (J01P21),,29,SULPHURCREEK
4,4,29,3304.765459,4,{B349E3D1-F18C-44B9-A54D-9A854691EE96},J03-9221-1 (J03P02),J03P02.Alicia Parkway near Aliso and Wood Canyon Park ,29,SULPHURCREEK
5,5,63,5988.930147,5,{798A1AA2-7443-4216-9DB2-0FB1B57E4222},L01-727-1 (L01S04),L01S04,63,DANAPOINT
6,6,65,9672.861319,6,{FF3574C5-E460-4A7F-94BD-7DEF35298977},L02-166-2 (L02P25),L02P25,65,TRABUCO
7,7,65,15736.48657,7,{41CB5673-9B11-493E-B0F9-13C85AD6312E},L02-204-1 (L02P45),L02P45 (access at Arroyo Vista and Paraiso),65,TRABUCO
8,8,29,19747.66172,8,{5DF64E4A-01D2-4F6C-919E-DCBB0BDD3E55},L02-374-1 (L02P50),L02P50,29,SULPHURCREEK
9,9,29,17537.43665,9,{6D0EBCA6-4D3F-4C1C-894E-0641CFB65C37},L02-401-2 (COL02P55),COL02P55,29,SULPHURCREEK
10,10,29,5027.126637,10,{55C07C97-F5A8-4AD9-BDD6-F282EF1F22F5},J01-9144-4 (J01P26),J01P26,29,SULPHURCREEK
11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01-9992-1 (J01P27),J01P27; Woodfield Park,29,SULPHURCREEK
12,12,29,9462.945565,12,{3F8450D4-0881-4A9D-829A-4B4707912F53},J01-9131-1 (J01P28),J01P28 - Treatment system ,29,SULPHURCREEK
13,13,29,6471.43327,13,{65AB7468-482A-4869-8212-F73F5CC03224},J01-10019-1 (J01P33),J01P33,29,SULPHURCREEK
14,14,65,17449.64647,14,{47F2CB46-F01F-4454-981E-098E7CCE32F4},L02-246-1 (L11P01),L11P01,65,TRABUCO
