FACILITYID,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2023,Qcont4calcPrior,Qcf2023,Qcfp2022,Qboth,Q4calcsall,JURISDICTI3,PERCENTAGE,area_acres,AREA,DischargePCF2,DischargePCF3,MonitoringYear,rain_gage,dry_days,AnnualCFb,AnnualCF
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.07024999999999999,0.135838,0.062,0.09372821999999999,0.062,5356.799999999999,NA,NA,NA,NA,NA,5356.799999999999,LAGUNA NIGUEL,29.00896475,349.72191376,101.4507964,1553.952223728,1553.952223728,MY2022-23,PALISADES,267,1553.952223728,414905.243735376
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.07024999999999999,0.135838,0.062,0.09372821999999999,0.062,5356.799999999999,NA,NA,NA,NA,NA,5356.799999999999,SAN JUAN CAPISTRANO,70.99103534,349.72191376,248.2714269,3802.8477810931195,3802.8477810931195,MY2022-23,PALISADES,267,3802.8477810931195,1015360.357551863
M02-052-2,SAN CLEMENTE,0.73,0.686261,0.54855,0.47352008999999995,0.54855,47394.719999999994,NA,0.49208665074309976,NA,42516.28662420382,44955.50331210191,44955.50331210191,ORANGE CO,5.965513916,3106.39477221,185.3125762,2681.82680609128,2681.82680609128,MY2022-23,PALISADES,267,2681.82680609128,716047.7572263718
M02-052-2,SAN CLEMENTE,0.73,0.686261,0.54855,0.47352008999999995,0.54855,47394.719999999994,NA,0.49208665074309976,NA,42516.28662420382,44955.50331210191,44955.50331210191,SAN CLEMENTE,94.0344861,3106.39477221,2921.084943,42273.67651320351,42273.67651320351,MY2022-23,PALISADES,267,42273.67651320351,11287071.629025336
L01-727-1 (L01S04),DANA POINT,NA,0.129248,0.46234829999999993,0.08918111999999999,0.46234829999999993,39946.89311999999,NA,0.04569022588628972,NA,3947.6355165754326,21947.264318287715,21947.264318287715,DANA POINT,92.73717517,458.4026999,425.1100906,20353.272955873384,20353.272955873384,MY2022-23,DANAPOINT,263,20353.272955873384,5352910.787394701
L01-727-1 (L01S04),DANA POINT,NA,0.129248,0.46234829999999993,0.08918111999999999,0.46234829999999993,39946.89311999999,NA,0.04569022588628972,NA,3947.6355165754326,21947.264318287715,21947.264318287715,LAGUNA NIGUEL,7.26282481,458.4026999,33.29301445,1593.9913580248776,1593.9913580248776,MY2022-23,DANAPOINT,263,1593.9913580248776,419219.7271605428
L01-747-2,SAN JUAN CAPISTRANO,0.02,0.026835,0.029396069999999996,0.01851615,0.029396069999999996,2539.8204479999995,NA,0.008449599617608104,NA,730.0454069613402,1634.9329274806698,1634.9329274806698,ORANGE CO,17.94560662,240.61672041,43.18016829,293.3986316665309,293.3986316665309,MY2022-23,PALISADES,267,293.3986316665309,78337.43465496374
L01-747-2,SAN JUAN CAPISTRANO,0.02,0.026835,0.029396069999999996,0.01851615,0.029396069999999996,2539.8204479999995,NA,0.008449599617608104,NA,730.0454069613402,1634.9329274806698,1634.9329274806698,SAN JUAN CAPISTRANO,82.05439338,240.61672041,197.4367648,1341.5342958141389,1341.5342958141389,MY2022-23,PALISADES,267,1341.5342958141389,358189.6569823751
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.016,0.051586,0.014602108333333332,0.035594339999999995,0.014602108333333332,1261.62216,NA,0.027696428571428573,NA,2392.971428571429,NA,2392.971428571429,RANCHO SANTA MARGARITA,100,228.03010278,228.0303044,2392.971428571429,2392.971428571429,MY2022-23,TRABUCO,266,2362.885714285714,628527.6
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.016,0.051586,0.014602108333333332,0.035594339999999995,0.014602108333333332,1261.62216,0.027,NA,2332.7999999999997,NA,NA,2332.7999999999997,RANCHO SANTA MARGARITA,100,228.03010278,228.0303044,2332.7999999999997,2332.7999999999997,MY2022-23,TRABUCO,266,2362.885714285714,628527.6
