JURISDICTI3,DischargeJ_cf,DischargeJ_af,acres_juris_soc,QperArea_cfperacre
LAGUNA NIGUEL,149853675.93570623,3440.167032500143,9463.773977,15834.452122366682
SAN JUAN CAPISTRANO,34968558.64889384,802.7676457505473,9220.309393,3792.5580540108285
ORANGE CO,49015478.91087721,1125.2405626923144,94761.16102,517.2528321020905
SAN CLEMENTE,36752517.37657596,843.7217028598706,11739.01617,3130.8004729135628
DANA POINT,23851971.625408955,547.5659234483231,4071.560352,5858.18938277375
RANCHO SANTA MARGARITA,44920864.551577926,1031.2411513218074,8280.210526,5425.087249958881
MISSION VIEJO,43376976.46956656,995.798357887203,11525.93439,3763.423858043197
LAKE FOREST,5914319.452477645,135.77409211381186,3303.943395,1790.0789285397686
ALISO VIEJO,13201435.878827475,303.06326627243976,4298.475849,3071.1899618788516
LAGUNA BEACH,9597378.73342507,220.32549893078672,5632.041056,1704.0676085272255
LAGUNA WOODS,2911551.900807195,66.84003445379236,756.0075789,3851.2205195661363
LAGUNA HILLS,17287205.94922426,396.85964070762765,3498.38696,4941.4790721791
