FACILITYID,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2023,Qcont4calcPrior,Qcf2023,Qcfp2022,Qboth,Q4calcsall,JURISDICTI3,PERCENTAGE,area_acres,AREA,DischargePCF2,DischargePCF3,avgCnx,PERSISTENTFLOW,MonitoringYear,rain_gage,dry_days,Qadj_Qall
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.07024999999999999,0.135838,0.062,0.09372821999999999,0.062,5356.799999999999,NA,NA,NA,NA,NA,5356.799999999999,LAGUNA NIGUEL,29.00896475,349.72191376,101.4507964,1553.952223728,1553.952223728,1,Yes,MY2022-23,PALISADES,267,414905.243735376
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.07024999999999999,0.135838,0.062,0.09372821999999999,0.062,5356.799999999999,NA,NA,NA,NA,NA,5356.799999999999,SAN JUAN CAPISTRANO,70.99103534,349.72191376,248.2714269,3802.8477810931195,3802.8477810931195,1,Yes,MY2022-23,PALISADES,267,1015360.357551863
M02-052-2,SAN CLEMENTE,0.73,0.686261,0.54855,0.47352008999999995,0.54855,47394.719999999994,NA,0.49208665074309976,NA,42516.28662420382,44955.50331210191,44955.50331210191,ORANGE CO,5.965513916,3106.39477221,185.3125762,2681.82680609128,2681.82680609128,1,Yes,MY2022-23,PALISADES,267,716047.7572263718
M02-052-2,SAN CLEMENTE,0.73,0.686261,0.54855,0.47352008999999995,0.54855,47394.719999999994,NA,0.49208665074309976,NA,42516.28662420382,44955.50331210191,44955.50331210191,SAN CLEMENTE,94.0344861,3106.39477221,2921.084943,42273.67651320351,42273.67651320351,1,Yes,MY2022-23,PALISADES,267,11287071.629025336
J03-9234-8,LAGUNA NIGUEL,0.079,0.344732,0.32714038500000003,0.23786507999999998,0.32714038500000003,28264.929264000002,NA,NA,NA,NA,NA,28264.929264000002,LAGUNA NIGUEL,100,NA,NA,28264.929264000002,28264.929264000002,0.77,Yes,MY2022-23,SULPHURCREEK,279,6072154.753785121
L01-727-1 (L01S04),DANA POINT,NA,0.129248,0.46234829999999993,0.08918111999999999,0.46234829999999993,39946.89311999999,NA,0.04569022588628972,NA,3947.6355165754326,21947.264318287715,21947.264318287715,DANA POINT,92.73717517,458.4026999,425.1100906,20353.272955873384,20353.272955873384,1,Unknown,MY2022-23,DANAPOINT,263,5352910.787394701
L01-727-1 (L01S04),DANA POINT,NA,0.129248,0.46234829999999993,0.08918111999999999,0.46234829999999993,39946.89311999999,NA,0.04569022588628972,NA,3947.6355165754326,21947.264318287715,21947.264318287715,LAGUNA NIGUEL,7.26282481,458.4026999,33.29301445,1593.9913580248776,1593.9913580248776,1,Unknown,MY2022-23,DANAPOINT,263,419219.7271605428
L01-747-2,SAN JUAN CAPISTRANO,0.02,0.026835,0.029396069999999996,0.01851615,0.029396069999999996,2539.8204479999995,NA,0.008449599617608104,NA,730.0454069613402,1634.9329274806698,1634.9329274806698,ORANGE CO,17.94560662,240.61672041,43.18016829,293.3986316665309,293.3986316665309,0.77,Yes,MY2022-23,PALISADES,267,60319.824684322084
L01-747-2,SAN JUAN CAPISTRANO,0.02,0.026835,0.029396069999999996,0.01851615,0.029396069999999996,2539.8204479999995,NA,0.008449599617608104,NA,730.0454069613402,1634.9329274806698,1634.9329274806698,SAN JUAN CAPISTRANO,82.05439338,240.61672041,197.4367648,1341.5342958141389,1341.5342958141389,0.77,Yes,MY2022-23,PALISADES,267,275806.0358764288
K01-12156-6,LAGUNA NIGUEL,0.39,0.56463699999999994,0.8516573399999999,0.3895995299999999,0.8516573399999999,73583.19417599999,NA,NA,NA,NA,NA,73583.19417599999,LAGUNA NIGUEL,100,NA,NA,73583.19417599999,73583.19417599999,1,Yes,MY2022-23,DANAPOINT,263,19352380.068288
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.016,0.051586,0.014602108333333332,0.035594339999999995,0.014602108333333332,1261.62216,NA,0.027696428571428573,NA,2392.971428571429,NA,2392.971428571429,RANCHO SANTA MARGARITA,100,228.03010278,228.0303044,2392.971428571429,2392.971428571429,0.9671428571428572,Yes,MY2022-23,TRABUCO,266,615615.8297142858
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.016,0.051586,0.014602108333333332,0.035594339999999995,0.014602108333333332,1261.62216,0.027,NA,2332.7999999999997,NA,NA,2332.7999999999997,RANCHO SANTA MARGARITA,100,228.03010278,228.0303044,2332.7999999999997,2332.7999999999997,0.9671428571428572,Yes,MY2022-23,TRABUCO,266,600136.1279999999
L03-074-1 (L03B01),MISSION VIEJO,0.022666666666666665,0.197334,0.025,0.13616045999999998,0.025,2160,NA,0.14345459281597223,NA,12394.476819300002,7277.238409650001,7277.238409650001,MISSION VIEJO,100,303.10956645,303.1098344,7277.238409650001,7277.238409650001,1,Yes,MY2022-23,TRABUCO,266,1935745.4169669002
