FACILITYID,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
L01-724-4 (L01P03),LAGUNA NIGUEL,414905.243735376,NA,13842213.504816012
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,1015360.357551863,NA,6395373.317634842
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,615615.8297142858,NA,7819546.773457736
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,600136.1279999999,NA,7819546.773457736
K01-12159-2,DANA POINT,2045087.9999999993,NA,4402073.234388134
K01-12159-3,DANA POINT,363571.2,NA,4402073.234388134
L02-641-1,ORANGE CO,1013.3313152860796,NA,2672334.681625919
L02-641-1,RANCHO SANTA MARGARITA,171354.6686261088,NA,7819546.773457736
J06-9079-1 (J06P03),ALISO VIEJO,378008.66377610824,NA,2586106.3692771737
L04-266-5,MISSION VIEJO,6892314.547799999,NA,29383610.543684196
J01-9377-1,LAKE FOREST,193643.67839086507,NA,2638005.22879568
J01-9377-1,MISSION VIEJO,3801.919024571975,NA,29383610.543684196
L01-726-5,DANA POINT,298188.3316463654,NA,4402073.234388134
L01-726-5,SAN JUAN CAPISTRANO,19936.46520419904,NA,6395373.317634842
I01-11343-2 (I02P18),LAGUNA WOODS,45186.8173673994,NA,1728378.7735881044
M01-042-1 (M01S01),SAN CLEMENTE,1076085.79450752,NA,5567581.15450752
M01-047-1,SAN CLEMENTE,4491495.359999999,NA,5567581.15450752
L03-418-8,LAGUNA NIGUEL,251888.61272336388,NA,13842213.504816012
L03-418-8,MISSION VIEJO,2298480.77152387,NA,29383610.543684196
L04-672-1,MISSION VIEJO,2251802.3628672,NA,29383610.543684196
L03-316-3 (L03P12),MISSION VIEJO,7413529.826236038,NA,29383610.543684196
J01-9131-1 (J01P28),ALISO VIEJO,333862.55999999994,NA,2586106.3692771737
K01-12126-1 (K01S01),DANA POINT,990998.5304908713,NA,4402073.234388134
K01-12126-1 (K01S01),LAGUNA NIGUEL,2656075.0695091286,NA,13842213.504816012
L01-724-1 (L01S01),DANA POINT,637913.7850124988,NA,4402073.234388134
L01-724-1 (L01S01),LAGUNA NIGUEL,453025.0942074572,NA,13842213.504816012
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,666394.7480090205,NA,6395373.317634842
L02-374-1 (L02P50),ORANGE CO,1549656.2752879742,NA,2672334.681625919
L01-340-1,ORANGE CO,294000.5583070091,NA,2672334.681625919
L01-340-1,RANCHO SANTA MARGARITA,3611.8316279502988,NA,7819546.773457736
L03-214-2 (L03P18),MISSION VIEJO,9795374.37498252,NA,29383610.543684196
L03-214-2 (L03P18),RANCHO SANTA MARGARITA,466591.0148327202,NA,7819546.773457736
K01-12177-1 (K01P07),LAGUNA NIGUEL,4657608.619114088,NA,13842213.504816012
L01-728-5 (L01-DP),DANA POINT,66313.3872384,NA,4402073.234388134
J01-10004-1 (J01P01),LAKE FOREST,987247.432440811,NA,2638005.22879568
L02-641-2,ORANGE CO,2161.9407973799575,NA,2672334.681625919
L02-641-2,RANCHO SANTA MARGARITA,365584.9210775861,NA,7819546.773457736
L02-641-2,ORANGE CO,25324.72586215625,NA,2672334.681625919
L02-641-2,RANCHO SANTA MARGARITA,4282419.720673211,NA,7819546.773457736
J01-9992-1 (J01P27),ALISO VIEJO,39297.39287168602,NA,2586106.3692771737
J01-9992-1 (J01P27),ORANGE CO,115.26310269575279,NA,2672334.681625919
