JURISDICTI3,DischargeJ_cf,DischargeJ_af
LAGUNA NIGUEL,103341834.3093823,2372.402073218143
SAN JUAN CAPISTRANO,32344571.19058989,742.529182520429
RANCHO SANTA MARGARITA,42800790.50731991,982.570948285581
DANA POINT,12755933.296141481,292.8359342548549
ORANGE CO,42698467.68714165,980.2219395578891
ALISO VIEJO,10468291.266393151,240.31889959580235
MISSION VIEJO,46632980.85227377,1070.5459332477908
LAKE FOREST,4425366.021721029,101.59242474107045
LAGUNA WOODS,1728378.7735881044,39.67811693269294
SAN CLEMENTE,33767209.14007204,775.1884559245188
LAGUNA BEACH,7043988.594577953,161.7077271482542
LAGUNA HILLS,10822300.41480712,248.44583137757394
