JURISDICTI3,DischargeJ_af,QperArea_cfperacre
LAGUNA NIGUEL,2372.402073218143,10919.727643595043
SAN JUAN CAPISTRANO,740.8953222166286,3500.2513321579104
ORANGE CO,980.2219395578891,450.59038141301204
SAN CLEMENTE,775.1884559245188,2876.493962617315
DANA POINT,292.8359342548549,3132.9348439783316
RANCHO SANTA MARGARITA,982.4868069691739,5168.603524897528
MISSION VIEJO,1062.9937109238635,4017.375466584059
LAKE FOREST,101.59242474107045,1339.4194429656775
ALISO VIEJO,240.31889959580238,2435.3495597348765
LAGUNA BEACH,161.70772714825424,1250.6990848502
LAGUNA WOODS,39.67811693269294,2286.1923899002654
LAGUNA HILLS,248.44583137757394,3093.511535043888
