JURISDICTI,FACILITYID,JURISDICTI3,AnnualCF,avgCnx,Qadj_Qall,QJur_S,QJur_US
SAN JUAN CAPISTRANO,L01-724-4 (L01P03),LAGUNA NIGUEL,414905.243735376,1,414905.243735376,13842213.504816012,NA
SAN JUAN CAPISTRANO,L01-724-4 (L01P03),SAN JUAN CAPISTRANO,1015360.357551863,1,1015360.357551863,6395373.317634842,NA
RANCHO SANTA MARGARITA,L02-246-1 (L11P01),RANCHO SANTA MARGARITA,628527.6,0.9671428571428572,615615.8297142858,7819546.773457736,NA
RANCHO SANTA MARGARITA,L02-246-1 (L11P01),RANCHO SANTA MARGARITA,628527.6,0.9671428571428572,615615.8297142858,7819546.773457736,NA
RANCHO SANTA MARGARITA,L02-246-1 (L11P01),RANCHO SANTA MARGARITA,628527.6,0.9671428571428572,600136.1279999999,7819546.773457736,NA
RANCHO SANTA MARGARITA,L02-246-1 (L11P01),RANCHO SANTA MARGARITA,628527.6,0.9671428571428572,600136.1279999999,7819546.773457736,NA
DANA POINT,K01-12159-2,DANA POINT,2045087.9999999993,1,2045087.9999999993,4402073.234388134,NA
DANA POINT,K01-12159-3,DANA POINT,363571.2,1,363571.2,4402073.234388134,NA
RANCHO SANTA MARGARITA,L02-641-1,ORANGE CO,1013.3313152860796,1,1013.3313152860796,2672334.681625919,NA
RANCHO SANTA MARGARITA,L02-641-1,RANCHO SANTA MARGARITA,171354.6686261088,1,171354.6686261088,7819546.773457736,NA
ALISO VIEJO,J06-9079-1 (J06P03),ALISO VIEJO,640692.6504679801,0.59,378008.66377610824,2586106.3692771737,NA
MISSION VIEJO,L04-266-5,MISSION VIEJO,6892314.547799999,1,6892314.547799999,29383610.543684196,NA
LAKE FOREST,J01-9377-1,LAKE FOREST,209722.39536916796,0.9233333333333333,193643.67839086507,2638005.22879568,NA
LAKE FOREST,J01-9377-1,MISSION VIEJO,4117.6018316663985,0.9233333333333333,3801.919024571975,29383610.543684196,NA
DANA POINT,L01-726-5,DANA POINT,298188.3316463654,1,298188.3316463654,4402073.234388134,NA
DANA POINT,L01-726-5,SAN JUAN CAPISTRANO,19936.46520419904,1,19936.46520419904,6395373.317634842,NA
LAGUNA WOODS,I01-11343-2 (I02P18),LAGUNA WOODS,58684.17839922,0.77,45186.8173673994,1728378.7735881044,NA
SAN CLEMENTE,M01-042-1 (M01S01),SAN CLEMENTE,1165435.8785279999,0.9233333333333333,1076085.79450752,5567581.15450752,NA
SAN CLEMENTE,M01-047-1,SAN CLEMENTE,4491495.359999999,1,4491495.359999999,5567581.15450752,NA
LAGUNA NIGUEL,L03-418-8,LAGUNA NIGUEL,251888.61272336388,1,251888.61272336388,13842213.504816012,NA
LAGUNA NIGUEL,L03-418-8,MISSION VIEJO,2298480.77152387,1,2298480.77152387,29383610.543684196,NA
MISSION VIEJO,L04-672-1,MISSION VIEJO,2759561.7191999997,0.8160000000000001,2251802.3628672,29383610.543684196,NA
ORANGE CO,L05-489-3,ORANGE CO,11576026.50698835,1,11576026.50698835,NA,NA
MISSION VIEJO,L03-316-3 (L03P12),MISSION VIEJO,7413529.826236038,1,7413529.826236038,29383610.543684196,NA
ALISO VIEJO,J01-9131-1 (J01P28),ALISO VIEJO,361583.99999999994,0.9233333333333333,333862.55999999994,2586106.3692771737,NA
DANA POINT,K01-12126-1 (K01S01),DANA POINT,990998.5304908713,1,990998.5304908713,4402073.234388134,NA
DANA POINT,K01-12126-1 (K01S01),LAGUNA NIGUEL,2656075.0695091286,1,2656075.0695091286,13842213.504816012,NA
SAN JUAN CAPISTRANO,L01-724-1 (L01S01),DANA POINT,637913.7850124988,1,637913.7850124988,4402073.234388134,NA
SAN JUAN CAPISTRANO,L01-724-1 (L01S01),LAGUNA NIGUEL,453025.0942074572,1,453025.0942074572,13842213.504816012,NA
SAN JUAN CAPISTRANO,L01-724-1 (L01S01),SAN JUAN CAPISTRANO,666394.7480090205,1,666394.7480090205,6395373.317634842,NA
SAN CLEMENTE,M02-032-1,SAN CLEMENTE,4802274.773279999,1,4802274.773279999,NA,NA
