FACILITYID,JURISDICTI3,Qadj_Qall
L01-724-4 (L01P03),LAGUNA NIGUEL,414905.243735376
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,1015360.357551863
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,615615.8297142858
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,600136.1279999999
K01-12159-2,DANA POINT,2045087.9999999993
K01-12159-3,DANA POINT,363571.2
L02-641-1,ORANGE CO,1013.3313152860796
L02-641-1,RANCHO SANTA MARGARITA,171354.6686261088
J06-9079-1 (J06P03),ALISO VIEJO,378008.66377610824
L04-266-5,MISSION VIEJO,6892314.547799999
J01-9377-1,LAKE FOREST,193643.67839086507
J01-9377-1,MISSION VIEJO,3801.919024571975
L01-726-5,DANA POINT,298188.3316463654
L01-726-5,SAN JUAN CAPISTRANO,19936.46520419904
I01-11343-2 (I02P18),LAGUNA WOODS,45186.8173673994
M01-042-1 (M01S01),SAN CLEMENTE,1076085.79450752
M01-047-1,SAN CLEMENTE,4491495.359999999
L03-418-8,LAGUNA NIGUEL,251888.61272336388
L03-418-8,MISSION VIEJO,2298480.77152387
L04-672-1,MISSION VIEJO,2251802.3628672
L05-489-3,ORANGE CO,11576026.50698835
L03-316-3 (L03P12),MISSION VIEJO,7413529.826236038
J01-9131-1 (J01P28),ALISO VIEJO,333862.55999999994
K01-12126-1 (K01S01),DANA POINT,990998.5304908713
K01-12126-1 (K01S01),LAGUNA NIGUEL,2656075.0695091286
L01-724-1 (L01S01),DANA POINT,637913.7850124988
L01-724-1 (L01S01),LAGUNA NIGUEL,453025.0942074572
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,666394.7480090205
M02-032-1,SAN CLEMENTE,4802274.773279999
L05-049-1,ORANGE CO,2073409.118979964
L02-374-1 (L02P50),ORANGE CO,1549656.2752879742
L01-340-1,ORANGE CO,294000.5583070091
L01-340-1,RANCHO SANTA MARGARITA,3611.8316279502988
L03-214-2 (L03P18),MISSION VIEJO,9795374.37498252
L03-214-2 (L03P18),RANCHO SANTA MARGARITA,466591.0148327202
K01-12177-1 (K01P07),LAGUNA NIGUEL,4657608.619114088
L01-728-5 (L01-DP),DANA POINT,66313.3872384
J01-10004-1 (J01P01),LAKE FOREST,987247.432440811
L02-641-2,ORANGE CO,2161.9407973799575
L02-641-2,RANCHO SANTA MARGARITA,365584.9210775861
L02-641-2,ORANGE CO,25324.72586215625
L02-641-2,RANCHO SANTA MARGARITA,4282419.720673211
J01-9992-1 (J01P27),ALISO VIEJO,39297.39287168602
J01-9992-1 (J01P27),ORANGE CO,115.26310269575279
M02-085-1 (M02P06),ORANGE CO,882.9940915990373
M02-085-1 (M02P06),SAN CLEMENTE,1273499.0217904504
L02-166-3 (L02P26),ORANGE CO,4809.278034996831
L02-166-3 (L02P26),RANCHO SANTA MARGARITA,851624.6187073421
L01-404-1,ORANGE CO,607900.6394999999
I01-11010-1,LAGUNA BEACH,1485518.4000000001
M02-085-2,SAN CLEMENTE,7194886.431264
J03-9221-1 (J03P02),LAGUNA NIGUEL,3303913.5360000003
L03-662-3 (L03P16),MISSION VIEJO,728306.7412500001
J06-10011-1 (J06P01),ALISO VIEJO,655642.1397787175
J06-10011-1 (J06P01),LAGUNA HILLS,919610.2814360304
J06-10011-1 (J06P01),LAGUNA WOODS,1683191.956220705
J06-10011-1 (J06P01),LAKE FOREST,1012754.6435336117
J01-9007-1 (J02P05),ALISO VIEJO,480980.7288160326
J01-9007-1 (J02P05),ORANGE CO,8845.065025712363
J01-9082-2,ALISO VIEJO,663258.1110407821
J01-9082-2,ORANGE CO,14591.35464843927
I00-11437-1,LAGUNA BEACH,2244793.7149110925
I00-11437-1,ORANGE CO,82096.2659121763
I00-11468-1,LAGUNA BEACH,460019.411963838
I00-11468-1,ORANGE CO,41268.15833701703
I01-11023-1,LAGUNA BEACH,5878.8329019230205
I01-11023-1,ORANGE CO,11721.895629546038
J01-9031-1,LAKE FOREST,444359.4744303923
J01-9224-1 (J01P24),ALISO VIEJO,3068.504293817672
J01-9224-1 (J01P24),LAGUNA NIGUEL,184232.00687644104
J01-9224-2 (J01P25),ALISO VIEJO,31988.268700029792
J01-9224-2 (J01P25),LAGUNA NIGUEL,1920565.3226501578
L01-731-1 (L08TBN2),ORANGE CO,28829.92986552969
L01-731-1 (L08TBN2),RANCHO SANTA MARGARITA,462608.04019853176
L01-766-9,SAN JUAN CAPISTRANO,2131446.2790297596
L05-503-1,SAN JUAN CAPISTRANO,2562235.46784
J01-9273-1,LAGUNA HILLS,0
J01-9273-1,LAGUNA WOODS,0
I01-11343-1,LAGUNA WOODS,0
