Facility.Identifier,avgCnx,PERSISTENTFLOW
DP01-12022-1,1,Unknown
DP01-12022-2,0,Unknown
DP04-12015-1,0,Yes
DP06-12106-1,0,Yes
I00-11437-1,0.77,Yes
I00-11453-1,0.385,Unknown
I00-11468-1,0.77,Yes
I00-11518-1,0.5,Unknown
I00-11518-2,0.77,Unknown
I01-11010-1,1,Yes
I01-11015-2,0.635,Unknown
I01-11015-3,0.885,Unknown
I01-11023-1,0.5,Unknown
I01-11023-2,0.385,Unknown
I01-11023-3,0.385,Unknown
I01-11023-4,0.385,Unknown
I01-11023-5,0.385,Unknown
I01-11059-1,0.385,Unknown
I01-11059-2,0.385,Unknown
I01-11059-3,0.385,Unknown
I01-11065-1,0.385,Unknown
I01-11077-1,0.385,Unknown
I01-11077-2,0.385,Unknown
I01-11093-1,0,Unknown
I01-11093-2,0.385,Unknown
I01-11195-2,0.885,Yes
I01-11216-1 (I02P13),1,Yes
I01-11216-2 (I02P12),1,Yes
I01-11216-3,1,Yes
I01-11216-4 (I02P14),0.5,Yes
I01-11217-1,0.4,Unknown
I01-11343-1,1,Yes
I01-11343-2 (I02P18),0.77,Yes
I01-11487-1,0.385,Unknown
I01-11487-2,0.385,Yes
I01-11502-1,0.77,Unknown
I01-11503-3,0.77,Yes
I01-11503-5,0.77,Yes
J01-10004-1 (J01P01),0.97125,Yes
J01-10004-2,0,Unknown
J01-10006-1,0.77,Yes
J01-10012-3,0.77,Unknown
J01-10017-1 (J01TBN4),0.9233333333333333,Yes
J01-10019-1 (J01P33),0.77,Yes
J01-10041-2 (J03P13),0.77,Yes
J01-9005-1 (J03P05),0.9233333333333333,Yes
J01-9005-3,0.635,Yes
J01-9007-1 (J02P05),0.8466666666666667,Yes
J01-9008-1 (J01P30),1,Yes
J01-9031-1,0.885,Unknown
J01-9033-1,0.385,Yes
J01-9040-1,1,Yes
J01-9046-1,0.59,Unknown
J01-9046-2,0.25666666666666665,Unknown
J01-9046-3,0.5,Yes
J01-9066-1 (J01P04),0.7566666666666667,Yes
J01-9066-2 (J01P03),0.9233333333333333,Yes
J01-9082-2,0.76,Yes
J01-9082-3,0.77,Unknown
