FACILITYID,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2023,Qcont4calcPrior,Qcf2023,Qcfp2022,Qboth,Q4calcsall
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.07024999999999999,0.135838,0.062,0.09372821999999999,0.062,5356.799999999999,NA,NA,NA,NA,NA,5356.799999999999
M02-052-2,SAN CLEMENTE,0.73,0.686261,0.54855,0.47352008999999995,0.54855,47394.719999999994,NA,0.49208665074309976,NA,42516.28662420382,44955.50331210191,44955.50331210191
J03-9234-8,LAGUNA NIGUEL,0.079,0.344732,0.32714038500000003,0.23786507999999998,0.32714038500000003,28264.929264000002,NA,NA,NA,NA,NA,28264.929264000002
L01-727-1 (L01S04),DANA POINT,NA,0.129248,0.46234829999999993,0.08918111999999999,0.46234829999999993,39946.89311999999,NA,0.04569022588628972,NA,3947.6355165754326,21947.264318287715,21947.264318287715
L01-747-2,SAN JUAN CAPISTRANO,0.02,0.026835,0.029396069999999996,0.01851615,0.029396069999999996,2539.8204479999995,NA,0.008449599617608104,NA,730.0454069613402,1634.9329274806698,1634.9329274806698
K01-12156-6,LAGUNA NIGUEL,0.39,0.56463699999999994,0.8516573399999999,0.3895995299999999,0.8516573399999999,73583.19417599999,NA,NA,NA,NA,NA,73583.19417599999
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.016,0.051586,0.014602108333333332,0.035594339999999995,0.014602108333333332,1261.62216,NA,0.027696428571428573,NA,2392.971428571429,NA,2392.971428571429
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.016,0.051586,0.014602108333333332,0.035594339999999995,0.014602108333333332,1261.62216,0.027,NA,2332.7999999999997,NA,NA,2332.7999999999997
SC11-130-2,DANA POINT,0.003,0.013885,0,0.00958065,0,0,NA,NA,NA,NA,NA,0
L03-074-1 (L03B01),MISSION VIEJO,0.022666666666666665,0.197334,0.025,0.13616045999999998,0.025,2160,NA,0.14345459281597223,NA,12394.476819300002,7277.238409650001,7277.238409650001
K01-12159-2,DANA POINT,0.078,0.149132,0.09,0.10290107999999998,0.09,7775.999999999998,NA,NA,NA,NA,NA,7775.999999999998
L03-691-1 (L03P09),MISSION VIEJO,0.097,0.31644,0.0833381,0.21834359999999997,0.0833381,7200.41184,NA,0.19257291666666668,NA,16638.300000000003,11919.355920000002,11919.355920000002
K01-12159-3,DANA POINT,0.0115,0.02149,0.016,0.014828099999999999,0.016,1382.3999999999999,NA,NA,NA,NA,NA,1382.3999999999999
L01-728-7 (L01S03),DANA POINT,0.018,0.147308,0.05157749999999999,0.10164251999999999,0.05157749999999999,4456.295999999999,NA,0.030155486100694445,NA,2605.4339990999997,3530.8649995499995,3530.8649995499995
J01-9785-1,LAKE FOREST,0.002,0.005869,0.002,0.0040496099999999995,0.002,172.79999999999998,NA,NA,NA,NA,NA,172.79999999999998
L01-218-4,RANCHO SANTA MARGARITA,0.007333333333333333,0.026115,0.025376734999999997,0.018019349999999996,0.025376734999999997,2192.549904,NA,NA,NA,NA,NA,2192.549904
L02-641-1,RANCHO SANTA MARGARITA,0.0075,0.050143,0.0075,0.03459867,0.0075,647.9999999999999,NA,NA,NA,NA,NA,647.9999999999999
J06-9079-1 (J06P03),ALISO VIEJO,0.0283,0.140085,0.036333333333333336,0.09665864999999998,0.036333333333333336,3139.2000000000003,0.0275,NA,2376,NA,NA,2376
L04-266-5,MISSION VIEJO,0.143,0.458897,0.27162643499999994,0.31663893,0.27162643499999994,23468.523983999996,NA,0.3085347222222222,NA,26657.399999999998,25062.961991999997,25062.961991999997
J07-9022-1,MISSION VIEJO,0.0035,0.004493,0.0035,0.0031001699999999993,0.0035,302.4,NA,NA,NA,NA,NA,302.4
L01-414-3,ORANGE CO,NA,0.232035,NA,0.16010414999999997,0.16010414999999997,13832.998559999998,NA,NA,NA,NA,NA,13832.998559999998
DP04-12015-1,LAGUNA BEACH,0.008,0.010065,0.008,0.006944849999999999,0.008,691.1999999999999,NA,NA,NA,NA,NA,691.1999999999999
