Station,date,Flow_cfs_md,wet_within_72
J01-9224-2 (J01P25),2023-04-28,0.081,FALSE
J01-9224-2 (J01P25),2023-04-29,0.081,FALSE
J01-9224-2 (J01P25),2023-04-30,0.08,FALSE
J01-9224-2 (J01P25),2023-05-01,0.08,FALSE
J01-9224-2 (J01P25),2023-05-02,0.079,FALSE
J01-9224-2 (J01P25),2023-05-03,0.08,FALSE
J01-9224-2 (J01P25),2023-05-04,0.095,FALSE
J01-9224-2 (J01P25),2023-05-09,0.081,FALSE
J01-9224-2 (J01P25),2023-05-10,0.079,FALSE
J01-9224-2 (J01P25),2023-05-11,0.08,FALSE
J01-9224-2 (J01P25),2023-05-12,0.081,FALSE
J01-9224-2 (J01P25),2023-05-13,0.081,FALSE
J01-9224-2 (J01P25),2023-05-14,0.081,FALSE
J01-9224-2 (J01P25),2023-05-15,0.081,FALSE
J01-9224-2 (J01P25),2023-05-16,0.081,FALSE
J01-9224-2 (J01P25),2023-05-17,0.08,FALSE
J01-9224-2 (J01P25),2023-05-18,0.08,FALSE
J01-9224-2 (J01P25),2023-05-19,0.08,FALSE
J01-9224-2 (J01P25),2023-05-20,0.081,FALSE
J01-9224-2 (J01P25),2023-05-21,0.081,FALSE
J01-9224-2 (J01P25),2023-05-22,0.08,FALSE
J01-9224-2 (J01P25),2023-05-23,0.078,FALSE
J01-9224-2 (J01P25),2023-05-24,0.078,FALSE
J01-9224-2 (J01P25),2023-05-25,0.078,FALSE
J01-9224-2 (J01P25),2023-05-26,0.078,FALSE
J01-9224-2 (J01P25),2023-05-27,0.078,FALSE
J01-9224-2 (J01P25),2023-05-28,0.078,FALSE
J01-9224-2 (J01P25),2023-05-29,0.077,FALSE
J01-9224-2 (J01P25),2023-05-30,0.08,FALSE
J01-9224-2 (J01P25),2023-05-31,0.077,FALSE
J01-9224-2 (J01P25),2023-06-01,0.078,FALSE
J01-9224-2 (J01P25),2023-06-02,0.078,FALSE
J01-9224-2 (J01P25),2023-06-03,0.078,FALSE
J01-9224-2 (J01P25),2023-06-04,0.078,FALSE
J01-9224-2 (J01P25),2023-06-05,0.077,FALSE
J01-9224-2 (J01P25),2023-06-06,0.077,FALSE
J01-9224-2 (J01P25),2023-06-07,0.077,FALSE
J01-9224-2 (J01P25),2023-06-08,0.078,FALSE
J01-9224-2 (J01P25),2023-06-09,0.078,FALSE
J01-9224-2 (J01P25),2023-06-10,0.077,FALSE
J01-9224-2 (J01P25),2023-06-11,0.078,FALSE
J01-9224-2 (J01P25),2023-06-12,0.079,FALSE
J01-9224-2 (J01P25),2023-06-13,0.078,FALSE
J01-9224-2 (J01P25),2023-06-14,0.078,FALSE
J01-9224-2 (J01P25),2023-06-15,0.078,FALSE
J01-9224-2 (J01P25),2023-06-16,0.078,FALSE
J01-9224-2 (J01P25),2023-06-17,0.078,FALSE
J01-9224-2 (J01P25),2023-06-18,0.077,FALSE
J01-9224-2 (J01P25),2023-06-19,0.077,FALSE
J01-9224-2 (J01P25),2023-06-20,0.077,FALSE
J01-9224-2 (J01P25),2023-06-21,0.076,FALSE
J01-9224-2 (J01P25),2023-06-22,0.076,FALSE
J01-9224-2 (J01P25),2023-06-23,0.076,FALSE
J01-9224-2 (J01P25),2023-06-24,0.076,FALSE
J01-9224-2 (J01P25),2023-06-25,0.077,FALSE
J01-9224-2 (J01P25),2023-06-26,0.076,FALSE
J01-9224-2 (J01P25),2023-06-27,0.077,FALSE
J01-9224-2 (J01P25),2023-06-28,0.077,FALSE
J01-9224-2 (J01P25),2023-06-29,0.077,FALSE
J01-9224-2 (J01P25),2023-06-30,0.078,FALSE
J01-9224-2 (J01P25),2023-07-01,0.078,FALSE
J01-9224-2 (J01P25),2023-07-02,0.078,FALSE
J01-9224-2 (J01P25),2023-07-03,0.077,FALSE
J01-9224-2 (J01P25),2023-07-04,0.077,FALSE
J01-9224-2 (J01P25),2023-07-05,0.077,FALSE
J01-9224-2 (J01P25),2023-07-06,0.078,FALSE
J01-9224-2 (J01P25),2023-07-07,0.08,FALSE
J01-9224-2 (J01P25),2023-07-08,0.08,FALSE
J01-9224-2 (J01P25),2023-07-09,0.08,FALSE
J01-9224-2 (J01P25),2023-07-10,0.08,FALSE
J01-9224-2 (J01P25),2023-07-11,0.081,FALSE
J01-9224-2 (J01P25),2023-07-12,0.081,FALSE
J01-9224-2 (J01P25),2023-07-13,0.082,FALSE
J01-9224-2 (J01P25),2023-07-14,0.082,FALSE
J01-9224-2 (J01P25),2023-07-15,0.081,FALSE
J01-9224-2 (J01P25),2023-07-16,0.085,FALSE
J01-9224-2 (J01P25),2023-07-17,0.091,FALSE
J01-9224-2 (J01P25),2023-07-18,0.09,FALSE
J01-9224-2 (J01P25),2023-07-19,0.082,FALSE
J01-9224-2 (J01P25),2023-07-20,0.082,FALSE
J01-9224-2 (J01P25),2023-07-21,0.081,FALSE
J01-9224-2 (J01P25),2023-07-22,0.082,FALSE
J01-9224-2 (J01P25),2023-07-23,0.082,FALSE
J01-9224-2 (J01P25),2023-07-24,0.082,FALSE
J01-9224-2 (J01P25),2023-07-25,0.083,FALSE
J01-9224-2 (J01P25),2023-07-26,0.084,FALSE
J01-9224-2 (J01P25),2023-07-27,0.083,FALSE
J01-9224-2 (J01P25),2023-07-28,0.083,FALSE
J01-9224-2 (J01P25),2023-07-29,0.084,FALSE
J01-9224-2 (J01P25),2023-07-30,0.084,FALSE
J01-9224-2 (J01P25),2023-07-31,0.083,FALSE
J01-9224-2 (J01P25),2023-08-01,0.083,FALSE
J01-9224-2 (J01P25),2023-08-02,0.082,FALSE
J01-9224-2 (J01P25),2023-08-03,0.081,FALSE
J01-9224-2 (J01P25),2023-08-04,0.081,FALSE
J01-9224-2 (J01P25),2023-08-05,0.082,FALSE
J01-9224-2 (J01P25),2023-08-06,0.082,FALSE
J01-9224-2 (J01P25),2023-08-07,0.081,FALSE
J01-9224-2 (J01P25),2023-08-08,0.082,FALSE
J01-9224-2 (J01P25),2023-08-09,0.082,FALSE
