Station,date,Flow_cfs_md
J01-10004-1 (J01P01),2022-10-01,0.033
J01-10004-1 (J01P01),2022-10-02,0.035
J01-10004-1 (J01P01),2022-10-03,0.037
J01-10004-1 (J01P01),2022-10-04,0.041
J01-10004-1 (J01P01),2022-10-05,0.035
J01-10004-1 (J01P01),2022-10-06,0.038
J01-10004-1 (J01P01),2022-10-07,0.036
J01-10004-1 (J01P01),2022-10-08,0.033
J01-10004-1 (J01P01),2022-10-09,0.031
J01-10004-1 (J01P01),2022-10-10,0.032
J01-10004-1 (J01P01),2022-10-11,0.047
J01-10004-1 (J01P01),2022-10-12,0.031
J01-10004-1 (J01P01),2022-10-13,0.03
J01-10004-1 (J01P01),2022-10-14,0.038
J01-10004-1 (J01P01),2022-10-15,0.48
J01-10004-1 (J01P01),2022-10-16,0.018
J01-10004-1 (J01P01),2022-10-17,0.019
J01-10004-1 (J01P01),2022-10-18,0.024
J01-10004-1 (J01P01),2022-10-19,0.039
J01-10004-1 (J01P01),2022-10-20,0.027
J01-10004-1 (J01P01),2022-10-21,0.03
J01-10004-1 (J01P01),2022-10-22,0.028
J01-10004-1 (J01P01),2022-10-23,0.023
J01-10004-1 (J01P01),2022-10-24,0.025
J01-10004-1 (J01P01),2022-10-25,0.024
J01-10004-1 (J01P01),2022-10-26,0.031
J01-10004-1 (J01P01),2022-10-27,0.033
J01-10004-1 (J01P01),2022-10-28,0.033
J01-10004-1 (J01P01),2022-10-29,0.034
J01-10004-1 (J01P01),2022-10-30,0.045
J01-10004-1 (J01P01),2022-10-31,0.05
J01-10004-1 (J01P01),2022-11-01,0.101
J01-10004-1 (J01P01),2022-11-02,0.123
J01-10004-1 (J01P01),2022-11-03,0.025
J01-10004-1 (J01P01),2022-11-04,0.018
J01-10004-1 (J01P01),2022-11-06,0.03
J01-10004-1 (J01P01),2022-11-07,0.526
J01-10004-1 (J01P01),2022-11-08,10.1
J01-10004-1 (J01P01),2022-11-09,0.658
J01-10004-1 (J01P01),2022-11-10,0.009
J01-10004-1 (J01P01),2022-11-11,0.004
J01-10004-1 (J01P01),2022-11-12,0.005
J01-10004-1 (J01P01),2022-11-13,0.008
J01-10004-1 (J01P01),2022-11-14,0.008
J01-10004-1 (J01P01),2022-11-15,0.009
J01-10004-1 (J01P01),2022-11-16,0.01
J01-10004-1 (J01P01),2022-11-17,0.009
J01-10004-1 (J01P01),2022-11-18,0.019
J01-10004-1 (J01P01),2022-11-19,0.018
J01-10004-1 (J01P01),2022-11-20,0.01
J01-10004-1 (J01P01),2022-11-21,0.009
J01-10004-1 (J01P01),2022-11-22,0.015
J01-10004-1 (J01P01),2022-11-23,0.021
J01-10004-1 (J01P01),2022-11-24,0.021
J01-10004-1 (J01P01),2022-11-25,0.011
J01-10004-1 (J01P01),2022-11-26,0.014
J01-10004-1 (J01P01),2022-11-27,0.023
J01-10004-1 (J01P01),2022-11-28,0.033
J01-10004-1 (J01P01),2022-11-29,0.032
J01-10004-1 (J01P01),2022-11-30,0.024
J01-10004-1 (J01P01),2022-12-01,0.026
J01-10004-1 (J01P01),2022-12-02,0.024
J01-10004-1 (J01P01),2022-12-03,0.019
J01-10004-1 (J01P01),2022-12-04,0.025
J01-10004-1 (J01P01),2022-12-05,0.048
J01-10004-1 (J01P01),2022-12-06,0.051
J01-10004-1 (J01P01),2022-12-07,0.04
J01-10004-1 (J01P01),2022-12-08,0.02
J01-10004-1 (J01P01),2022-12-09,0.021
J01-10004-1 (J01P01),2022-12-10,0.022
J01-10004-1 (J01P01),2022-12-11,4.41
J01-10004-1 (J01P01),2022-12-12,1.51
J01-10004-1 (J01P01),2022-12-13,0.015
J01-10004-1 (J01P01),2022-12-14,0.006
J01-10004-1 (J01P01),2022-12-15,0.008
J01-10004-1 (J01P01),2022-12-16,0.006
J01-10004-1 (J01P01),2022-12-17,0.006
J01-10004-1 (J01P01),2022-12-18,0.008
J01-10004-1 (J01P01),2022-12-19,0.009
J01-10004-1 (J01P01),2022-12-20,0.007
J01-10004-1 (J01P01),2022-12-21,0.007
J01-10004-1 (J01P01),2022-12-22,0.009
J01-10004-1 (J01P01),2022-12-23,0.015
J01-10004-1 (J01P01),2022-12-24,0.017
J01-10004-1 (J01P01),2022-12-25,0.014
J01-10004-1 (J01P01),2022-12-26,0.011
J01-10004-1 (J01P01),2022-12-27,0.601
J01-10004-1 (J01P01),2022-12-28,0.608
J01-10004-1 (J01P01),2022-12-29,0.01
J01-10004-1 (J01P01),2022-12-30,0.01
J01-10004-1 (J01P01),2022-12-31,5.21
J01-10004-1 (J01P01),2023-01-01,6.29
J01-10004-1 (J01P01),2023-01-02,0.052
J01-10004-1 (J01P01),2023-01-03,0.422
J01-10004-1 (J01P01),2023-01-04,0.623
J01-10004-1 (J01P01),2023-01-05,4.55
J01-10004-1 (J01P01),2023-01-06,0.043
J01-10004-1 (J01P01),2023-01-07,0.016
J01-10004-1 (J01P01),2023-01-08,0.014
J01-10004-1 (J01P01),2023-01-09,0.253
J01-10004-1 (J01P01),2023-01-10,5.66
J01-10004-1 (J01P01),2023-01-11,0.056
J01-10004-1 (J01P01),2023-01-12,0.023
J01-10004-1 (J01P01),2023-01-13,0.016
J01-10004-1 (J01P01),2023-01-14,10.4
J01-10004-1 (J01P01),2023-01-15,7.39
J01-10004-1 (J01P01),2023-01-16,9.98
J01-10004-1 (J01P01),2023-01-17,0.173
J01-10004-1 (J01P01),2023-01-18,0.04
J01-10004-1 (J01P01),2023-01-19,0.204
J01-10004-1 (J01P01),2023-01-20,0.038
J01-10004-1 (J01P01),2023-01-21,0.018
J01-10004-1 (J01P01),2023-01-22,0.023
J01-10004-1 (J01P01),2023-01-23,0.029
J01-10004-1 (J01P01),2023-01-24,0.019
J01-10004-1 (J01P01),2023-01-25,0.025
J01-10004-1 (J01P01),2023-01-26,0.025
J01-10004-1 (J01P01),2023-01-27,0.02
J01-10004-1 (J01P01),2023-01-28,0.03
J01-10004-1 (J01P01),2023-01-29,0.499
J01-10004-1 (J01P01),2023-01-30,0.365
J01-10004-1 (J01P01),2023-01-31,0.018
J01-10004-1 (J01P01),2023-02-01,0.01
J01-10004-1 (J01P01),2023-02-02,0.009
J01-10004-1 (J01P01),2023-02-03,0.014
J01-10004-1 (J01P01),2023-02-04,0.031
J01-10004-1 (J01P01),2023-02-05,0.033
J01-10004-1 (J01P01),2023-02-06,0.02
J01-10004-1 (J01P01),2023-02-07,0.013
J01-10004-1 (J01P01),2023-02-08,0.015
J01-10004-1 (J01P01),2023-02-09,0.029
J01-10004-1 (J01P01),2023-02-10,0.04
J01-10004-1 (J01P01),2023-02-11,0.021
J01-10004-1 (J01P01),2023-02-12,0.018
J01-10004-1 (J01P01),2023-02-13,0.023
J01-10004-1 (J01P01),2023-02-14,0.033
J01-10004-1 (J01P01),2023-02-15,0.015
J01-10004-1 (J01P01),2023-02-16,0.025
J01-10004-1 (J01P01),2023-02-17,0.028
J01-10004-1 (J01P01),2023-02-18,0.024
J01-10004-1 (J01P01),2023-02-19,0.034
J01-10004-1 (J01P01),2023-02-20,0.027
J01-10004-1 (J01P01),2023-02-21,0.057
J01-10004-1 (J01P01),2023-02-22,0.026
J01-10004-1 (J01P01),2023-02-23,0.573
J01-10004-1 (J01P01),2023-02-24,2.62
J01-10004-1 (J01P01),2023-02-25,13.3
J01-10004-1 (J01P01),2023-02-26,0.206
J01-10004-1 (J01P01),2023-02-27,0.207
J01-10004-1 (J01P01),2023-02-28,0.787
J01-10004-1 (J01P01),2023-03-01,2.9
J01-10004-1 (J01P01),2023-03-02,0.038
J01-10004-1 (J01P01),2023-03-03,0.029
J01-10004-1 (J01P01),2023-03-04,0.024
J01-10004-1 (J01P01),2023-03-05,0.021
J01-10004-1 (J01P01),2023-03-06,0.08
J01-10004-1 (J01P01),2023-03-07,0.028
J01-10004-1 (J01P01),2023-03-08,0.031
J01-10004-1 (J01P01),2023-03-09,0.037
J01-10004-1 (J01P01),2023-03-10,3.75
J01-10004-1 (J01P01),2023-03-11,0.373
J01-10004-1 (J01P01),2023-03-12,0.063
J01-10004-1 (J01P01),2023-03-13,0.026
J01-10004-1 (J01P01),2023-03-14,3.86
J01-10004-1 (J01P01),2023-03-15,13.2
J01-10004-1 (J01P01),2023-03-16,0.137
J01-10004-1 (J01P01),2023-03-17,0.061
J01-10004-1 (J01P01),2023-03-18,0.039
J01-10004-1 (J01P01),2023-03-19,0.077
J01-10004-1 (J01P01),2023-03-20,0.211
J01-10004-1 (J01P01),2023-03-21,10.8
J01-10004-1 (J01P01),2023-03-22,1.67
J01-10004-1 (J01P01),2023-03-23,0.219
J01-10004-1 (J01P01),2023-03-24,0.069
J01-10004-1 (J01P01),2023-03-25,0.051
J01-10004-1 (J01P01),2023-03-26,0.039
J01-10004-1 (J01P01),2023-03-27,0.035
J01-10004-1 (J01P01),2023-03-28,0.035
J01-10004-1 (J01P01),2023-03-29,1.73
J01-10004-1 (J01P01),2023-03-30,1.15
