Station,date,Flow_cfs_md,wet_within_72
J01-10004-1 (J01P01),2022-10-01,0.033,FALSE
J01-10004-1 (J01P01),2022-10-02,0.035,FALSE
J01-10004-1 (J01P01),2022-10-03,0.037,FALSE
J01-10004-1 (J01P01),2022-10-04,0.041,FALSE
J01-10004-1 (J01P01),2022-10-05,0.035,FALSE
J01-10004-1 (J01P01),2022-10-06,0.038,FALSE
J01-10004-1 (J01P01),2022-10-07,0.036,FALSE
J01-10004-1 (J01P01),2022-10-08,0.033,FALSE
J01-10004-1 (J01P01),2022-10-09,0.031,FALSE
J01-10004-1 (J01P01),2022-10-10,0.032,FALSE
J01-10004-1 (J01P01),2022-10-11,0.047,FALSE
J01-10004-1 (J01P01),2022-10-12,0.031,FALSE
J01-10004-1 (J01P01),2022-10-13,0.03,FALSE
J01-10004-1 (J01P01),2022-10-14,0.038,FALSE
J01-10004-1 (J01P01),2022-10-15,0.48,FALSE
J01-10004-1 (J01P01),2022-10-20,0.027,FALSE
J01-10004-1 (J01P01),2022-10-21,0.03,FALSE
J01-10004-1 (J01P01),2022-10-22,0.028,FALSE
J01-10004-1 (J01P01),2022-10-23,0.023,FALSE
J01-10004-1 (J01P01),2022-10-24,0.025,FALSE
J01-10004-1 (J01P01),2022-10-25,0.024,FALSE
J01-10004-1 (J01P01),2022-10-26,0.031,FALSE
J01-10004-1 (J01P01),2022-10-27,0.033,FALSE
J01-10004-1 (J01P01),2022-10-28,0.033,FALSE
J01-10004-1 (J01P01),2022-10-29,0.034,FALSE
J01-10004-1 (J01P01),2022-10-30,0.045,FALSE
J01-10004-1 (J01P01),2022-10-31,0.05,FALSE
J01-10004-1 (J01P01),2022-11-01,0.101,FALSE
J01-10004-1 (J01P01),2022-11-02,0.123,FALSE
J01-10004-1 (J01P01),2022-11-07,0.526,FALSE
J01-10004-1 (J01P01),2022-11-14,0.008,FALSE
J01-10004-1 (J01P01),2022-11-15,0.009,FALSE
J01-10004-1 (J01P01),2022-11-16,0.01,FALSE
J01-10004-1 (J01P01),2022-11-17,0.009,FALSE
J01-10004-1 (J01P01),2022-11-18,0.019,FALSE
J01-10004-1 (J01P01),2022-11-19,0.018,FALSE
J01-10004-1 (J01P01),2022-11-20,0.01,FALSE
J01-10004-1 (J01P01),2022-11-21,0.009,FALSE
J01-10004-1 (J01P01),2022-11-22,0.015,FALSE
J01-10004-1 (J01P01),2022-11-23,0.021,FALSE
