FACILITYID,area_acres,JURISDICTI
DP04-12015-1,178.90214373,LAGUNA BEACH
DP06-12106-1,66.54528569,DANA POINT
I00-11437-1,605.19208238,LAGUNA BEACH
I00-11453-1,342.08954194,LAGUNA BEACH
I00-11468-1,223.33679991,LAGUNA BEACH
I00-11518-1,645.16066542,LAGUNA BEACH
I01-11010-1,12.1490758,LAGUNA BEACH
I01-11015-2,245.37795985,LAGUNA BEACH
I01-11023-1,4.24010907,LAGUNA BEACH
I01-11023-2,16.81555601,LAGUNA BEACH
I01-11023-3,36.18156164,LAGUNA BEACH
I01-11023-4,6.44034236,LAGUNA BEACH
I01-11023-5,12.44670623,LAGUNA BEACH
I01-11059-1,282.44365092,LAGUNA BEACH
I01-11059-2,9.28778099,LAGUNA BEACH
I01-11077-1,118.05411389,LAGUNA BEACH
I01-11093-1,87.63278849,LAGUNA BEACH
I01-11093-2,296.78090067,LAGUNA BEACH
I01-11216-3,4.87418855,ALISO VIEJO
I01-11217-1,35.66443538,ALISO VIEJO
I01-11343-1,33.3408069,LAGUNA WOODS
I01-11487-1,5606.22157779,LAGUNA BEACH
I01-11487-2,134.7247304,LAGUNA BEACH
I01-11502-1,25.92502892,ALISO VIEJO
I01-11503-3,90.98036764,ALISO VIEJO
J01-10004-2,11.76218814,LAKE FOREST
J01-10006-1,23.20308578,LAKE FOREST
J01-10012-3,31.14614857,MISSION VIEJO
J01-10017-1 (J01TBN4),17.42256719,ALISO VIEJO
J01-10019-1 (J01P33),72.93906351,ALISO VIEJO
J01-9005-1 (J03P05),127.79044152,LAGUNA NIGUEL
J01-9005-3,201.89063791,LAGUNA NIGUEL
J01-9008-1 (J01P30),211.57209037,ALISO VIEJO
J01-9031-1,298.95942316,LAKE FOREST
J01-9040-1,146.1265793,LAKE FOREST
J01-9046-1,65.72077069,LAKE FOREST
J01-9046-2,46.36377902,LAKE FOREST
J01-9046-3,15.52791748,LAKE FOREST
J01-9066-2 (J01P03),420.34930926,MISSION VIEJO
J01-9082-2,124.66076066,ALISO VIEJO
J01-9082-3,124.66076066,ALISO VIEJO
J01-9082-4,124.66076066,ALISO VIEJO
J01-9144-1 (J01P23),175.4581519,LAGUNA NIGUEL
J01-9144-4 (J01P26),193.49295991,ALISO VIEJO
J01-9259-3,140.75505759,LAKE FOREST
J01-9273-1,30.68945533,LAGUNA WOODS
J01-9275-1,27.09901317,LAKE FOREST
J01-9275-2,42.7322098,LAKE FOREST
J01-9313-1,137.37665275,ALISO VIEJO
J01-9349-1,69.7067491,LAKE FOREST
J01-9364-4,42.33257611,ORANGE CO
J01-9377-1,34.4468196,LAKE FOREST
J01-9782-1 (J01TBN3),30.80686795,LAKE FOREST
J01-9785-1,21.25657462,LAKE FOREST
J03-9215-1,65.12825351,LAGUNA NIGUEL
J03-9215-3,155.28755892,LAGUNA NIGUEL
J03-9216-1 (J03P01),13.41168034,LAGUNA NIGUEL
J03-9216-2,1123.28596907,LAGUNA NIGUEL
J03-9234-5,131.49969178,LAGUNA NIGUEL
J03-9234-6,232.09078171,LAGUNA NIGUEL
J03-9368-1 (J03TBN1),92.34354303,LAGUNA NIGUEL
J03-9368-2 (J03TBN2),34.23122305,LAGUNA NIGUEL
J04-9249-1,1643.4542726,LAGUNA NIGUEL
J05-9255-1 (J05P01),70.04513345,LAGUNA HILLS
J05-9800-2,25.47292658,LAGUNA HILLS
J07-9022-1,82.52382766,MISSION VIEJO
J07-9110-1,102.11849185,MISSION VIEJO
K01-12032-2 (K01P11),126.84724993,LAGUNA NIGUEL
K01-12036-1,137.80531846,LAGUNA NIGUEL
K01-12036-10,185.37165068,LAGUNA NIGUEL
K01-12036-5,28.07626103,LAGUNA NIGUEL
K01-12058-1 (K01P08),329.52135056,LAGUNA NIGUEL
K01-12138-1 (K01TBN1),90.83218137,LAGUNA NIGUEL
K01-12155-1,63.75808645,LAGUNA NIGUEL
K01-12155-5,147.04555016,LAGUNA NIGUEL
L01-125-1,362.07575558,RANCHO SANTA MARGARITA
L01-125-2,113.27048633,RANCHO SANTA MARGARITA
L01-125-3,69.26665813,RANCHO SANTA MARGARITA
L01-218-1,66.55096754,RANCHO SANTA MARGARITA
L01-218-2,32.56312287,RANCHO SANTA MARGARITA
L01-218-3,58.59506433,RANCHO SANTA MARGARITA
L01-218-4,37.33151421,RANCHO SANTA MARGARITA
L01-223-1 (L08TBN1),136.87916674,RANCHO SANTA MARGARITA
L01-261-1,149.63865359,ORANGE CO
L01-335-1,442.4725473,ORANGE CO
L01-340-1,169.47171779,ORANGE CO
L01-372-1,117.6149137,ORANGE CO
L01-391-1,29.95853952,ORANGE CO
L01-391-3,85.50832944,ORANGE CO
L01-404-1,237.79044171,ORANGE CO
L01-414-1,41.37487005,ORANGE CO
L01-414-2,6.92037064,ORANGE CO
L01-414-3,86.8482772,ORANGE CO
L01-471-1,319.331511,ORANGE CO
L01-494-1,298.6999359,ORANGE CO
L01-517-1,163.63320429,SAN JUAN CAPISTRANO
L01-517-3,603.8362612,ORANGE CO
L01-517-6,13.85397146,ORANGE CO
