FACILITYID,AREA,area_acres,JURISDICTI3,acres_juris_soc,AcresJO,sumNA,PERCENTAGE,JURISDICTI2,Acres,JURISDICTI,AcresOb,PERCENT_o
DP04-12015-1,117.9627752,178.90214373,LAGUNA BEACH,5632.041056,4364.184515828,9,65.93698008,LAGUNA BEACH,118.0997707,LAGUNA BEACH,117.9627752,2.094494234453961
DP04-12015-1,60.71069578,178.90214373,LAGUNA NIGUEL,9463.773977,7019.695595841,3,33.93511159,LAGUNA NIGUEL,60.7117124,LAGUNA BEACH,60.71069578,0.641506189048327
DP04-12015-1,0.22882955,178.90214373,ORANGE CO,94761.16102,11899.378947256,16,0.127907549,ORANGE CO,0.22883035,LAGUNA BEACH,0.22882955,2.4148031486412872e-4
DP06-12106-1,66.54534452,66.54528569,DANA POINT,4071.560352,1406.472962507,14,100,DANA POINT,66.55078859,DANA POINT,66.54534452,1.6343941576922008
I00-11437-1,583.8404889,605.19208238,LAGUNA BEACH,5632.041056,4364.184515828,9,96.47184583,LAGUNA BEACH,584.5185296,LAGUNA BEACH,583.8404889,10.36641038470441
I00-11437-1,21.35212857,605.19208238,ORANGE CO,94761.16102,11899.378947256,16,3.528154171,ORANGE CO,21.35220326,LAGUNA BEACH,21.35212857,0.022532573831058788
I00-11453-1,342.0898444,342.08954194,LAGUNA BEACH,5632.041056,4364.184515828,9,100,LAGUNA BEACH,342.487129,LAGUNA BEACH,342.0898444,6.07399415236081
I00-11468-1,204.9509316,223.33679991,LAGUNA BEACH,5632.041056,4364.184515828,9,91.76756832,LAGUNA BEACH,205.1889505,LAGUNA BEACH,204.9509316,3.6390170022226482
I00-11468-1,18.3860665,223.33679991,ORANGE CO,94761.16102,11899.378947256,16,8.232432026,ORANGE CO,18.38613081,LAGUNA BEACH,18.3860665,0.01940253401509031
I00-11518-1,623.8091072,645.16066542,LAGUNA BEACH,5632.041056,4364.184515828,9,96.690419790000007,LAGUNA BEACH,624.5335654,LAGUNA BEACH,623.8091072,11.076075280655767
I00-11518-1,21.35212857,645.16066542,ORANGE CO,94761.16102,11899.378947256,16,3.309580209,ORANGE CO,21.35220326,LAGUNA BEACH,21.35212857,0.022532573831058788
I01-11010-1,12.14908654,12.1490758,LAGUNA BEACH,5632.041056,4364.184515828,9,100,LAGUNA BEACH,12.16319583,LAGUNA BEACH,12.14908654,0.21571374248163863
I01-11015-2,24.08340969,245.37795985,LAGUNA BEACH,5632.041056,4364.184515828,9,9.814813201,LAGUNA BEACH,24.11137886,LAGUNA BEACH,24.08340969,0.42761424234191525
I01-11015-2,221.2947674,245.37795985,ORANGE CO,94761.16102,11899.378947256,16,90.18518695,ORANGE CO,229.2178401,LAGUNA BEACH,221.2947674,0.23352897433716988
I01-11023-1,1.41624325,4.24010907,LAGUNA BEACH,5632.041056,4364.184515828,9,33.40107474,LAGUNA BEACH,1.417887999,LAGUNA BEACH,1.41624325,0.02514618121420172
I01-11023-1,2.823869268,4.24010907,ORANGE CO,94761.16102,11899.378947256,16,66.59891828,ORANGE CO,2.924972976,LAGUNA BEACH,2.823869268,0.0029799859326375315
I01-11023-2,16.81557088,16.81555601,LAGUNA BEACH,5632.041056,4364.184515828,9,100,LAGUNA BEACH,16.83509957,LAGUNA BEACH,16.81557088,0.29856974963074556
I01-11023-3,0.731578875,36.18156164,LAGUNA BEACH,5632.041056,4364.184515828,9,2.021964214,LAGUNA BEACH,0.732428491,LAGUNA BEACH,0.731578875,0.012989587038266078
I01-11023-3,35.45001446,36.18156164,ORANGE CO,94761.16102,11899.378947256,16,97.97803498,ORANGE CO,36.719240310000004,LAGUNA BEACH,35.45001446,0.037409856610471484
I01-11023-4,6.44034771,6.44034236,LAGUNA BEACH,5632.041056,4364.184515828,9,99.99999471,LAGUNA BEACH,6.447827182,LAGUNA BEACH,6.44034771,0.114351931137627
I01-11023-5,1.051887306,12.44670623,LAGUNA BEACH,5632.041056,4364.184515828,9,8.451122386,LAGUNA BEACH,1.053108911,LAGUNA BEACH,1.051887306,0.018676840164000397
I01-11023-5,11.39482948,12.44670623,ORANGE CO,94761.16102,11899.378947256,16,91.54887409,ORANGE CO,11.80280145,LAGUNA BEACH,11.39482948,0.012024788803078345
I01-11059-1,282.4438999,282.44365092,LAGUNA BEACH,5632.041056,4364.184515828,9,99.99999976,LAGUNA BEACH,282.771915,LAGUNA BEACH,282.4438999,5.0149474602835715
I01-11059-2,9.287789205,9.28778099,LAGUNA BEACH,5632.041056,4364.184515828,9,100,LAGUNA BEACH,9.298575541,LAGUNA BEACH,9.287789205,0.16490982776315896
I01-11077-1,109.0487051,118.05411389,LAGUNA BEACH,5632.041056,4364.184515828,9,92.37171423,LAGUNA BEACH,109.1753484,LAGUNA BEACH,109.0487051,1.9362199958366213
I01-11077-1,9.005513067,118.05411389,ORANGE CO,94761.16102,11899.378947256,16,7.628285715,ORANGE CO,9.327939735,LAGUNA BEACH,9.005513067,0.009503379834169956
I01-11093-1,13.23900078,87.63278849,LAGUNA BEACH,5632.041056,4364.184515828,9,15.10734659,LAGUNA BEACH,13.25437584,LAGUNA BEACH,13.23900078,0.23506577186428804
I01-11093-1,74.3938653,87.63278849,ORANGE CO,94761.16102,11899.378947256,16,84.89265355,ORANGE CO,77.05740772,LAGUNA BEACH,74.3938653,0.07850670517249009
I01-11093-2,3.176751622,296.78090067,LAGUNA BEACH,5632.041056,4364.184515828,9,1.070402039,LAGUNA BEACH,3.180440929,LAGUNA BEACH,3.176751622,0.0564049798361413
I01-11093-2,293.6044114,296.78090067,ORANGE CO,94761.16102,11899.378947256,16,98.92959796,ORANGE CO,304.1164046,LAGUNA BEACH,293.6044114,0.30983623273466726
I01-11343-1,33.34083637,33.3408069,LAGUNA WOODS,756.0075789,696.20500044,0,100,LAGUNA WOODS,77.39360002,LAGUNA WOODS,33.34083637,4.410119329559012
I01-11343-2 (I02P18),46.24696799,46.81104081,LAGUNA WOODS,756.0075789,696.20500044,0,98.79491313,LAGUNA WOODS,107.3524162,LAGUNA WOODS,46.24696799,6.117262482644669
I01-11487-1,528.5544551,5606.22157779,ALISO VIEJO,4298.475849,3530.302268142,2,9.42798961,ALISO VIEJO,543.7338457,LAGUNA BEACH,528.5544551,12.296322549374407
I01-11487-1,1610.025662,5606.22157779,LAGUNA BEACH,5632.041056,4364.184515828,9,28.71852666,LAGUNA BEACH,1611.895459,LAGUNA BEACH,1610.025662,28.586894981612147
I01-11487-1,230.3550073,5606.22157779,LAGUNA WOODS,756.0075789,696.20500044,0,4.108913651,LAGUNA WOODS,534.7197383,LAGUNA BEACH,230.3550073,30.46993359976222
I01-11487-1,3169.981671,5606.22157779,ORANGE CO,94761.16102,11899.378947256,16,56.5439454,ORANGE CO,3280.467663,LAGUNA BEACH,3169.981671,3.345233043663272
I01-11487-2,134.7248497,134.7247304,LAGUNA BEACH,5632.041056,4364.184515828,9,100.0000001,LAGUNA BEACH,134.8813118,LAGUNA BEACH,134.7248497,2.3921141263072494
J01-10004-1 (J01P01),466.5905351,479.88775953,LAKE FOREST,3303.943395,2320.512734174,0,97.22901103,LAKE FOREST,1506.373175,LAKE FOREST,466.5905351,14.122231506935368
J01-10004-2,11.76219854,11.76218814,LAKE FOREST,3303.943395,2320.512734174,0,100,LAKE FOREST,37.97389578,LAKE FOREST,11.76219854,0.3560048443263357
J01-10006-1,23.2031063,23.20308578,LAKE FOREST,3303.943395,2320.512734174,0,100,LAKE FOREST,74.91051418,LAKE FOREST,23.2031063,0.7022852248350945
J01-10012-3,5.986516204,31.14614857,MISSION VIEJO,11525.93439,7216.746164301,6,19.22071006,MISSION VIEJO,5.986544433,MISSION VIEJO,5.986516204,0.05193953046612822
J01-10012-3,18.90289392,31.14614857,ORANGE CO,94761.16102,11899.378947256,16,60.69089784,ORANGE CO,32.12662443,MISSION VIEJO,18.90289392,0.019947934065529666
J01-10012-3,6.256766146,31.14614857,RANCHO SANTA MARGARITA,8280.210526,6199.934753959,1,20.08839263,RANCHO SANTA MARGARITA,6.25676584,MISSION VIEJO,6.256766146,0.07556288727627938
J01-10017-1 (J01TBN4),17.42258259,17.42256719,ALISO VIEJO,4298.475849,3530.302268142,2,100,ALISO VIEJO,17.92293631,ALISO VIEJO,17.42258259,0.40532000648679223
J01-10019-1 (J01P33),72.93912799,72.93906351,ALISO VIEJO,4298.475849,3530.302268142,2,100,ALISO VIEJO,75.03384406,ALISO VIEJO,72.93912799,1.6968602488942355
J01-10041-2 (J03P13),0.036310178,374.69432682,LAGUNA HILLS,3498.38696,1941.488538748,1,0.009690605,LAGUNA HILLS,0.044153567,LAGUNA NIGUEL,0.036310178,0.001037911998162719
