MonitoringYear,rain_gage,FACILITYID,dry_days
MY2014-15,DANAPOINT,DP01-12020-1,63
MY2014-15,DANAPOINT,DP01-12022-1,63
MY2014-15,DANAPOINT,DP01-12022-2,63
MY2014-15,DANAPOINT,DP01-12022-3,63
MY2014-15,DANAPOINT,DP05-12190-1,63
MY2014-15,DANAPOINT,DP06-12106-1,63
MY2014-15,DANAPOINT,K01-12018-1,63
MY2014-15,DANAPOINT,K01-12046-1,63
MY2014-15,DANAPOINT,K01-12046-2,63
MY2014-15,DANAPOINT,K01-12046-3,63
MY2014-15,DANAPOINT,K01-12126-1 (K01S01),63
MY2014-15,DANAPOINT,K01-12155-1,63
MY2014-15,DANAPOINT,K01-12155-2,63
MY2014-15,DANAPOINT,K01-12155-3,63
MY2014-15,DANAPOINT,K01-12155-4,63
MY2014-15,DANAPOINT,K01-12156-1,63
MY2014-15,DANAPOINT,K01-12156-5,63
MY2014-15,DANAPOINT,K01-12156-6,63
MY2014-15,DANAPOINT,K01-12159-1 (K01P02),63
MY2014-15,DANAPOINT,K01-12159-2,63
MY2014-15,DANAPOINT,K01-12159-3,63
MY2014-15,DANAPOINT,L00-12094-1 (L00P01),63
MY2014-15,DANAPOINT,L00-12094-1d,63
MY2014-15,DANAPOINT,L00-12094-1dd,63
MY2014-15,DANAPOINT,L00-12095-1,63
MY2014-15,DANAPOINT,L00-12107-1,63
MY2014-15,DANAPOINT,L00-12107-2,63
MY2014-15,DANAPOINT,L00-12107-3,63
MY2014-15,DANAPOINT,L00-12107-4,63
MY2014-15,DANAPOINT,L01-601-1,63
MY2014-15,DANAPOINT,L01-601-2,63
MY2014-15,DANAPOINT,L01-613-1,63
MY2014-15,DANAPOINT,L01-613-2,63
MY2014-15,DANAPOINT,L01-724-1 (L01S01),63
MY2014-15,DANAPOINT,L01-724-2,63
MY2014-15,DANAPOINT,L01-724-5,63
MY2014-15,DANAPOINT,L01-726-1,63
MY2014-15,DANAPOINT,L01-726-2,63
MY2014-15,DANAPOINT,L01-726-3,63
MY2014-15,DANAPOINT,L01-726-4,63
MY2014-15,DANAPOINT,L01-726-5,63
MY2014-15,DANAPOINT,L01-726-6,63
MY2014-15,DANAPOINT,L01-726-7,63
MY2014-15,DANAPOINT,L01-726-8,63
MY2014-15,DANAPOINT,L01-726-9,63
MY2014-15,DANAPOINT,L01-727-1 (L01S04),63
MY2014-15,DANAPOINT,L01-727-2,63
MY2014-15,DANAPOINT,L01-727-3,63
MY2014-15,DANAPOINT,L01-728-1,63
MY2014-15,DANAPOINT,L01-728-2,63
MY2014-15,DANAPOINT,L01-728-3 (L01S02),63
MY2014-15,DANAPOINT,L01-728-4,63
MY2014-15,DANAPOINT,L01-728-5 (L01-DP),63
MY2014-15,DANAPOINT,L01-728-6,63
MY2014-15,DANAPOINT,L01-728-7 (L01S03),63
MY2014-15,DANAPOINT,L01-728-8,63
MY2014-15,DANAPOINT,L01-728-8d,63
MY2014-15,DANAPOINT,L01-728-9,63
MY2014-15,DANAPOINT,SC11-035-1,63
MY2014-15,DANAPOINT,SC11-035-1d,63
MY2014-15,DANAPOINT,SC11-035-2,63
MY2014-15,DANAPOINT,SC11-035-2d,63
MY2014-15,DANAPOINT,SC11-035-4,63
MY2014-15,DANAPOINT,SC11-035-5,63
MY2014-15,ELTORO,F05-7158-1,67
MY2014-15,ELTORO,F05-7158-2,67
MY2014-15,ELTORO,F05-7197-1,67
MY2014-15,ELTORO,F05-7242-6,67
MY2014-15,ELTORO,F05-7773-1,67
MY2014-15,ELTORO,F05-7778-1,67
MY2014-15,ELTORO,F05-7780-1,67
MY2014-15,ELTORO,F05-7902-1,67
MY2014-15,ELTORO,F05-7902-2,67
MY2014-15,ELTORO,F05-7902-3,67
MY2014-15,ELTORO,F05-7902-4,67
MY2014-15,ELTORO,F05-7945-1,67
MY2014-15,ELTORO,F05-7945-2,67
MY2014-15,ELTORO,F05-8639-3,67
MY2014-15,ELTORO,F05-8639-4,67
MY2014-15,ELTORO,F05-8639-5,67
MY2014-15,ELTORO,F05-8639-6,67
MY2014-15,ELTORO,F05-8639-7,67
MY2014-15,ELTORO,F05-8639-8,67
MY2014-15,ELTORO,F05-8640-1,67
MY2014-15,ELTORO,F14-8163-10,67
MY2014-15,ELTORO,F14-8163-11,67
MY2014-15,ELTORO,F14-8163-12,67
MY2014-15,ELTORO,F14-8163-13,67
MY2014-15,ELTORO,F17-8754-1,67
MY2014-15,ELTORO,F18-8716-1,134
MY2014-15,ELTORO,F19-7021-1,67
MY2014-15,ELTORO,F19-7021-2,67
MY2014-15,ELTORO,F19-7021-3,67
MY2014-15,ELTORO,F19-7022-1,67
MY2014-15,ELTORO,F19-7130-1,134
MY2014-15,ELTORO,F19-7170-1,67
MY2014-15,ELTORO,F19-7170-2,67
MY2014-15,ELTORO,F19-7170-3,67
MY2014-15,ELTORO,F19-7170-4,67
MY2014-15,ELTORO,F19-7261-1,67
MY2014-15,ELTORO,F19-7261-2,67
MY2014-15,ELTORO,F19-7783-1,67
MY2014-15,ELTORO,F19-7789-1,134
MY2014-15,ELTORO,F19-7920-1,67
MY2014-15,ELTORO,F19-7920-2,67
MY2014-15,ELTORO,F19-7920-3,67
MY2014-15,ELTORO,F19-7920-4,67
MY2014-15,ELTORO,F19-7921-1,67
MY2014-15,ELTORO,F19-7921-2,67
MY2014-15,ELTORO,F19-7921-3,67
MY2014-15,ELTORO,F19-7921-4,67
MY2014-15,ELTORO,F19-7921-5,67
MY2014-15,ELTORO,F19-7942-1,134
MY2014-15,ELTORO,F19-7942-2,134
MY2014-15,ELTORO,F19-8403-1,134
MY2014-15,ELTORO,F19-8403-2,67
MY2014-15,ELTORO,F19-8403-3,67
MY2014-15,ELTORO,F19-8503-1,67
MY2014-15,ELTORO,F19-8505-1,67
MY2014-15,ELTORO,F19-8505-2,67
MY2014-15,ELTORO,F19-8505-3,67
MY2014-15,ELTORO,F19-8581-1,67
MY2014-15,ELTORO,F19-8587-1,67
MY2014-15,ELTORO,F19-8881-1,67
MY2014-15,ELTORO,F20-7260-1,134
MY2014-15,ELTORO,F20-7260-2,67
MY2014-15,ELTORO,F20-8398-1,134
MY2014-15,ELTORO,F20-8398-2,67
MY2014-15,ELTORO,F20-8398-3,67
MY2014-15,ELTORO,F20-8404-1,67
MY2014-15,ELTORO,F20-8404-10,67
MY2014-15,ELTORO,F20-8404-11,67
MY2014-15,ELTORO,F20-8404-2,67
MY2014-15,ELTORO,F20-8404-3,67
MY2014-15,ELTORO,F20-8404-4,67
MY2014-15,ELTORO,F20-8404-5,67
MY2014-15,ELTORO,F20-8404-6,67
MY2014-15,ELTORO,F20-8404-7,67
MY2014-15,ELTORO,F20-8404-8,67
MY2014-15,ELTORO,F20-8404-9,67
MY2014-15,ELTORO,F20-8679-1,67
MY2014-15,ELTORO,F20-8714-1,67
MY2014-15,ELTORO,F20-8714-2,67
MY2014-15,ELTORO,F23-7016-1,67
MY2014-15,ELTORO,F23-7040-1 (LGHF23S02),67
MY2014-15,ELTORO,F23-7044-1,67
MY2014-15,ELTORO,F23-7052-1 (LWF23P07@SM),67
MY2014-15,ELTORO,F23-7055-1 (LWF23P09XXX),67
MY2014-15,ELTORO,F23-7072-1,134
MY2014-15,ELTORO,F23-7072-2,67
MY2014-15,ELTORO,F23-7089-1,67
MY2014-15,ELTORO,F23-7091-1,67
MY2014-15,ELTORO,F23-7091-2,67
MY2014-15,ELTORO,F23-7101-1,67
MY2014-15,ELTORO,F23-7101-2,67
MY2014-15,ELTORO,F23-7191-1,67
MY2014-15,ELTORO,F23-7191-2,67
MY2014-15,ELTORO,F23-8071-1,67
MY2014-15,ELTORO,F23-8071-2,67
MY2014-15,ELTORO,F23-8071-3,67
MY2014-15,ELTORO,F23-8071-4,67
MY2014-15,ELTORO,F23-8071-5,67
MY2014-15,ELTORO,F23-8072-1,134
MY2014-15,ELTORO,F23-8072-2,67
MY2014-15,ELTORO,F23-8072-3,67
