FacilityID,ObsRecordDate,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,AvgDischarge,VolumeDischargeCFS,date,rain_gage,wet_within_72,GlobalID,QInscfsV,QInscfsF,QInscfsFadj,QInscfs
L02-166-2 (L02P25),2023-06-12T00:00:00Z,Direct Connection,Flowing,Unknown,NA,NA,0.241467,0.035,2023-06-12,TRABUCO,FALSE,{FF3574C5-E460-4A7F-94BD-7DEF35298977},0.035,NA,NA,0.035
L02-166-2 (L02P25),2022-11-23T00:00:00Z,Undetermined,Flowing,Unknown,NA,0.21,0.241467,0.044,2022-11-23,TRABUCO,FALSE,{FF3574C5-E460-4A7F-94BD-7DEF35298977},0.044,0.21,0.14489999999999997,0.044
L03-708-9,2023-06-27T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.087413,0.048275,NA,2023-06-27,SULPHURCREEK,FALSE,{FD9D5E93-9C46-49EC-B628-B56D1864239C},NA,0.087413,0.060314969999999996,0.060314969999999996
L03-708-9,2023-09-01T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.053774,0.048275,NA,2023-09-01,SULPHURCREEK,FALSE,{FD9D5E93-9C46-49EC-B628-B56D1864239C},NA,0.053774,0.03710406,0.03710406
J01-10004-2,2023-09-26T00:00:00Z,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,NA,NA,7.54e-4,NA,2023-09-26,ELTORO,FALSE,{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},NA,NA,NA,NA
J01-10004-2,2023-05-16T00:00:00Z,None - Flow Infiltrates or Outfall is Dry,Other - See Comments,Unknown,NA,NA,7.54e-4,NA,2023-05-16,ELTORO,FALSE,{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},NA,NA,NA,NA
DP06-12106-1,2023-09-08T00:00:00Z,None - Flow Infiltrates or Outfall is Dry,Flowing,Yes,NA,0.64625,0.331812,NA,2023-09-08,DANAPOINT,FALSE,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},NA,0.64625,0.44591249999999993,0.44591249999999993
M01-124-4,2023-05-23T00:00:00Z,None - Flow Infiltrates or Outfall is Dry,Other - See Comments,Unknown,NA,NA,6e-4,NA,2023-05-23,PALISADES,FALSE,{FA68CCE1-A2A8-414F-8411-9E05511C841E},NA,NA,NA,NA
M01-124-4,2023-08-01T00:00:00Z,None - Flow Infiltrates or Outfall is Dry,Other - See Comments,Unknown,NA,NA,6e-4,NA,2023-08-01,PALISADES,FALSE,{FA68CCE1-A2A8-414F-8411-9E05511C841E},NA,NA,NA,NA
M02-086-1,2023-05-23T00:00:00Z,Unsafe to Access,Other - See Comments,Unknown,NA,NA,3.71e-4,NA,2023-05-23,PALISADES,FALSE,{F86F746E-958B-4AF4-8B9D-F230E1352261},NA,NA,NA,NA
