FACILITYID,ObsRecordDate,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,VolumeDischargeCFS,date,rain_gage,wet_within_72,GlobalID,QInscfsV,QInscfsF,QInscfsFadj,QInscfs,MonitoringYear,QIns_Day,QInscf
L02-166-2 (L02P25),2023-06-12T00:00:00Z,Direct Connection,Flowing,Unknown,NA,NA,0.035,2023-06-12,TRABUCO,FALSE,{FF3574C5-E460-4A7F-94BD-7DEF35298977},0.035,NA,NA,0.035,MY2022-23,3024,3412.7999999999997
L02-166-2 (L02P25),2022-11-23T00:00:00Z,Undetermined,Flowing,Unknown,NA,0.21,0.044,2022-11-23,TRABUCO,FALSE,{FF3574C5-E460-4A7F-94BD-7DEF35298977},0.044,0.21,0.14489999999999997,0.044,MY2022-23,3801.5999999999995,3412.7999999999997
L03-708-9,2023-06-27T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.087413,NA,2023-06-27,SULPHURCREEK,FALSE,{FD9D5E93-9C46-49EC-B628-B56D1864239C},NA,0.087413,0.060314969999999996,0.060314969999999996,MY2022-23,5211.213408,4208.502096
L03-708-9,2023-09-01T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.053774,NA,2023-09-01,SULPHURCREEK,FALSE,{FD9D5E93-9C46-49EC-B628-B56D1864239C},NA,0.053774,0.03710406,0.03710406,MY2022-23,3205.790784,4208.502096
DP06-12106-1,2023-09-08T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.64625,NA,2023-09-08,DANAPOINT,FALSE,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},NA,0.64625,0.44591249999999993,0.44591249999999993,MY2022-23,38526.83999999999,38526.83999999999
K01-12155-5,2023-06-28T00:00:00Z,Undetermined,Flowing,Unknown,NA,0.146939,NA,2023-06-28,SULPHURCREEK,FALSE,{F833764D-81C4-470D-A336-B65195ACDDC4},NA,0.146939,0.10138790999999998,0.10138790999999998,MY2022-23,8759.915423999999,4974.150384
K01-12155-5,2023-08-30T00:00:00Z,Direct Connection,Flowing,Unknown,NA,0.019934,NA,2023-08-30,SULPHURCREEK,FALSE,{F833764D-81C4-470D-A336-B65195ACDDC4},NA,0.019934,0.01375446,0.01375446,MY2022-23,1188.385344,4974.150384
J01-9066-2 (J01P03),2023-08-17T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.019033,0.02,2023-08-17,ELTORO,FALSE,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},0.02,0.019033,0.01313277,0.02,MY2022-23,1728,2476.7999999999997
J01-9066-2 (J01P03),2023-07-05T00:00:00Z,Direct Connection,Flowing,Yes,NA,NA,0.024,2023-07-05,ELTORO,FALSE,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},0.024,NA,NA,0.024,MY2022-23,2073.6,2476.7999999999997
L01-766-8,2023-06-05T00:00:00Z,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,NA,0,0,2023-06-05,PALISADES,FALSE,{F793BB7D-2AA5-48FA-8294-218E3F3B93B5},0,0,0,0,MY2022-23,0,0
