FACILITYID,JURISDICTI2,Acres,AREA,PERCENTAGE,area_acres,JURISDICTI
DP04-12015-1,LAGUNA BEACH,118.0997707,117.9627752,65.93698008,178.90214373,LAGUNA BEACH
DP04-12015-1,LAGUNA NIGUEL,60.7117124,60.71069578,33.93511159,178.90214373,LAGUNA BEACH
DP04-12015-1,ORANGE CO,0.22883035,0.22882955,0.127907549,178.90214373,LAGUNA BEACH
DP06-12106-1,DANA POINT,66.55078859,66.54534452,100,66.54528569,DANA POINT
I00-11437-1,LAGUNA BEACH,584.5185296,583.8404889,96.47184583,605.19208238,LAGUNA BEACH
I00-11437-1,ORANGE CO,21.35220326,21.35212857,3.528154171,605.19208238,LAGUNA BEACH
I00-11453-1,LAGUNA BEACH,342.487129,342.0898444,100,342.08954194,LAGUNA BEACH
I00-11468-1,LAGUNA BEACH,205.1889505,204.9509316,91.76756832,223.33679991,LAGUNA BEACH
I00-11468-1,ORANGE CO,18.38613081,18.3860665,8.232432026,223.33679991,LAGUNA BEACH
I00-11518-1,LAGUNA BEACH,624.5335654,623.8091072,96.690419790000007,645.16066542,LAGUNA BEACH
I00-11518-1,ORANGE CO,21.35220326,21.35212857,3.309580209,645.16066542,LAGUNA BEACH
I01-11010-1,LAGUNA BEACH,12.16319583,12.14908654,100,12.1490758,LAGUNA BEACH
I01-11015-2,LAGUNA BEACH,24.11137886,24.08340969,9.814813201,245.37795985,LAGUNA BEACH
I01-11015-2,ORANGE CO,229.2178401,221.2947674,90.18518695,245.37795985,LAGUNA BEACH
I01-11023-1,LAGUNA BEACH,1.417887999,1.41624325,33.40107474,4.24010907,LAGUNA BEACH
I01-11023-1,ORANGE CO,2.924972976,2.823869268,66.59891828,4.24010907,LAGUNA BEACH
I01-11023-2,LAGUNA BEACH,16.83509957,16.81557088,100,16.81555601,LAGUNA BEACH
I01-11023-3,LAGUNA BEACH,0.732428491,0.731578875,2.021964214,36.18156164,LAGUNA BEACH
I01-11023-3,ORANGE CO,36.719240310000004,35.45001446,97.97803498,36.18156164,LAGUNA BEACH
I01-11023-4,LAGUNA BEACH,6.447827182,6.44034771,99.99999471,6.44034236,LAGUNA BEACH
I01-11023-5,LAGUNA BEACH,1.053108911,1.051887306,8.451122386,12.44670623,LAGUNA BEACH
I01-11023-5,ORANGE CO,11.80280145,11.39482948,91.54887409,12.44670623,LAGUNA BEACH
I01-11059-1,LAGUNA BEACH,282.771915,282.4438999,99.99999976,282.44365092,LAGUNA BEACH
I01-11059-2,LAGUNA BEACH,9.298575541,9.287789205,100,9.28778099,LAGUNA BEACH
I01-11077-1,LAGUNA BEACH,109.1753484,109.0487051,92.37171423,118.05411389,LAGUNA BEACH
I01-11077-1,ORANGE CO,9.327939735,9.005513067,7.628285715,118.05411389,LAGUNA BEACH
I01-11093-1,LAGUNA BEACH,13.25437584,13.23900078,15.10734659,87.63278849,LAGUNA BEACH
I01-11093-1,ORANGE CO,77.05740772,74.3938653,84.89265355,87.63278849,LAGUNA BEACH
I01-11093-2,LAGUNA BEACH,3.180440929,3.176751622,1.070402039,296.78090067,LAGUNA BEACH
I01-11093-2,ORANGE CO,304.1164046,293.6044114,98.92959796,296.78090067,LAGUNA BEACH
I01-11216-1 (I02P13),ALISO VIEJO,203.5235098,197.8417541,85.52948144,231.31390007,ALISO VIEJO
I01-11216-1 (I02P13),LAGUNA WOODS,68.62496037,29.5633434,12.7806056,231.31390007,ALISO VIEJO
I01-11216-3,ALISO VIEJO,1.380449649,1.341911705,27.53095221,4.87418855,ALISO VIEJO
I01-11216-3,LAGUNA WOODS,8.199428271,3.532279107,72.46900588,4.87418855,ALISO VIEJO
I01-11217-1,ALISO VIEJO,36.68870361,35.66446691,100,35.66443538,ALISO VIEJO
I01-11343-1,LAGUNA WOODS,77.39360002,33.34083637,100,33.3408069,LAGUNA WOODS
I01-11343-2 (I02P18),LAGUNA WOODS,107.3524162,46.24696799,98.79491313,46.81104081,LAGUNA WOODS
I01-11487-1,ALISO VIEJO,543.7338457,528.5544551,9.42798961,5606.22157779,LAGUNA BEACH
I01-11487-1,IRVINE,12281.72099,27.31992357,0.487313943,5606.22157779,LAGUNA BEACH
