JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
LAKE FOREST,Total,"Cadmium, Total",0.04024861659713218,0.025663675204269383,0.06591229180140157
MISSION VIEJO,Total,"Cadmium, Total",30.730304536285388,6.059255982380485,36.78956051866587
LAKE FOREST,Dissolved,"Cadmium, Total",0.036455167326861194,0.025663675204269383,0.06211884253113058
MISSION VIEJO,Dissolved,"Cadmium, Total",18.59822566885317,6.059255982380485,24.657481651233656
LAGUNA WOODS,Total,"Cadmium, Total",0.05571258906524923,0,0.05571258906524923
LAGUNA WOODS,Dissolved,"Cadmium, Total",0.0497464100524996,0,0.0497464100524996
RANCHO SANTA MARGARITA,Total,"Cadmium, Total",1.2838557709069565,10.560261353424764,11.84411712433172
RANCHO SANTA MARGARITA,Dissolved,"Cadmium, Total",0.744982196630777,10.560261353424764,11.305243550055541
LAGUNA NIGUEL,Total,"Cadmium, Total",2.3823792795336756,8.037458215878024,10.419837495411699
ALISO VIEJO,Total,"Cadmium, Total",0.11711822524475764,0.5655596345489093,0.682677859793667
LAGUNA NIGUEL,Dissolved,"Cadmium, Total",1.406207286483511,8.037458215878024,9.443665502361535
ALISO VIEJO,Dissolved,"Cadmium, Total",0.10484440195551216,0.5655596345489093,0.6704040365044215
ORANGE CO,Total,"Cadmium, Total",1.3575471166629491,11.72901796550003,13.08656508216298
ORANGE CO,Dissolved,"Cadmium, Total",0.9708667389036554,11.72901796550003,12.699884704403686
LAGUNA HILLS,Total,"Cadmium, Total",0.029852860317270254,0.30292007580520564,0.3327729361224759
LAGUNA HILLS,Dissolved,"Cadmium, Total",0.026408299511431376,0.30292007580520564,0.329328375316637
DANA POINT,Total,"Cadmium, Total",2.078191332589519,1.1575872728716112,3.23577860546113
SAN JUAN CAPISTRANO,Total,"Cadmium, Total",0.03592051456048024,0.23309340381172633,0.26901391837220656
DANA POINT,Dissolved,"Cadmium, Total",1.7807533413432937,1.1575872728716112,2.938340614214905
SAN JUAN CAPISTRANO,Dissolved,"Cadmium, Total",0.026811716555518728,0.23309340381172633,0.25990512036724506
SAN CLEMENTE,Total,"Cadmium, Total",20.726653619665186,123.41297877514221,144.1396323948074
SAN CLEMENTE,Dissolved,"Cadmium, Total",20.376069029313143,123.41297877514221,143.78904780445535
LAGUNA BEACH,Total,"Cadmium, Total",0.02328755844360448,0.024533755902334656,0.047821314345939135
LAGUNA BEACH,Dissolved,"Cadmium, Total",0.06392751385122715,0.024533755902334656,0.0884612697535618
LAKE FOREST,Total,"Chromium, Total",0.081487092056361607,0.060904736444914655,0.14239182850127627
