JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
ORANGE CO,40026133.00551573,Total,"2,4'-DDD",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,"2,4'-DDD",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,"2,4'-DDE",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,"2,4'-DDE",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,"2,4'-DDT",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,"2,4'-DDT",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,"4,4'-DDD",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,"4,4'-DDD",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,"4,4'-DDE",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,"4,4'-DDE",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,"4,4'-DDT",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,"4,4'-DDT",0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,Acenaphthene,1.1519607843137256,ng/L,46108535.5700794,0.00287845945261562
ORANGE CO,40026133.00551573,Dissolved,Acenaphthene,1.1519607843137256,ng/L,46108535.5700794,0.00287845945261562
ORANGE CO,40026133.00551573,Total,Acenaphthylene,1.1029411764705883,ng/L,44146470.22667176,0.002755971816334104
ORANGE CO,40026133.00551573,Dissolved,Acenaphthylene,1.1029411764705883,ng/L,44146470.22667176,0.002755971816334104
ORANGE CO,40026133.00551573,Total,Aldrin,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,Aldrin,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,Anthracene,1.1519607843137256,ng/L,46108535.5700794,0.00287845945261562
ORANGE CO,40026133.00551573,Dissolved,Anthracene,1.1519607843137256,ng/L,46108535.5700794,0.00287845945261562
ORANGE CO,40026133.00551573,Total,Azinphos Methyl,2.3529411764705883,ng/L,94179136.48356643,0.005879406541512756
ORANGE CO,40026133.00551573,Dissolved,Azinphos Methyl,2.3529411764705883,ng/L,94179136.48356643,0.005879406541512756
ORANGE CO,40026133.00551573,Total,Benz[a]anthracene,1.1519607843137256,ng/L,46108535.5700794,0.00287845945261562
