JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
ORANGE CO,Total,"2,4'-DDD",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,"2,4'-DDD",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,"2,4'-DDE",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,"2,4'-DDE",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,"2,4'-DDT",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,"2,4'-DDT",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,"4,4'-DDD",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,"4,4'-DDD",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,"4,4'-DDE",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,"4,4'-DDE",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,"4,4'-DDT",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,"4,4'-DDT",ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,Acenaphthene,ng/L,0.00287845945261562,0.00287845945261562
ORANGE CO,Dissolved,Acenaphthene,ng/L,0.00287845945261562,0.00287845945261562
ORANGE CO,Total,Acenaphthylene,ng/L,0.002755971816334104,0.002755971816334104
ORANGE CO,Dissolved,Acenaphthylene,ng/L,0.002755971816334104,0.002755971816334104
ORANGE CO,Total,Aldrin,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,Aldrin,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,Anthracene,ng/L,0.00287845945261562,0.00287845945261562
ORANGE CO,Dissolved,Anthracene,ng/L,0.00287845945261562,0.00287845945261562
ORANGE CO,Total,Azinphos Methyl,ng/L,0.005879406541512756,0.005879406541512756
ORANGE CO,Dissolved,Azinphos Methyl,ng/L,0.005879406541512756,0.005879406541512756
ORANGE CO,Total,Benz[a]anthracene,ng/L,0.00287845945261562,0.00287845945261562
ORANGE CO,Dissolved,Benz[a]anthracene,ng/L,0.00287845945261562,0.00287845945261562
ORANGE CO,Total,Benzo[a]pyrene,ng/L,0.002817215634474862,0.002817215634474862
ORANGE CO,Dissolved,Benzo[a]pyrene,ng/L,0.002817215634474862,0.002817215634474862
ORANGE CO,Total,Benzo[b]fluoranthene,ng/L,0.00297612759413975,0.00297612759413975
ORANGE CO,Dissolved,Benzo[b]fluoranthene,ng/L,0.00297612759413975,0.00297612759413975
ORANGE CO,Total,"Benzo[g,h,i]perylene",ng/L,0.003928507462342794,0.003928507462342794
ORANGE CO,Dissolved,"Benzo[g,h,i]perylene",ng/L,0.003928507462342794,0.003928507462342794
ORANGE CO,Total,Benzo[k]fluoranthene,ng/L,0.00287845945261562,0.00287845945261562
ORANGE CO,Dissolved,Benzo[k]fluoranthene,ng/L,0.00287845945261562,0.00287845945261562
ORANGE CO,Total,BHC-alpha,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,BHC-alpha,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,BHC-beta,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,BHC-beta,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,BHC-delta,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,BHC-delta,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,BHC-gamma,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,BHC-gamma,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,Bolstar (Sulprofos),ng/L,0.002351762616605102,0.002351762616605102
ORANGE CO,Dissolved,Bolstar (Sulprofos),ng/L,0.002351762616605102,0.002351762616605102
ORANGE CO,Total,Chlordane-alpha,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,Chlordane-alpha,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,Chlordane-gamma,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,Chlordane-gamma,ng/L,0.001175881308302551,0.001175881308302551
