Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS,LoadsJurs
J01-9377-1,Total,"2,4'-DDD",<,1,ng/L,LAKE FOREST,193643.67839086507,193643.67839086507,1.20887698906913e-5,1.3694471705235316e-4
J01-9377-1,Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,3801.919024571975,3801.919024571975,2.3734585406047658e-7,0.0018343573586910632
J01-10004-1 (J01P01),Total,"2,4'-DDD",<,1,ng/L,LAKE FOREST,987247.432440811,987247.432440811,6.163179265714553e-5,1.3694471705235316e-4
J01-9377-1,Dissolved,"2,4'-DDD",NA,0,ng/L,LAKE FOREST,193643.67839086507,0,0,0
J01-9377-1,Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,3801.919024571975,0,0,0
J01-10004-1 (J01P01),Dissolved,"2,4'-DDD",NA,0,ng/L,LAKE FOREST,987247.432440811,0,0,0
L04-266-5,Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,6892314.547799999,6892314.547799999,4.30272783883188e-4,0.0018343573586910632
L04-672-1,Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,2251802.3628672,2251802.3628672,1.4057531250294964e-4,0.0018343573586910632
I01-11343-2 (I02P18),Total,"2,4'-DDD",<,1,ng/L,LAGUNA WOODS,45186.8173673994,45186.8173673994,2.8209185127365017e-6,1.0789907241736988e-4
L04-672-1,Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,2251802.3628672,0,0,0
L04-266-5,Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,6892314.547799999,0,0,0
I01-11343-2 (I02P18),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA WOODS,45186.8173673994,0,0,0
L03-662-3 (L03P16),Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,728306.7412500001,728306.7412500001,4.546666680767739e-5,0.0018343573586910632
L03-214-2 (L03P18),Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,9795374.37498252,9795374.37498252,6.115047379616594e-4,0.0018343573586910632
L03-214-2 (L03P18),Total,"2,4'-DDD",<,1,ng/L,RANCHO SANTA MARGARITA,466591.0148327202,466591.0148327202,2.9128301312225902e-5,6.314661259334679e-4
L03-316-3 (L03P12),Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,7413529.826236038,7413529.826236038,4.628111637408963e-4,0.0018343573586910632
L03-662-3 (L03P16),Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,728306.7412500001,0,0,0
L03-316-3 (L03P12),Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,7413529.826236038,0,0,0
L03-214-2 (L03P18),Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,9795374.37498252,0,0,0
L03-214-2 (L03P18),Dissolved,"2,4'-DDD",NA,0,ng/L,RANCHO SANTA MARGARITA,466591.0148327202,0,0,0
L03-418-8,Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,251888.61272336388,251888.61272336388,1.5724879338182663e-5,8.641404420121476e-4
L03-418-8,Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,2298480.77152387,2298480.77152387,1.4348934794063193e-4,0.0018343573586910632
K01-12177-1 (K01P07),Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,4657608.619114088,4657608.619114088,2.9076476601379606e-4,8.641404420121476e-4
J03-9221-1 (J03P02),Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,3303913.5360000003,3303913.5360000003,2.0625641284723894e-4,8.641404420121476e-4
