Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS
J01-9377-1,Total,"2,4'-DDD",<,1,ng/L,LAKE FOREST,193643.67839086507,193643.67839086507,1.20887698906913e-5
J01-9377-1,Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,3801.919024571975,3801.919024571975,2.3734585406047658e-7
J01-10004-1 (J01P01),Total,"2,4'-DDD",<,1,ng/L,LAKE FOREST,987247.432440811,987247.432440811,6.163179265714553e-5
J01-9377-1,Dissolved,"2,4'-DDD",NA,0,ng/L,LAKE FOREST,193643.67839086507,0,0
J01-9377-1,Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,3801.919024571975,0,0
J01-10004-1 (J01P01),Dissolved,"2,4'-DDD",NA,0,ng/L,LAKE FOREST,987247.432440811,0,0
L04-266-5,Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,6892314.547799999,6892314.547799999,4.30272783883188e-4
L04-672-1,Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,2251802.3628672,2251802.3628672,1.4057531250294964e-4
I01-11343-2 (I02P18),Total,"2,4'-DDD",<,1,ng/L,LAGUNA WOODS,45186.8173673994,45186.8173673994,2.8209185127365017e-6
L04-672-1,Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,2251802.3628672,0,0
L04-266-5,Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,6892314.547799999,0,0
I01-11343-2 (I02P18),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA WOODS,45186.8173673994,0,0
L03-662-3 (L03P16),Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,728306.7412500001,728306.7412500001,4.546666680767739e-5
L03-214-2 (L03P18),Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,9795374.37498252,9795374.37498252,6.115047379616594e-4
L03-214-2 (L03P18),Total,"2,4'-DDD",<,1,ng/L,RANCHO SANTA MARGARITA,466591.0148327202,466591.0148327202,2.9128301312225902e-5
L03-316-3 (L03P12),Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,7413529.826236038,7413529.826236038,4.628111637408963e-4
L03-662-3 (L03P16),Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,728306.7412500001,0,0
L03-316-3 (L03P12),Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,7413529.826236038,0,0
L03-214-2 (L03P18),Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,9795374.37498252,0,0
L03-214-2 (L03P18),Dissolved,"2,4'-DDD",NA,0,ng/L,RANCHO SANTA MARGARITA,466591.0148327202,0,0
L03-418-8,Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,251888.61272336388,251888.61272336388,1.5724879338182663e-5
L03-418-8,Total,"2,4'-DDD",<,1,ng/L,MISSION VIEJO,2298480.77152387,2298480.77152387,1.4348934794063193e-4
K01-12177-1 (K01P07),Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,4657608.619114088,4657608.619114088,2.9076476601379606e-4
K01-12156-4 (SCNK01),Total,"2,4'-DDD",NA,0,ng/L,NA,NA,NA,NA
J03-9221-1 (J03P02),Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,3303913.5360000003,3303913.5360000003,2.0625641284723894e-4
J01-9224-1 (J01P24),Total,"2,4'-DDD",<,1,ng/L,ALISO VIEJO,3068.504293817672,3068.504293817672,1.9156030614996795e-7
J01-9224-1 (J01P24),Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,184232.00687644104,184232.00687644104,1.150121891990777e-5
J01-9224-2 (J01P25),Total,"2,4'-DDD",<,1,ng/L,ALISO VIEJO,31988.268700029792,31988.268700029792,1.9969607204822916e-6
J01-9224-2 (J01P25),Total,"2,4'-DDD",<,1,ng/L,LAGUNA NIGUEL,1920565.3226501578,1920565.3226501578,1.1989687677123933e-4
L03-418-8,Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,251888.61272336388,0,0
L03-418-8,Dissolved,"2,4'-DDD",NA,0,ng/L,MISSION VIEJO,2298480.77152387,0,0
K01-12177-1 (K01P07),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,4657608.619114088,0,0
J03-9221-1 (J03P02),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,3303913.5360000003,0,0
J01-9224-1 (J01P24),Dissolved,"2,4'-DDD",NA,0,ng/L,ALISO VIEJO,3068.504293817672,0,0
J01-9224-1 (J01P24),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,184232.00687644104,0,0
J01-9224-2 (J01P25),Dissolved,"2,4'-DDD",NA,0,ng/L,ALISO VIEJO,31988.268700029792,0,0
J01-9224-2 (J01P25),Dissolved,"2,4'-DDD",NA,0,ng/L,LAGUNA NIGUEL,1920565.3226501578,0,0
L01-404-1,Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,607900.6394999999,607900.6394999999,3.794996567089719e-5
L01-340-1,Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,294000.5583070091,294000.5583070091,1.8353840035688276e-5
L01-340-1,Total,"2,4'-DDD",<,1,ng/L,RANCHO SANTA MARGARITA,3611.8316279502988,3611.8316279502988,2.254790954036734e-7
L05-489-3,Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,11576026.50698835,11576026.50698835,7.226671268300317e-4
L05-049-1,Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,2073409.118979964,2073409.118979964,1.294385953463285e-4
L02-374-1 (L02P50),Total,"2,4'-DDD",<,1,ng/L,ORANGE CO,1549656.2752879742,1549656.2752879742,9.67418005962947e-5
L01-404-1,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,607900.6394999999,0,0
L01-340-1,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,294000.5583070091,0,0
L01-340-1,Dissolved,"2,4'-DDD",NA,0,ng/L,RANCHO SANTA MARGARITA,3611.8316279502988,0,0
L05-489-3,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,11576026.50698835,0,0
L05-049-1,Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,2073409.118979964,0,0
L02-374-1 (L02P50),Dissolved,"2,4'-DDD",NA,0,ng/L,ORANGE CO,1549656.2752879742,0,0
J01-9992-1 (J01P27),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,ALISO VIEJO,39297.39287168602,26198.261914457344,1.6355027050285404e-6
J01-9992-1 (J01P27),Total,"2,4'-DDD",<,0.6666666666666666,ng/L,ORANGE CO,115.26310269575279,76.84206846383519,4.797089640639006e-9
J01-9131-1 (J01P28),Total,"2,4'-DDD",<,1,ng/L,ALISO VIEJO,333862.55999999994,333862.55999999994,2.0842341441224708e-5
