FacilityID,AVGDISCHARGE,QInscfsAdj,QInsCFAdj
J01-10004-2,7.54e-4,5.202599999999999e-4,44.950464
M01-124-4,6e-4,4.139999999999999e-4,35.7696
M02-086-1,3.71e-4,2.5599e-4,22.117535999999998
J01-10006-1,0,0,0
L03-172-2,0.013291,0.00917079,792.3562559999999
L01-749-3,0,0,0
M02-015-1,0.020964,0.01446516,1249.789824
I01-11023-1,0.002155,0.0014869499999999997,128.47247999999996
K01-12155-1,4.4e-4,3.036e-4,26.23104
J01-9259-3,0.00601,0.004146899999999999,358.29215999999997
L02-344-2,0.408144,0.28161936,24331.912704000002
J07-9110-2,0.012035,0.00830415,717.47856
K01-12062-1,0.122807,0.08473683,7321.262112
L01-748-2,0,0,0
L01-618-2,NA,NA,NA
L01-749-2,0.077331,0.05335838999999999,4610.164895999999
I01-11216-3,NA,NA,NA
L01-218-1,NA,NA,NA
I01-11503-5,NA,NA,NA
M01-050-7,4e-6,2.76e-6,0.23846399999999995
L02-502-6,NA,NA,NA
M02-102-1,0.044,0.030359999999999995,2623.1039999999994
I01-11216-4 (I02P14),NA,NA,NA
L02-198-1 (L02P29),0.009971,0.00687999,594.4311359999999
M01-008-1,0,0,0
J03-9216-1 (J03P01),0.012897,0.00889893,768.8675519999999
L03-172-3,NA,NA,NA
L02-374-2 (MVL02P20),0.008624,0.00595056,514.128384
L03-455-5,0.006815,0.004702349999999999,406.2830399999999
M01-038-6,0.013791,0.00951579,822.164256
L01-749-5,0.008383,0.005784269999999999,499.760928
L01-618-3,0,0,0
L01-728-2,0.002166,0.00149454,129.128256
L03-691-1 (L03P09),0.31644,0.21834359999999997,18864.887039999998
SC10-075-1 (M00P05),0.006323,0.00436287,376.95196799999997
L01-602-2,NA,NA,NA
L04-266-1,0.00225,0.0015524999999999998,134.136
J01-9782-1 (J01TBN3),0.00112,7.727999999999999e-4,66.76991999999998
M00.1-071-2 (M00S04),0.072122,0.04976418,4299.625152
L01-766-9,0.173904,0.11999375999999999,10367.460863999999
J01-9264-1 (J01P06),0,0,0
I01-11503-3,0,0,0
L02-571-5 (L02TBN2),0,0,0
J01-9031-1,0.037166,0.025644539999999997,2215.688256
L01-414-3,0.232035,0.16010414999999997,13832.998559999998
L03-142-1 (L03P24),0.018174,0.012540059999999999,1083.461184
L02-502-1,0.026428,0.01823532,1575.5316479999997
L04-702-1 (L04P02),0.019946,0.013762739999999997,1189.1007359999996
L03-455-2,0.005791,0.00399579,345.23625599999997
J01-9040-1,0.352755,0.24340094999999998,21029.84208
M01-060-3,0.766255,0.5287159499999999,45681.058079999995
J01-9046-1,0.004585,0.0031636499999999996,273.33936
L01-514-1,0.019417,0.013397729999999998,1157.5638719999997
I00-11518-1,0.079534,0.05487845999999999,4741.498943999999
L01-728-9,0,0,0
I01-11015-2,0,0,0
J07-9109-2,0.068072,0.04696967999999999,4058.1803519999994
L02-541-9 (L02P02),0.048641,0.033562289999999995,2899.7818559999996
L02-401-2 (COL02P55),NA,NA,NA
L01-618-4,0,0,0
L01-618-1,0.081,0.055889999999999995,4828.896
L01-766-2 (L01S06),0.180442,0.12450497999999999,10757.230271999999
L01-391-1,0,0,0
L01-414-1,NA,NA,NA
I01-11217-1,0.001777,0.0012261299999999998,105.93763199999998
L01-335-2,0,0,0
L04-136-1 (L04P07),NA,NA,NA
L03-455-4,0,0,0
L01-747-1,0.045,0.031049999999999998,2682.72
I01-11487-1,0,0,0
J03-9215-1,NA,NA,NA
L01-730-1,0.023405,0.01614945,1395.31248
J01-9144-4 (J01P26),0.003827,0.0026406299999999997,228.15043199999997
K01-12156-1,NA,NA,NA
L02-359-1 (L02P43),0.010162,0.007011779999999999,605.8177919999999
SM01-086-1 (M03P01),NA,NA,NA
J01-9364-4,0,0,0
L01-556-1,0.015099,0.010418309999999998,900.141984
L01-303-1,NA,NA,NA
L01-766-4,0.001979,0.00136551,117.980064
L04-232-1,0.020937,0.014446529999999999,1248.1801919999998
J04-9249-1,1.180767,0.8147292299999999,70392.605472
I01-11216-1 (I02P13),NA,NA,NA
I01-11216-2 (I02P12),NA,NA,NA
J01-9377-1,0.001816,0.0012530399999999998,108.26265599999996
SC06-146-2 (M00P02),0.055256,0.038126639999999996,3294.1416959999997
L02-571-3,6.07e-4,4.1882999999999997e-4,36.186912
L01-125-3,0.034201,0.02359869,2038.9268160000001
J01-10041-2 (J03P13),2.4525,1.6922249999999999,146208.24
J01-9046-2,0.099449,0.06861980999999999,5928.751584
L01-726-2,0,0,0
L01-766-7,8.59e-4,5.927099999999999e-4,51.210143999999985
DP01-12022-1,0.055382,0.03821358,3301.6533119999995
I01-11343-1,0,0,0
M02-013-1,NA,NA,NA
L01-218-3,NA,NA,NA
J01-9273-1,0.001426,9.8394e-4,85.012416
L02-541-6,0.002091,0.0014427899999999998,124.65705599999998
J03-9216-5,NA,NA,NA
M02-028-2 (M02P08),0.040333,0.027829769999999997,2404.492128
L02-401-1,0,0,0
J01-9377-2 (J01TBN8),4.2e-5,2.8979999999999997e-5,2.503872
J01-9349-1,NA,NA,NA
J03-9234-5,0.012591,0.008687789999999999,750.6250559999999
L03-418-2,0.006795,0.00468855,405.09072
L01-242-1 (L07P16),NA,NA,NA
L01-372-1,0.007224,0.00498456,430.665984
I01-11487-2,0.008375,0.00577875,499.284
I01-11023-2,2.04e-4,1.4076e-4,12.161663999999998
L02-166-2 (L02P25),0.241467,0.16661222999999997,14395.296671999997
L01-749-2d,0.081752,0.05640888,4873.727232
K01-12156-3,0,0,0
L01-517-6,0.02934,0.020244599999999998,1749.1334399999996
L01-391-3,0.012479,0.00861051,743.948064
I01-11502-1,NA,NA,NA
SC02-072-4,NA,NA,NA
L02-622-1 (L02P28),0.014251,0.009833189999999999,849.5876159999998
L02-640-1 (L11P02),0.163333,0.11269976999999999,9737.260127999998
J01-9005-3,0.303774,0.20960405999999998,18109.790783999997
J01-9005-4,0.011,0.007589999999999999,655.7759999999998
SC06-146-1 (M00P02),0.003017,0.00208173,179.861472
L01-517-3,0.001664,0.0011481599999999998,99.201024
J01-9313-1,0.05,0.034499999999999996,2980.7999999999997
J01-9364-3 (J01P21),3.673333,2.53459977,218989.42012799997
I00-11518-2,0.0048,0.0033119999999999994,286.1568
L02-204-1 (L02P45),0.021742,0.01500198,1296.171072
SM01-086-2,0.02,0.0138,1192.32
SC11-035-1d,0,0,0
L02-166-1 (L02PXX),0.041916,0.02892204,2498.864256
L01-399-2,0.001,6.9e-4,59.616
I00-11468-1,0.039855,0.02749995,2375.99568
J01-10019-1 (J01P33),0.007265,0.005012849999999999,433.1102399999999
J05-9255-1 (J05P01),0,0,0
J07-9110-1,0.004715,0.0032533499999999995,281.08943999999997
L01-125-2,0.021,0.01449,1251.936
L01-303-2,0.07,0.0483,4173.12
L01-303-3,NA,NA,NA
L01-303-4,0.020775,0.014334749999999999,1238.5223999999998
L01-399-1,0,0,0
L01-724-2,0,0,0
