JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
LAKE FOREST,Total,"2,4'-DDD",0.5,ng/L
MISSION VIEJO,Total,"2,4'-DDD",0.5,ng/L
LAKE FOREST,Dissolved,"2,4'-DDD",0.5,ng/L
MISSION VIEJO,Dissolved,"2,4'-DDD",0.5,ng/L
LAGUNA WOODS,Total,"2,4'-DDD",0.5,ng/L
LAGUNA WOODS,Dissolved,"2,4'-DDD",0.5,ng/L
RANCHO SANTA MARGARITA,Total,"2,4'-DDD",0.46296296296296297,ng/L
RANCHO SANTA MARGARITA,Dissolved,"2,4'-DDD",0.46296296296296297,ng/L
LAGUNA NIGUEL,Total,"2,4'-DDD",0.5,ng/L
ALISO VIEJO,Total,"2,4'-DDD",0.48148148148148145,ng/L
LAGUNA NIGUEL,Dissolved,"2,4'-DDD",0.5,ng/L
ALISO VIEJO,Dissolved,"2,4'-DDD",0.48148148148148145,ng/L
ORANGE CO,Total,"2,4'-DDD",0.47058823529411764,ng/L
ORANGE CO,Dissolved,"2,4'-DDD",0.47058823529411764,ng/L
LAGUNA HILLS,Total,"2,4'-DDD",0.5,ng/L
LAGUNA HILLS,Dissolved,"2,4'-DDD",0.5,ng/L
DANA POINT,Total,"2,4'-DDD",0.5,ng/L
SAN JUAN CAPISTRANO,Total,"2,4'-DDD",0.5,ng/L
DANA POINT,Dissolved,"2,4'-DDD",0.5,ng/L
SAN JUAN CAPISTRANO,Dissolved,"2,4'-DDD",0.5,ng/L
SAN CLEMENTE,Total,"2,4'-DDD",0.4444444444444444,ng/L
SAN CLEMENTE,Dissolved,"2,4'-DDD",0.4444444444444444,ng/L
LAGUNA BEACH,Total,"2,4'-DDD",0.5,ng/L
LAGUNA BEACH,Dissolved,"2,4'-DDD",0.5,ng/L
LAKE FOREST,Total,"2,4'-DDE",0.5,ng/L
MISSION VIEJO,Total,"2,4'-DDE",0.5,ng/L
LAKE FOREST,Dissolved,"2,4'-DDE",0.5,ng/L
MISSION VIEJO,Dissolved,"2,4'-DDE",0.5,ng/L
LAGUNA WOODS,Total,"2,4'-DDE",0.5,ng/L
LAGUNA WOODS,Dissolved,"2,4'-DDE",0.5,ng/L
RANCHO SANTA MARGARITA,Total,"2,4'-DDE",0.46296296296296297,ng/L
RANCHO SANTA MARGARITA,Dissolved,"2,4'-DDE",0.46296296296296297,ng/L
LAGUNA NIGUEL,Total,"2,4'-DDE",0.5,ng/L
ALISO VIEJO,Total,"2,4'-DDE",0.48148148148148145,ng/L
LAGUNA NIGUEL,Dissolved,"2,4'-DDE",0.5,ng/L
ALISO VIEJO,Dissolved,"2,4'-DDE",0.48148148148148145,ng/L
ORANGE CO,Total,"2,4'-DDE",0.47058823529411764,ng/L
ORANGE CO,Dissolved,"2,4'-DDE",0.47058823529411764,ng/L
LAGUNA HILLS,Total,"2,4'-DDE",0.5,ng/L
LAGUNA HILLS,Dissolved,"2,4'-DDE",0.5,ng/L
DANA POINT,Total,"2,4'-DDE",0.5,ng/L
SAN JUAN CAPISTRANO,Total,"2,4'-DDE",0.5,ng/L
DANA POINT,Dissolved,"2,4'-DDE",0.5,ng/L
SAN JUAN CAPISTRANO,Dissolved,"2,4'-DDE",0.5,ng/L
SAN CLEMENTE,Total,"2,4'-DDE",0.4444444444444444,ng/L
SAN CLEMENTE,Dissolved,"2,4'-DDE",0.4444444444444444,ng/L
LAGUNA BEACH,Total,"2,4'-DDE",0.5,ng/L
LAGUNA BEACH,Dissolved,"2,4'-DDE",0.5,ng/L
LAKE FOREST,Total,"2,4'-DDT",0.5,ng/L
MISSION VIEJO,Total,"2,4'-DDT",0.5,ng/L
LAKE FOREST,Dissolved,"2,4'-DDT",0.5,ng/L
MISSION VIEJO,Dissolved,"2,4'-DDT",0.5,ng/L
LAGUNA WOODS,Total,"2,4'-DDT",0.5,ng/L
LAGUNA WOODS,Dissolved,"2,4'-DDT",0.5,ng/L
RANCHO SANTA MARGARITA,Total,"2,4'-DDT",0.46296296296296297,ng/L
RANCHO SANTA MARGARITA,Dissolved,"2,4'-DDT",0.46296296296296297,ng/L
LAGUNA NIGUEL,Total,"2,4'-DDT",0.5,ng/L
ALISO VIEJO,Total,"2,4'-DDT",0.48148148148148145,ng/L
LAGUNA NIGUEL,Dissolved,"2,4'-DDT",0.5,ng/L
ALISO VIEJO,Dissolved,"2,4'-DDT",0.48148148148148145,ng/L
ORANGE CO,Total,"2,4'-DDT",0.47058823529411764,ng/L
ORANGE CO,Dissolved,"2,4'-DDT",0.47058823529411764,ng/L
LAGUNA HILLS,Total,"2,4'-DDT",0.5,ng/L
LAGUNA HILLS,Dissolved,"2,4'-DDT",0.5,ng/L
DANA POINT,Total,"2,4'-DDT",0.5,ng/L
SAN JUAN CAPISTRANO,Total,"2,4'-DDT",0.5,ng/L
DANA POINT,Dissolved,"2,4'-DDT",0.5,ng/L
SAN JUAN CAPISTRANO,Dissolved,"2,4'-DDT",0.5,ng/L
SAN CLEMENTE,Total,"2,4'-DDT",0.4444444444444444,ng/L
SAN CLEMENTE,Dissolved,"2,4'-DDT",0.4444444444444444,ng/L
LAGUNA BEACH,Total,"2,4'-DDT",0.5,ng/L
LAGUNA BEACH,Dissolved,"2,4'-DDT",0.5,ng/L
LAKE FOREST,Total,"4,4'-DDD",0.5,ng/L
MISSION VIEJO,Total,"4,4'-DDD",0.5,ng/L
LAKE FOREST,Dissolved,"4,4'-DDD",0.5,ng/L
MISSION VIEJO,Dissolved,"4,4'-DDD",0.5,ng/L
LAGUNA WOODS,Total,"4,4'-DDD",0.5,ng/L
LAGUNA WOODS,Dissolved,"4,4'-DDD",0.5,ng/L
RANCHO SANTA MARGARITA,Total,"4,4'-DDD",0.46296296296296297,ng/L
RANCHO SANTA MARGARITA,Dissolved,"4,4'-DDD",0.46296296296296297,ng/L
LAGUNA NIGUEL,Total,"4,4'-DDD",0.5,ng/L
ALISO VIEJO,Total,"4,4'-DDD",0.48148148148148145,ng/L
LAGUNA NIGUEL,Dissolved,"4,4'-DDD",0.5,ng/L
ALISO VIEJO,Dissolved,"4,4'-DDD",0.48148148148148145,ng/L
ORANGE CO,Total,"4,4'-DDD",0.47058823529411764,ng/L
ORANGE CO,Dissolved,"4,4'-DDD",0.47058823529411764,ng/L
LAGUNA HILLS,Total,"4,4'-DDD",0.5,ng/L
LAGUNA HILLS,Dissolved,"4,4'-DDD",0.5,ng/L
DANA POINT,Total,"4,4'-DDD",0.5,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDD",0.5,ng/L
DANA POINT,Dissolved,"4,4'-DDD",0.5,ng/L
SAN JUAN CAPISTRANO,Dissolved,"4,4'-DDD",0.5,ng/L
SAN CLEMENTE,Total,"4,4'-DDD",0.4444444444444444,ng/L
SAN CLEMENTE,Dissolved,"4,4'-DDD",0.4444444444444444,ng/L
LAGUNA BEACH,Total,"4,4'-DDD",0.5,ng/L
LAGUNA BEACH,Dissolved,"4,4'-DDD",0.5,ng/L
LAKE FOREST,Total,"4,4'-DDE",0.5,ng/L
MISSION VIEJO,Total,"4,4'-DDE",0.5,ng/L
LAKE FOREST,Dissolved,"4,4'-DDE",0.5,ng/L
MISSION VIEJO,Dissolved,"4,4'-DDE",0.5,ng/L
LAGUNA WOODS,Total,"4,4'-DDE",0.5,ng/L
LAGUNA WOODS,Dissolved,"4,4'-DDE",0.5,ng/L
RANCHO SANTA MARGARITA,Total,"4,4'-DDE",0.46296296296296297,ng/L
RANCHO SANTA MARGARITA,Dissolved,"4,4'-DDE",0.46296296296296297,ng/L
LAGUNA NIGUEL,Total,"4,4'-DDE",0.5,ng/L
ALISO VIEJO,Total,"4,4'-DDE",0.48148148148148145,ng/L
LAGUNA NIGUEL,Dissolved,"4,4'-DDE",0.5,ng/L
ALISO VIEJO,Dissolved,"4,4'-DDE",0.48148148148148145,ng/L
ORANGE CO,Total,"4,4'-DDE",0.47058823529411764,ng/L
ORANGE CO,Dissolved,"4,4'-DDE",0.47058823529411764,ng/L
LAGUNA HILLS,Total,"4,4'-DDE",0.5,ng/L
LAGUNA HILLS,Dissolved,"4,4'-DDE",0.5,ng/L
DANA POINT,Total,"4,4'-DDE",0.5,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDE",0.5,ng/L
DANA POINT,Dissolved,"4,4'-DDE",0.5,ng/L
SAN JUAN CAPISTRANO,Dissolved,"4,4'-DDE",0.5,ng/L
SAN CLEMENTE,Total,"4,4'-DDE",0.4444444444444444,ng/L
SAN CLEMENTE,Dissolved,"4,4'-DDE",0.4444444444444444,ng/L
LAGUNA BEACH,Total,"4,4'-DDE",0.5,ng/L
LAGUNA BEACH,Dissolved,"4,4'-DDE",0.5,ng/L
LAKE FOREST,Total,"4,4'-DDT",0.5,ng/L
MISSION VIEJO,Total,"4,4'-DDT",0.5,ng/L
LAKE FOREST,Dissolved,"4,4'-DDT",0.5,ng/L
MISSION VIEJO,Dissolved,"4,4'-DDT",0.5,ng/L
LAGUNA WOODS,Total,"4,4'-DDT",0.5,ng/L
LAGUNA WOODS,Dissolved,"4,4'-DDT",0.5,ng/L
RANCHO SANTA MARGARITA,Total,"4,4'-DDT",0.46296296296296297,ng/L
RANCHO SANTA MARGARITA,Dissolved,"4,4'-DDT",0.46296296296296297,ng/L
LAGUNA NIGUEL,Total,"4,4'-DDT",0.5,ng/L
ALISO VIEJO,Total,"4,4'-DDT",0.48148148148148145,ng/L
LAGUNA NIGUEL,Dissolved,"4,4'-DDT",0.5,ng/L
ALISO VIEJO,Dissolved,"4,4'-DDT",0.48148148148148145,ng/L
ORANGE CO,Total,"4,4'-DDT",0.47058823529411764,ng/L
ORANGE CO,Dissolved,"4,4'-DDT",0.47058823529411764,ng/L
LAGUNA HILLS,Total,"4,4'-DDT",0.5,ng/L
LAGUNA HILLS,Dissolved,"4,4'-DDT",0.5,ng/L
DANA POINT,Total,"4,4'-DDT",0.5,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDT",0.5,ng/L
DANA POINT,Dissolved,"4,4'-DDT",0.5,ng/L
SAN JUAN CAPISTRANO,Dissolved,"4,4'-DDT",0.5,ng/L
SAN CLEMENTE,Total,"4,4'-DDT",0.4444444444444444,ng/L
SAN CLEMENTE,Dissolved,"4,4'-DDT",0.4444444444444444,ng/L
LAGUNA BEACH,Total,"4,4'-DDT",0.5,ng/L
LAGUNA BEACH,Dissolved,"4,4'-DDT",0.5,ng/L
LAKE FOREST,Total,Acenaphthene,1.25,ng/L
MISSION VIEJO,Total,Acenaphthene,1.25,ng/L
LAKE FOREST,Dissolved,Acenaphthene,1.25,ng/L
MISSION VIEJO,Dissolved,Acenaphthene,1.25,ng/L
