Facility Identifier,Accessibility,GlobalID,Area (Acres),LOCDESC,SIZE1,LASTUPDATE,LASTEDITOR,SIZE2,SIZE3,CatchID,DrainID,INSPECTED,FACTYPE,JURISDICTI,MANAGEMENT,PRIORITY,FLOWMONITSTATUS,FLOWMONITDEPLOY,FLOWMONITRETURN,NEXTINSPECTION,POINT_X,POINT_Y,PERSISTENTFLOW,FACILITYID,SURVEYLINK,ACCESSIBILITY,FLOWMEASCOUNT,LASTDISCHARGE,LASTDISCHARGETREND,AVGFLOWWIDTH,AVGFLOWDEPTH,AVGFLOWVEL,AVGDISCHARGE,MAXDISCHARGE,MINDISCHARGE,PRIORITIZATIONSCORE2022,SAMPLECHWSRSDRY,SAMPLECHWSRSWET,SAMPLEDRY,SAMPLEWET,OCFSLOCATION
DP01-12022-1,Difficult accessibility,{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},NA,Strand Beach,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12022,DP01,1,0,DANA POINT,SOUTH,NA,NA,NA,NA,NA,-117.71479,33.464085,Unknown,DP01-12022-1,NA,2,5,0.0078,Below Average Discharge,0.406,0.082,4.28,0.055382,0.126,0.0078,NA,NA,NA,NA,NA,NA
DP01-12022-2,Difficult accessibility,{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},NA,Strand Beach,54,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12022,DP01,1,0,DANA POINT,SOUTH,NA,NA,NA,NA,NA,-117.716091,33.466503,Unknown,DP01-12022-2,NA,2,6,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
DP04-12015-1,Easily accessible,{B9E368D1-0601-4D99-B7EE-076F034D1D23},178.9021437,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12015,DP04,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7474477,33.50464905,Yes,DP04-12015-1,NA,1,11,0,Below Average Discharge,0.50727272,0.01818181,5.86363636,0.010065,0.045,0,NA,NA,NA,NA,NA,NA
DP06-12106-1,Easily accessible,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},66.54528569,DSB-5,60,2022-10-03T23:21:17Z,OCENVRESUSER,NA,NA,12106,DP06,1,0,DANA POINT,SOUTH,1,NA,NA,NA,NA,-117.688411,33.46389565,Yes,DP06-12106-1,NA,1,4,0.64625,20% Or More Above Average Discharge,1.7875,0.17,7.2,0.331812,0.64625,0.09,NA,NA,NA,NA,NA,NA
I00-11437-1,Difficult accessibility,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},605.1920824,NA,60,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,11437,I00,1,0,LAGUNA BEACH,SOUTH,2,NA,NA,NA,NA,-117.7702547,33.53349571,Yes,I00-11437-1,NA,2,5,0.19,20% Or More Above Average Discharge,1.33,0.07,6,0.126,0.19,0.05,48,NA,NA,1,NA,NA
I00-11453-1,Easily accessible,{171AC70D-B722-42FD-9ADA-813B331846A7},342.0895419,Cleo (I02P02),48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11453,I00,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7805154,33.53709679,Unknown,I00-11453-1,NA,1,13,0,Below Average Discharge,0.22,0.00846153,1.7076923,0.013896,0.108,0,NA,NA,NA,NA,NA,NA
I00-11468-1,Inaccessible,{60A6CD6E-DA16-422B-8EDA-6D2EFD365167},223.3367999,Bluebird Canyon Ln,48,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,11468,I00,1,0,LAGUNA BEACH,SOUTH,2,NA,NA,NA,NA,-117.7690133,33.53565787,Yes,I00-11468-1,NA,2,14,0.005263,Below Average Discharge,0.66357142,0.04714285,6.24285714,0.039855,0.3,0.0024,55,NA,NA,1,NA,NA
I00-11518-1,Easily accessible,{77142EB8-ED5A-457E-A15B-0DA4FE92CCF2},645.1606654,BLUBRD,84,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11518,I00,1,0,LAGUNA BEACH,SOUTH,1,NA,NA,NA,NA,-117.7733308,33.52971644,Unknown,I00-11518-1,NA,1,13,0,Below Average Discharge,1.08153846,0.03538461,2.84615384,0.079534,0.576,0,NA,NA,NA,NA,NA,NA
I00-11518-2,Easily accessible,{43927D34-5C8D-480F-9527-A565DA0C7C0C},NA,813Added,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11518,I00,1,0,LAGUNA BEACH,SOUTH,NA,NA,NA,NA,NA,-117.772636,33.528629,Unknown,I00-11518-2,NA,1,1,0.0048,Equal,0.4,0.02,10,0.0048,0.0048,0.0048,NA,NA,NA,NA,NA,NA
I01-11010-1,Difficult accessibility,{25FC0B7A-A34B-48D1-86FD-00FA62D21B2B},12.1490758,Laguna Canyon Wash at Ocean Ave and Beach St,48,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,11010,I01,1,0,LAGUNA BEACH,SOUTH,2,NA,NA,NA,NA,-117.7834119,33.54416454,Yes,I01-11010-1,NA,2,16,0.05,Above Average Discharge,1.564375,0.081875,15.439375,0.044262,0.28,9.94E-04,57,NA,NA,1,NA,NA
