"","Jurisdiction","Inspected","ObsWeather","FacilityID","AvgDischarge","ObsRecordDate","FlowContribution","FlowCondition","PersistentFlow","FlowConnectivity","IDIC","Priority","PrioritizationScore2022","Conductivity","FloatDischargeCFS","VolumeDischargeCFS","LastDischargeTrend","ScourWaterCondition","DissWaterCondition","Comments","TrashCondition","TrashLocation","SampleDry","SampleWet","OCFSLocation","MaintenanceIssue","PointY","PointX"
"1","Rancho Santa Margarita","Verified",2,"L02-166-2 (L02P25)",0.241467,2022-12-12,,"Flowing","Unknown","Undetermined","None","Not A Priority",,590,,,"Below Average Discharge","Not present","Brown ""tea"" tint","Turb:19.6 NTU","Not Present (0 Items)",,,"Yes",,"None",33.63763055,-117.6178921
"2","Rancho Santa Margarita","Verified",1,"L02-166-2 (L02P25)",0.241467,2023-08-10,,"Other - See Comments","Unknown",,,"Not A Priority",,,,,"Below Average Discharge",,,"Trabuco pump station gate locked; DA1 key did not give access with any of the padlocks",,,,"Yes",,,33.63763055,-117.6178921
"3","Rancho Santa Margarita","Verified",1,"L02-166-2 (L02P25)",0.241467,2023-06-12,"Minor Fraction (10 - 50%)","Flowing","Unknown","Direct Connection","None","Not A Priority",,1693,,0.035,"Below Average Discharge","Not present","Not present","2 liters in 2 seconds bottle fill method. through 2 gates to access outfall. surrounding vegetation is abundant","Sparse (<10 Items)","In flow path of outfall",,"Yes",,"Graffiti",33.63763055,-117.6178921
"4","Rancho Santa Margarita","Verified",1,"L02-166-2 (L02P25)",0.241467,2022-11-23,,"Flowing","Unknown","Undetermined",,"Not A Priority",,,0.21,0.044,"Below Average Discharge","Not present","Not present","Flow meter install",,,,"Yes",,,33.63763055,-117.6178921
"5","Laguna Niguel","Verified",1,"L03-708-9",0.048275,2023-06-27,"Small Fraction (<10%)","Flowing","Yes","Direct Connection",,"Priority",53,4742,0.087413,,"Above Average Discharge","Not present","Not present","73 degrees outside","Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.56260598,-117.67595162
"6","Laguna Niguel","Verified",1,"L03-708-9",0.048275,2023-09-01,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",53,1850,0.053774,,"Above Average Discharge","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.56260598,-117.67595162
"7","Lake Forest","Verified",1,"J01-10004-2",0.000754,2023-09-26,,"Pooled or Ponded","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"20% Or More Above Average Discharge","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,,33.63406841,-117.6746996
"8","Lake Forest","Verified",1,"J01-10004-2",0.000754,2023-05-16,,"Other - See Comments","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"20% Or More Above Average Discharge","Not present","Not present","Wet but not flowing","Sparse (<10 Items)","In flow path of outfall",,,,"Graffiti",33.63406841,-117.6746996
"9","Dana Point","Verified",1,"DP06-12106-1",0.331812,2023-06-15,,"Pooled or Ponded","Yes",,,"Not A Priority",,,,,"20% Or More Above Average Discharge","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,,33.46389565,-117.68841095
"10","Dana Point","Verified",1,"DP06-12106-1",0.331812,2023-09-08,,"Flowing","Yes","Undetermined","None","Not A Priority",,7458,0.64625,,"20% Or More Above Average Discharge","Not present","Not present","access outfall via the butterfly garden located outside the Tide Pool and Aquarium","Sparse (<10 Items)","In flow path of outfall",,,,"Other - See Comments",33.46389565,-117.68841095
"11","San Clemente","Verified",1,"M01-124-4",6e-04,2023-05-23,"Small Fraction (<10%)","Other - See Comments","Unknown","None - Flow Infiltrates or Outfall is Dry",,,,,,,"20% Or More Above Average Discharge","Not present","Not present","Outfall is damp. Not enough flow to conduct flow measurements.","Not Present (0 Items)",,,,,"Graffiti",33.46509434,-117.6391214
"12","San Clemente","Verified",1,"M01-124-4",6e-04,2023-08-01,,"Other - See Comments","Unknown","None - Flow Infiltrates or Outfall is Dry",,,,,,,"20% Or More Above Average Discharge","Not present","Not present","A brown silty material is present but it is not flowing","Not Present (0 Items)",,,,,"Graffiti",33.46509434,-117.6391214
"13","San Juan Capistrano","Verified",1,"L01-749-2d",0.081752,2023-06-08,,,"Yes",,,,,,,,"Above Average Discharge","Not present","Not present","Could not access outfall due to overgrown brush and thistle.",,,,,,,33.50766038,-117.64028598
"14","San Juan Capistrano","Verified",1,"L01-749-2d",0.081752,2023-08-16,,"Pooled or Ponded","Yes",,"None",,,,,,"Above Average Discharge","Not present","Not present",,"Not Present (0 Items)",,,,,"Overgrown",33.50766038,-117.64028598
"15","San Clemente","Verified",1,"M02-086-1",0.000371,2023-05-23,,"Other - See Comments","Unknown","Unsafe to Access",,"Not A Priority",,,,,"Below Average Discharge","Not present","Not present","Inaccessible due to overgrown vegetation, flow condition cannot be determined due to distance from site and abundant vegetation",,,,,,"Overgrown",33.47727634,-117.59994514
"16","San Clemente","Verified",1,"M02-086-1",0.000371,2023-08-01,,"Dry","Unknown",,,"Not A Priority",,,,,"Below Average Discharge","Not present","Not present",,"Not Present (0 Items)",,,,,,33.47727634,-117.59994514
"17","Laguna Niguel","Verified",1,"K01-12155-5",0.061386,2023-06-28,"Major Fraction (>50%)","Flowing","Unknown","Undetermined","None","Not A Priority",,2264,0.146939,,"Below Average Discharge","Not present","Not present","air temp 65 F, overgrown vegetation downstream","Not Present (0 Items)",,,,,,33.50234645,-117.72005298
"18","Laguna Niguel","Verified",1,"K01-12155-5",0.061386,2023-08-30,,"Flowing","Unknown","Direct Connection","None","Not A Priority",,1221,0.019934,,"Below Average Discharge","Not present","Not present","time=1.99 sec; temp= 21.8 degrees C; blue water hose found within outfall path, leading downstream to RW and diverting to the right into bushes - water appears to be cycling through hose unknown if illicit connection/discharge exists","Sparse (<10 Items)","In flow path of outfall",,,,"Other - See Comments",33.50234645,-117.72005298
"19","Laguna Niguel","Verified",1,"K01-12156-3",0,2023-06-19,,"Pooled or Ponded","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present","Ponded above the outfall and water surface was covered with alzoa so could not see structure.",,,,,,,33.50412766,-117.70947404
"20","Laguna Niguel","Verified",1,"K01-12156-3",0,2023-08-31,,"Other - See Comments","Unknown",,,"Not A Priority",,,,,"Equal","Not present","Not present","Inaccessible due to overgrown vegetation.",,,,,,"Overgrown",33.50412766,-117.70947404
"21","Mission Viejo","Verified",1,"J01-9066-2 (J01P03)",0.083379,2023-08-17,"Minor Fraction (10 - 50%)","Flowing","Yes","Direct Connection","None","Priority",64,2370,0.019033,0.02,"Below Average Discharge","Brown ""tea"" tint","Not present",,"Moderate (11-50 Items)","Within area surrounding outfall",,,1,"Graffiti",33.61059435,-117.69276829
"22","Mission Viejo","Verified",1,"J01-9066-2 (J01P03)",0.083379,2023-07-05,"Small Fraction (<10%)","Flowing","Yes","Direct Connection","None","Priority",64,3755,,0.024,"Below Average Discharge","Not present","Not present","A lot of flies","Moderate (11-50 Items)","In flow path of outfall",,,1,"None",33.61059435,-117.69276829
"23","Mission Viejo","Verified",1,"J01-9066-2 (J01P03)",0.083379,2023-04-25,,"Flowing","Yes",,,"Priority",64,,0.014375,0.042,"Below Average Discharge","Not present","Not present",,,,,,1,,33.61059435,-117.69276829
"24","Lake Forest","Verified",1,"J01-10006-1",0,2023-07-17,"Small Fraction (<10%)","Pooled or Ponded","Yes","Unsafe to Access","None","Not A Priority",,,,,"Equal","Not present","Not present","Riparian veg and arundo.","Sparse (<10 Items)","In flow path of outfall",,,,"Overgrown",33.62836754,-117.68367057
"25","Lake Forest","Verified",1,"J01-10006-1",0,2023-09-25,,"Pooled or Ponded","Yes","Undetermined",,"Not A Priority",,,,,"Equal","Brown ""tea"" tint","Not present",,"Sparse (<10 Items)","In flow path of outfall",,,,,33.62836754,-117.68367057
"26","San Juan Capistrano","Verified",1,"L01-766-8",0,2023-06-05,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,"None",33.49262805,-117.66235245
"27","San Juan Capistrano","Verified",1,"L01-766-8",0,2023-08-07,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry",,"Not A Priority",,,,,"Equal","Not present","Not present",,"Sparse (<10 Items)","Within area surrounding outfall",,,,"Graffiti",33.49262805,-117.66235245
"28","Dana Point","Verified",1,"L01-727-3",0.007959,2023-09-06,,"Dry","Unknown","None - Flow Infiltrates or Outfall is Dry","None","Not A Priority",,,,,"Below Average Discharge","Not present","Not present",,"Moderate (11-50 Items)","Within area surrounding outfall",,,,"None",33.47155114,-117.68013751
