FACILITYID,Constituent,Fraction,Units,EMC_CF
I01-11021-1,"Copper, Total",Dissolved,NA,NA
I01-11021-1,"Copper, Total",Total,mg/L,1.6772550669491313
I01-11021-1,Fecal coliforms,Total,CFU/100 mL,2.148049989495433
I01-11021-1,"Lead, Total",Total,mg/L,0.4566723026607034
I01-11021-1,TN,Total,mg/L,0.73716369786485
I01-11021-1,TP,Total,mg/L,1.2513639523695914
I01-11021-1,TSS,Total,mg/L,0.10053645079901571
I01-11021-1,"Zinc, Total",Dissolved,NA,NA
I01-11021-1,"Zinc, Total",Total,mg/L,0.317447114301678
J01-9046-2,"Copper, Total",Dissolved,mg/L,1.0187210879429411
J01-9046-2,"Copper, Total",Total,mg/L,1.2578112275328721
J01-9046-2,Fecal coliforms,Total,CFU/100 mL,1.4576085091404714
J01-9046-2,"Lead, Total",Total,mg/L,1.344010414910829
J01-9046-2,TN,Total,mg/L,0.8915434232328727
J01-9046-2,TP,Total,mg/L,1.4605697583629569
J01-9046-2,TSS,Total,mg/L,0.8099369075149675
J01-9046-2,"Zinc, Total",Dissolved,mg/L,0.5789151942054881
J01-9046-2,"Zinc, Total",Total,mg/L,1.0114481949077736
J01-9273-1,"Copper, Total",Dissolved,mg/L,0.5635942222743567
J01-9273-1,"Copper, Total",Total,mg/L,0.4041392337952094
J01-9273-1,Fecal coliforms,Total,CFU/100 mL,0.7315151582061605
J01-9273-1,"Lead, Total",Total,mg/L,0.40282582134656364
J01-9273-1,TN,Total,mg/L,0.32064633685215504
J01-9273-1,TP,Total,mg/L,1.0381719164159122
J01-9273-1,TSS,Total,mg/L,0.11370957763954827
J01-9273-1,"Zinc, Total",Dissolved,mg/L,0.5408379337686029
J01-9273-1,"Zinc, Total",Total,mg/L,0.39920359705119685
J01-9992-1 (J01P27),"Copper, Total",Dissolved,mg/L,0.8950410805451251
J01-9992-1 (J01P27),"Copper, Total",Total,mg/L,0.5621938783915785
J01-9992-1 (J01P27),Fecal coliforms,Total,CFU/100 mL,1.4241806921833555
