FACILITYID,Constituent,Fraction,EMC_Model_Outfall
I01-11021-1,"Copper, Total",Dissolved,0.014941339137623681
I01-11021-1,"Copper, Total",Total,0.026829550786126664
I01-11021-1,Fecal coliforms,Total,11172.924334799809
I01-11021-1,"Lead, Total",Total,0.0024087293965302592
I01-11021-1,TN,Total,3.2557219067507726
I01-11021-1,TP,Total,0.3910133411414466
I01-11021-1,TSS,Total,85.54111401040424
I01-11021-1,"Zinc, Total",Dissolved,0.0797076303745306
I01-11021-1,"Zinc, Total",Total,0.14175589562057056
J01-9046-2,"Copper, Total",Dissolved,0.01400819506160946
J01-9046-2,"Copper, Total",Total,0.026086376062009555
J01-9046-2,Fecal coliforms,Total,10912.985041721613
J01-9046-2,"Lead, Total",Total,0.0024917773405481285
J01-9046-2,TN,Total,3.919190234807563
J01-9046-2,TP,Total,0.4483849908404623
J01-9046-2,TSS,Total,102.97464440795241
J01-9046-2,"Zinc, Total",Dissolved,0.05234910291671134
J01-9046-2,"Zinc, Total",Total,0.10630985806664686
J01-9273-1,"Copper, Total",Dissolved,0.014904340158247568
J01-9273-1,"Copper, Total",Total,0.0247439475402859
J01-9273-1,Fecal coliforms,Total,11483.01563647524
J01-9273-1,"Lead, Total",Total,0.002184567009776934
J01-9273-1,TN,Total,3.929563058070943
J01-9273-1,TP,Total,0.37704737896529783
J01-9273-1,TSS,Total,68.5958048734072
J01-9273-1,"Zinc, Total",Dissolved,0.06101643013472318
J01-9273-1,"Zinc, Total",Total,0.1152294226299284
J01-9992-1 (J01P27),"Copper, Total",Dissolved,0.014499630368632386
J01-9992-1 (J01P27),"Copper, Total",Total,0.02605807645378101
J01-9992-1 (J01P27),Fecal coliforms,Total,11062.378969437319
J01-9992-1 (J01P27),"Lead, Total",Total,0.0024768282240728756
J01-9992-1 (J01P27),TN,Total,3.324957487154887
J01-9992-1 (J01P27),TP,Total,0.3893292114477578
J01-9992-1 (J01P27),TSS,Total,82.44969907623606
J01-9992-1 (J01P27),"Zinc, Total",Dissolved,0.07911752306005602
J01-9992-1 (J01P27),"Zinc, Total",Total,0.13697473335494703
J03-9216-2,"Copper, Total",Dissolved,0.013419780708993632
J03-9216-2,"Copper, Total",Total,0.024952021083539378
J03-9216-2,Fecal coliforms,Total,11187.881642159426
J03-9216-2,"Lead, Total",Total,0.002332602185288247
J03-9216-2,TN,Total,3.7167908736848174
J03-9216-2,TP,Total,0.41624484132791345
J03-9216-2,TSS,Total,93.86256227117428
J03-9216-2,"Zinc, Total",Dissolved,0.059209423757217265
J03-9216-2,"Zinc, Total",Total,0.11230161719703756
J07-9109-4 (J07P02),"Copper, Total",Dissolved,0.014605005206909001
J07-9109-4 (J07P02),"Copper, Total",Total,0.026527686619924478
J07-9109-4 (J07P02),Fecal coliforms,Total,10880.284197120589
J07-9109-4 (J07P02),"Lead, Total",Total,0.002596350156666921
J07-9109-4 (J07P02),TN,Total,3.5770665426254102
J07-9109-4 (J07P02),TP,Total,0.4210067795502425
J07-9109-4 (J07P02),TSS,Total,90.71590733666453
J07-9109-4 (J07P02),"Zinc, Total",Dissolved,0.07005790072508193
J07-9109-4 (J07P02),"Zinc, Total",Total,0.1264631016103857
K01-12156-4,"Copper, Total",Dissolved,0.012669684745825601
K01-12156-4,"Copper, Total",Total,0.024139320739477124
K01-12156-4,Fecal coliforms,Total,10861.507727451857
K01-12156-4,"Lead, Total",Total,0.0023880836989896245
K01-12156-4,TN,Total,3.827288057814677
K01-12156-4,TP,Total,0.42151974173477363
K01-12156-4,TSS,Total,99.82144289545008
K01-12156-4,"Zinc, Total",Dissolved,0.05297078510108399
K01-12156-4,"Zinc, Total",Total,0.10153240107218743
L01-724-4 (L01P03),"Copper, Total",Dissolved,0.014052701757000881
L01-724-4 (L01P03),"Copper, Total",Total,0.027746653708873293
L01-724-4 (L01P03),Fecal coliforms,Total,10527.18548365103
L01-724-4 (L01P03),"Lead, Total",Total,0.0022624615745565992
L01-724-4 (L01P03),TN,Total,5.814804599575882
L01-724-4 (L01P03),TP,Total,0.5203729811796082
L01-724-4 (L01P03),TSS,Total,135.4761280930842
L01-724-4 (L01P03),"Zinc, Total",Dissolved,0.05077726582559531
L01-724-4 (L01P03),"Zinc, Total",Total,0.11259617820563315
L01-728-5 (L01-DP),"Copper, Total",Dissolved,0.013228699532815058
L01-728-5 (L01-DP),"Copper, Total",Total,0.024708140070500862
L01-728-5 (L01-DP),Fecal coliforms,Total,11345.434254575375
L01-728-5 (L01-DP),"Lead, Total",Total,0.0022840234304274403
L01-728-5 (L01-DP),TN,Total,3.135221181921002
L01-728-5 (L01-DP),TP,Total,0.37240719051864474
