FACILITYID,Constituent,Fraction,Units,RC_Group,EMC_Model_LU,EMC_Model_LU_divisor,EMC_ModelOutfall_adj,AREA,EMC_Group,RC,RC_M,RC_Event,RCandCF,RC_Mcf,RC_WMAcf_M,RC_WMAcf,LSPC_LU_DESC,RC_Model_Outfall,SUM_Area,...1,EMC,EMC_CF,EMC_Adj
I01-11021-1,Fecal coliforms,Total,CFU/100 mL,Commercial,27307.373518133194,1.0959167316818186,23999.999999999996,6.224789473560227,business,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,10,11600,2.148049989495433,24917.37987814702
I01-11021-1,Fecal coliforms,Total,CFU/100 mL,Commercial,27307.373518133194,1.0959167316818186,23999.999999999996,6.224789473560227,business,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,10,11600,2.148049989495433,24917.37987814702
I01-11021-1,TN,Total,mg/L,Commercial,2.1893277825968163,1.0959167316818186,2.4,6.224789473560227,business,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,11,2.71,0.73716369786485,1.9977136212137436
I01-11021-1,TN,Total,mg/L,Commercial,2.1893277825968163,1.0959167316818186,2.4,6.224789473560227,business,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,11,2.71,0.73716369786485,1.9977136212137436
I01-11021-1,TP,Total,mg/L,Commercial,0.4662728355606107,1.0959167316818186,0.48929999999999996,6.224789473560227,business,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,12,0.34,1.2513639523695914,0.4254637438056611
I01-11021-1,TP,Total,mg/L,Commercial,0.4662728355606107,1.0959167316818186,0.48929999999999996,6.224789473560227,business,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,12,0.34,1.2513639523695914,0.4254637438056611
I01-11021-1,TSS,Total,mg/L,Commercial,8.803348328106326,1.0959167316818186,8.6,6.224789473560227,business,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,13,79.9,0.10053645079901571,8.032862418841356
I01-11021-1,TSS,Total,mg/L,Commercial,8.803348328106326,1.0959167316818186,8.6,6.224789473560227,business,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,13,79.9,0.10053645079901571,8.032862418841356
I01-11021-1,"Copper, Total",Total,mg/L,Commercial,0.0466885500356586,1.0959167316818186,0.04499999999999999,6.224789473560227,business,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,14,0.0254,1.6772550669491313,0.04260227870050793
I01-11021-1,"Copper, Total",Total,mg/L,Commercial,0.0466885500356586,1.0959167316818186,0.04499999999999999,6.224789473560227,business,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,14,0.0254,1.6772550669491313,0.04260227870050793
I01-11021-1,"Lead, Total",Total,mg/L,Commercial,0.0010509971165012094,1.0959167316818186,0.0011,6.224789473560227,business,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,15,0.0021,0.4566723026607034,9.590118355874771e-4
I01-11021-1,"Lead, Total",Total,mg/L,Commercial,0.0010509971165012094,1.0959167316818186,0.0011,6.224789473560227,business,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,15,0.0021,0.4566723026607034,9.590118355874771e-4
I01-11021-1,"Zinc, Total",Total,mg/L,Commercial,0.05458482026561045,1.0959167316818186,0.044999999999999984,6.224789473560227,business,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,16,0.1569,0.317447114301678,0.04980745223393328
I01-11021-1,"Zinc, Total",Total,mg/L,Commercial,0.05458482026561045,1.0959167316818186,0.044999999999999984,6.224789473560227,business,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,16,0.1569,0.317447114301678,0.04980745223393328
J01-9992-1 (J01P27),Fecal coliforms,Total,CFU/100 mL,Commercial,447429.1235893234,27.083274182267548,15754.826537887839,149.2906996089398,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,10,11600,1.4241806921833555,16520.496029326925
J01-9992-1 (J01P27),Fecal coliforms,Total,CFU/100 mL,Commercial,447429.1235893234,27.083274182267548,15754.826537887839,149.2906996089398,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,10,11600,1.4241806921833555,16520.496029326925
J01-9992-1 (J01P27),Fecal coliforms,Total,CFU/100 mL,Commercial,447429.1235893234,27.083274182267548,15754.826537887839,4.541863728793009,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,10,11600,1.4241806921833555,16520.496029326925
J01-9992-1 (J01P27),Fecal coliforms,Total,CFU/100 mL,Commercial,447429.1235893234,27.083274182267548,15754.826537887839,4.541863728793009,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,10,11600,1.4241806921833555,16520.496029326925
J01-9992-1 (J01P27),TN,Total,mg/L,Commercial,153.20465317815524,27.083274182267548,6.9404494515103234,149.2906996089398,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,11,2.71,2.087379907359103,5.656799548943169
J01-9992-1 (J01P27),TN,Total,mg/L,Commercial,153.20465317815524,27.083274182267548,6.9404494515103234,149.2906996089398,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,11,2.71,2.087379907359103,5.656799548943169
J01-9992-1 (J01P27),TN,Total,mg/L,Commercial,153.20465317815524,27.083274182267548,6.9404494515103234,4.541863728793009,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,11,2.71,2.087379907359103,5.656799548943169
J01-9992-1 (J01P27),TN,Total,mg/L,Commercial,153.20465317815524,27.083274182267548,6.9404494515103234,4.541863728793009,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,11,2.71,2.087379907359103,5.656799548943169
J01-9992-1 (J01P27),TP,Total,mg/L,Commercial,14.255319062226471,27.083274182267548,0.6027175657090524,149.2906996089398,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,12,0.34,1.5480923290286637,0.5263513918697457
J01-9992-1 (J01P27),TP,Total,mg/L,Commercial,14.255319062226471,27.083274182267548,0.6027175657090524,149.2906996089398,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,12,0.34,1.5480923290286637,0.5263513918697457
J01-9992-1 (J01P27),TP,Total,mg/L,Commercial,14.255319062226471,27.083274182267548,0.6027175657090524,4.541863728793009,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,12,0.34,1.5480923290286637,0.5263513918697457
J01-9992-1 (J01P27),TP,Total,mg/L,Commercial,14.255319062226471,27.083274182267548,0.6027175657090524,4.541863728793009,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,12,0.34,1.5480923290286637,0.5263513918697457
J01-9992-1 (J01P27),TSS,Total,mg/L,Commercial,957.5877494985976,27.083274182267548,36.485450299811305,149.2906996089398,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,13,79.9,0.442517689070951,35.357163356768986
J01-9992-1 (J01P27),TSS,Total,mg/L,Commercial,957.5877494985976,27.083274182267548,36.485450299811305,149.2906996089398,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,13,79.9,0.442517689070951,35.357163356768986
J01-9992-1 (J01P27),TSS,Total,mg/L,Commercial,957.5877494985976,27.083274182267548,36.485450299811305,4.541863728793009,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,13,79.9,0.442517689070951,35.357163356768986
J01-9992-1 (J01P27),TSS,Total,mg/L,Commercial,957.5877494985976,27.083274182267548,36.485450299811305,4.541863728793009,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,13,79.9,0.442517689070951,35.357163356768986
J01-9992-1 (J01P27),"Copper, Total",Total,mg/L,Commercial,0.3867416941826161,27.083274182267548,0.014649691064975417,149.2906996089398,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,14,0.0254,0.5621938783915785,0.014279724511146095
J01-9992-1 (J01P27),"Copper, Total",Total,mg/L,Commercial,0.3867416941826161,27.083274182267548,0.014649691064975417,149.2906996089398,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,14,0.0254,0.5621938783915785,0.014279724511146095
J01-9992-1 (J01P27),"Copper, Total",Total,mg/L,Commercial,0.3867416941826161,27.083274182267548,0.014649691064975417,4.541863728793009,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,14,0.0254,0.5621938783915785,0.014279724511146095
J01-9992-1 (J01P27),"Copper, Total",Total,mg/L,Commercial,0.3867416941826161,27.083274182267548,0.014649691064975417,4.541863728793009,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,14,0.0254,0.5621938783915785,0.014279724511146095
J01-9992-1 (J01P27),"Lead, Total",Total,mg/L,Commercial,0.01593157556471586,27.083274182267548,6.937997748488767e-4,149.2906996089398,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,15,0.0021,0.28011622610953546,5.882440748300245e-4
J01-9992-1 (J01P27),"Lead, Total",Total,mg/L,Commercial,0.01593157556471586,27.083274182267548,6.937997748488767e-4,149.2906996089398,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,15,0.0021,0.28011622610953546,5.882440748300245e-4
J01-9992-1 (J01P27),"Lead, Total",Total,mg/L,Commercial,0.01593157556471586,27.083274182267548,6.937997748488767e-4,4.541863728793009,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,15,0.0021,0.28011622610953546,5.882440748300245e-4
J01-9992-1 (J01P27),"Lead, Total",Total,mg/L,Commercial,0.01593157556471586,27.083274182267548,6.937997748488767e-4,4.541863728793009,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,15,0.0021,0.28011622610953546,5.882440748300245e-4
J01-9992-1 (J01P27),"Zinc, Total",Total,mg/L,Commercial,2.580776290171963,27.083274182267548,0.08318915517156528,149.2906996089398,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,16,0.1569,0.6073321198296808,0.09529040960127692
J01-9992-1 (J01P27),"Zinc, Total",Total,mg/L,Commercial,2.580776290171963,27.083274182267548,0.08318915517156528,149.2906996089398,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,16,0.1569,0.6073321198296808,0.09529040960127692
J01-9992-1 (J01P27),"Zinc, Total",Total,mg/L,Commercial,2.580776290171963,27.083274182267548,0.08318915517156528,4.541863728793009,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,16,0.1569,0.6073321198296808,0.09529040960127692
J01-9992-1 (J01P27),"Zinc, Total",Total,mg/L,Commercial,2.580776290171963,27.083274182267548,0.08318915517156528,4.541863728793009,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,16,0.1569,0.6073321198296808,0.09529040960127692
J01-9992-1 (J01P27),"Copper, Total",Dissolved,mg/L,Commercial,0.33209680894651394,27.083274182267548,0.012977764832645643,149.2906996089398,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,17,0.0137,0.8950410805451251,0.012262062803468214
J01-9992-1 (J01P27),"Copper, Total",Dissolved,mg/L,Commercial,0.33209680894651394,27.083274182267548,0.012977764832645643,149.2906996089398,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,17,0.0137,0.8950410805451251,0.012262062803468214
J01-9992-1 (J01P27),"Copper, Total",Dissolved,mg/L,Commercial,0.33209680894651394,27.083274182267548,0.012977764832645643,4.541863728793009,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,17,0.0137,0.8950410805451251,0.012262062803468214
J01-9992-1 (J01P27),"Copper, Total",Dissolved,mg/L,Commercial,0.33209680894651394,27.083274182267548,0.012977764832645643,4.541863728793009,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,17,0.0137,0.8950410805451251,0.012262062803468214
J01-9992-1 (J01P27),"Zinc, Total",Dissolved,mg/L,Commercial,2.001021172783851,27.083274182267548,0.06272017875873111,149.2906996089398,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,18,0.0932,0.7927469962769421,0.073884020053011007
J01-9992-1 (J01P27),"Zinc, Total",Dissolved,mg/L,Commercial,2.001021172783851,27.083274182267548,0.06272017875873111,149.2906996089398,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,18,0.0932,0.7927469962769421,0.073884020053011007
J01-9992-1 (J01P27),"Zinc, Total",Dissolved,mg/L,Commercial,2.001021172783851,27.083274182267548,0.06272017875873111,4.541863728793009,business,0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,18,0.0932,0.7927469962769421,0.073884020053011007
J01-9992-1 (J01P27),"Zinc, Total",Dissolved,mg/L,Commercial,2.001021172783851,27.083274182267548,0.06272017875873111,4.541863728793009,business,0.486,0.43090185850815593,0.10840535406298948,0.1222668248798367,NA,0.06483467551000736,0.08802841737352897,UTIL,0.08802841737352897,307.6651266754656,18,0.0932,0.7927469962769421,0.073884020053011007
