jurisdicti,EMC_Group,RC,EMC_Group_Area,RC_Group,Juris_LU_Volume,"Copper, Total - Dissolved - mg/L","Copper, Total - Total - mg/L",Fecal coliforms - Total - CFU/100 mL,"Lead, Total - Total - mg/L",TN - Total - mg/L,TP - Total - mg/L,TSS - Total - mg/L,"Zinc, Total - Dissolved - mg/L","Zinc, Total - Total - mg/L"
ALISO VIEJO,agriculture,0.222,12.713845295428296,Agriculture,6.65398164304183,0.10963614842130384,0.2605697763435736,62555193088.201515,0.02682479712665496,91.74724755697088,16.972730576346684,2983.887621869098,0.1735639258918748,1.0477758432552209
ALISO VIEJO,business,0.414,67.45681443990236,Light Industrial,65.8381881774169,1.882812665305646,2.7555894365767415,11876576219398.475,0.16410231768330014,622.557007358254,83.506038392540745,6478.092260826614,10.563806208837619,16.628566199088105
ALISO VIEJO,business,0.422,203.84030133874364,Education,202.79358139136917,5.799405087780496,8.487716113659726,36582012550362.37,0.5054649533784652,1917.5886918737904,257.213770035628,19953.701134919098,32.53844240734106,51.21900505265161
ALISO VIEJO,business,0.486,515.2237748248427,Commercial,590.3150638866895,16.881580577695924,24.70702793209986,106487162599564.97,1.4713659781482133,5581.939444953492,748.7276572037507,58083.546231690474,94.71666990975281,149.0942170478159
ALISO VIEJO,developed open space,0.217,965.3937189078367,Developed Open Space,493.87370523457383,0.4867514382930332,8.863439827000466,88437409160557.81,1.5696716724277104,4562.294376565246,826.8807869849866,102424.05063562878,16.273511115114466,19.823727215946775
ALISO VIEJO,highway/arterial,0.45,222.66752750617496,Freeway,236.22241324311338,16.882753765213383,18.054259562901528,5372729306456.779,1.6269048149691447,2346.4607829932065,534.9052955619377,16308.034534299635,113.44279612365375,116.63072942013305
ALISO VIEJO,multi-family,0.485,795.0498647189866,Multi-family Residential,909.0500771963801,24.318793426830812,35.94567979112258,164137366978553.97,2.4662993013156083,10142.425419959683,1313.897805933755,92719.66125629375,77.43417482465345,157.36215302973088
ALISO VIEJO,open space,0.078,274.59559094128105,Open Space,50.494010240237465,0.04015281460815001,0.8606875362874312,347684097045.26495,0.2726028875933604,182.8461185719549,20.621201621817455,26138.434963424334,1.2194535246479201,1.9232980919209846
ALISO VIEJO,single family,0.405,589.1525823100146,Single Family Residential,562.5155211823231,13.660982070115331,25.390471216185382,90718639251186.1,2.002877884308993,4255.579006717989,829.3924275300576,99327.1273655813,27.777433331506252,89.0266378898271
ALISO VIEJO,surface street,0.471,652.3989982438969,Streets and Roads,724.4124306675538,22.10293037961249,37.63403848210666,109067231259543.47,3.533138835281128,6278.962327783782,1283.7849528118086,112656.23607525534,75.23244839916148,159.8000517786312
DANA POINT,agriculture,0.222,31.27477386830112,Agriculture,16.368122025583418,0.26969383927463214,0.6409753023335445,153879449738.53876,0.06598628854646024,225.6889519817494,41.75120102285002,7340.061834473905,0.4269497078051473,2.5774226287194764
DANA POINT,business,0.414,30.868449558783,Light Industrial,30.12776111162,0.8615809725109996,1.2609663565341573,5434758474789.226,0.07509373453143552,284.884036381914,38.212624704809166,2964.3953075878203,4.834030806432115,7.609283972470049
DANA POINT,business,0.422,62.57923053946657,Education,62.25788619064641,1.780424703046644,2.605739590953506,11230724159804.15,0.15517838052312338,588.7021557588112,78.96495299148928,6125.811506541283,9.989343007398354,15.724299386044779
DANA POINT,business,0.486,356.9595247509444,Commercial,408.9845906857708,11.69596838210299,17.11762806685105,73776888433651.58,1.0193980285033422,3867.3030027322297,518.7366766492858,40241.68928493714,65.62200567796314,103.29608892484741
