FACILITYID,RC_M
DP02-12131-1,0.3977525572812228
DP04-12015-1,0.18097054271416224
DP05-12190-1,0.37104711657007117
DP06-12106-1,0.40351939478435284
I00-11437-1,0.3203016201747733
I00-11453-1,0.35420958136593284
I00-11468-1,0.2298262367245765
I00-11518-1,0.32701033649553674
I01-11010-1,0.4811590690639667
I01-11010-2,0.44007765333543475
I01-11015-1,0.43525713917388614
I01-11015-2,0.09429730712790513
I01-11021-1,0.46548409472929275
I01-11023-1,0.21502348572288216
I01-11023-2,0.3928123586320867
I01-11023-3,0.08900160518812393
I01-11023-4,0.29456942941241154
I01-11023-5,0.15991367496074596
I01-11023-6,0.10777346200217423
I01-11059-1,0.27841561699864326
I01-11059-2,0.380039177326742
I01-11077-1,0.25773525597921976
I01-11093-1,0.1285303796227358
I01-11093-2,0.07963100067954662
I01-11216-1 (I02P13),0.3942576833579824
I01-11216-3,0.4515371116143455
I01-11216-4,0.33642532647028345
I01-11217-1,0.29166054499729877
I01-11343-1,0.42775866553839176
I01-11343-2 (I02P18),0.47737352986115467
I01-11487-1,0.1824968249553439
I01-11487-2,0.40836589398998974
I01-11502-1,0.4253676019964974
I01-11502-2,0.23996702532963538
I01-11503-1,0.4588570276766522
I01-11503-2,0.41010035419516994
I01-11503-3,0.30151831988526767
J01-10004-1 (J01P01),0.38118441117011603
J01-10004-2,0.4115758337888346
J01-10006-1,0.41720197709908796
J01-10012-3,0.29824995934745024
J01-10017-1 (J01TBN4),0.3077574091524532
J01-10018-1 (J01TBN5),0.28318354475657237
J01-10019-1 (J01P33),0.4447461077252596
J01-10041-2 (J03P13),0.3637992026464004
J01-9005-1 (J03P05),0.36817177511179155
J01-9005-3,0.3815048641740718
J01-9005-6,0.4137527166532812
J01-9007-1 (J02P05),0.3932700675241094
J01-9008-1 (J01P30),0.4235753528746206
J01-9031-1,0.3866830904029057
J01-9033-1,0.37831760341367476
J01-9040-1,0.3951043565491779
J01-9046-1,0.3604624960878815
J01-9046-2,0.3595627386095262
J01-9046-3,0.3945393409012303
J01-9048-1,0.3708850835122923
J01-9058-1,0.4189271162889018
J01-9066-1 (J01P04),0.42352997596973985
J01-9066-2 (J01P03),0.4289848920732221
J01-9082-2,0.31646218274907556
J01-9082-3,0.31646218274907556
J01-9082-4,0.31646218274907556
J01-9082-5 (J02P08),0.3898371761908242
J01-9096-1,0.3971954677458956
J01-9131-1 (J01P28),0.4237111414901915
J01-9144-1 (J01P23),0.4233186859583463
J01-9144-2,0.4359540964766376
J01-9144-3,0.09835629217962066
J01-9144-4 (J01P26),0.4381778336197972
J01-9224-1 (J01P24),0.46854253730158685
J01-9224-2 (J01P25),0.46854253730158685
J01-9259-3,0.44263017325296833
