jurisdicti,EMC_Group,RC,EMC_Group_Area,Area_Rainfall,Juris_LU_Volume
ALISO VIEJO,agriculture,0.222,12.713845295428296,28.29,6.65398164304183
ALISO VIEJO,business,0.414,67.45681443990236,28.29,65.8381881774169
ALISO VIEJO,business,0.422,203.84030133874364,28.29,202.79358139136917
ALISO VIEJO,business,0.486,515.2237748248427,28.29,590.3150638866895
ALISO VIEJO,developed open space,0.217,965.3937189078367,28.29,493.87370523457383
ALISO VIEJO,highway/arterial,0.45,222.66752750617496,28.29,236.22241324311338
ALISO VIEJO,multi-family,0.485,795.0498647189866,28.29,909.0500771963801
ALISO VIEJO,open space,0.078,274.59559094128105,28.29,50.494010240237465
ALISO VIEJO,single family,0.405,589.1525823100146,28.29,562.5155211823231
ALISO VIEJO,surface street,0.471,652.3989982438969,28.29,724.4124306675538
DANA POINT,agriculture,0.222,31.27477386830112,28.29,16.368122025583418
DANA POINT,business,0.414,30.868449558783,28.29,30.12776111162
DANA POINT,business,0.422,62.57923053946657,28.29,62.25788619064641
DANA POINT,business,0.486,356.9595247509444,28.29,408.9845906857708
DANA POINT,developed open space,0.217,812.3868306572933,28.29,415.5988238605815
DANA POINT,highway/arterial,0.45,52.36644150676027,28.29,55.55424863348429
DANA POINT,multi-family,0.485,427.3359009687976,28.29,488.61052746896104
DANA POINT,open space,0.078,136.1628092608208,28.29,25.038298180926034
DANA POINT,single family,0.405,1438.7518159334993,28.29,1373.702249455606
DANA POINT,surface street,0.471,701.1575647210418,28.29,778.5530896088621
DANA POINT,water,0.797,21.733286051488772,28.29,40.83526882750867
IRVINE,agriculture,0.222,1.753809622229611,28.29,0.9178825729382003
IRVINE,developed open space,0.217,5.463935074238547,28.29,2.7952262454412704
IRVINE,highway/arterial,0.45,41.808437818076314,28.29,44.35352647025171
IRVINE,open space,0.078,47.015479306227,28.29,8.645441412225551
IRVINE,single family,0.405,0.00995174989807072,28.29,0.009501806405804197
LAGUNA BEACH,agriculture,0.222,162.94633459290824,28.29,85.28040840421743
LAGUNA BEACH,business,0.414,22.089434616369793,28.29,21.559398632749996
LAGUNA BEACH,business,0.422,54.680814564051886,28.29,54.400028581265474
LAGUNA BEACH,business,0.486,226.96410478445577,28.29,260.04298823626624
LAGUNA BEACH,developed open space,0.217,355.7116241091355,28.29,181.97406338269127
LAGUNA BEACH,highway/arterial,0.45,57.28668115054294,28.29,60.77400786558224
LAGUNA BEACH,multi-family,0.485,234.87001939179856,28.29,268.54744429734006
LAGUNA BEACH,open space,0.078,2084.0995014906416,28.29,383.2346368316066
LAGUNA BEACH,single family,0.405,1877.8150846611957,28.29,1792.9143701459514
LAGUNA BEACH,surface street,0.471,551.5925913983584,28.29,612.4787606183876
LAGUNA BEACH,water,0.797,4.007436105841081,28.29,7.5296819037577185
LAGUNA HILLS,agriculture,0.222,11.201015957602184,28.29,5.8622197166504675
LAGUNA HILLS,business,0.414,7.301468432653245,28.29,7.126269697611729
LAGUNA HILLS,business,0.422,73.2326405853135,28.29,72.85659097590792
LAGUNA HILLS,business,0.486,287.1573790390245,28.29,329.0091312470671
LAGUNA HILLS,developed open space,0.217,347.40437576847,28.29,177.72426204469446
LAGUNA HILLS,highway/arterial,0.45,99.7787458348112,28.29,105.85277698750532
LAGUNA HILLS,multi-family,0.485,194.21609113193236,28.29,222.0642508991123
LAGUNA HILLS,open space,0.078,134.8476536851397,28.29,24.79646079789191
LAGUNA HILLS,single family,0.405,1721.6556194272923,28.29,1643.8152647339361
LAGUNA HILLS,surface street,0.471,621.6059754309248,28.29,690.2203970139288
LAGUNA NIGUEL,agriculture,0.222,1.56619189939035,28.29,0.8196900234244305
LAGUNA NIGUEL,business,0.414,65.54446404635526,28.29,63.971724631562964
LAGUNA NIGUEL,business,0.422,97.36789873637672,28.29,96.86791457636542
LAGUNA NIGUEL,business,0.486,588.4083428461148,28.29,674.1659167742218
LAGUNA NIGUEL,developed open space,0.217,2273.768629900868,28.29,1163.2088712631112
LAGUNA NIGUEL,highway/arterial,0.45,81.32050618965789,28.29,86.2708920039533
LAGUNA NIGUEL,multi-family,0.485,713.0656450417872,28.29,815.3103452202165
LAGUNA NIGUEL,open space,0.078,1601.083171284556,28.29,294.4151789516606
LAGUNA NIGUEL,single family,0.405,2765.7103961667035,28.29,2640.6657148800164
LAGUNA NIGUEL,surface street,0.471,1230.535222676706,28.29,1366.3647768938174
LAGUNA NIGUEL,water,0.797,45.441317963141294,28.29,85.38094195719016
LAGUNA WOODS,business,0.486,12.041827738900428,28.29,13.796863922706471
LAGUNA WOODS,developed open space,0.217,159.54874427870422,28.29,81.62154772623882
LAGUNA WOODS,multi-family,0.485,513.4434853080536,28.29,587.0648630576621
LAGUNA WOODS,open space,0.078,7.606460732802005,28.29,1.3987140318512967
LAGUNA WOODS,single family,0.405,0.02174854940853365,28.29,0.020765243118400323
LAGUNA WOODS,surface street,0.471,63.34840427341328,28.29,70.34095950812332
LAKE FOREST,agriculture,0.222,9.323612435697246,28.29,4.8796524224086895
LAKE FOREST,business,0.414,176.41649416282718,28.29,172.18338038539014
LAKE FOREST,business,0.422,31.57801829265465,28.29,31.415865168721865
LAKE FOREST,business,0.486,446.9698423493028,28.29,512.113462022502
LAKE FOREST,developed open space,0.217,706.5654571516634,28.29,361.46299015600505
LAKE FOREST,highway/arterial,0.45,65.57838499331527,28.29,69.57046917978333
LAKE FOREST,multi-family,0.485,393.8112778265768,28.29,450.2788924259351
LAKE FOREST,open space,0.078,239.37101783335802,28.29,44.01673961428704
