LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,jurisdicti,acres_juris_soc,objectid,shape_area,acres,percentage
COMM,10,Commercial,business,0.486,ALISO VIEJO,4298.475848550746,1,21705819.16807296,498.29903562006666,11.592412287111507
COMM,10,Commercial,business,0.486,DANA POINT,4071.5603518392577,19,14180673.04278721,325.54476046027435,7.995545445752167
COMM,10,Commercial,business,0.486,LAGUNA BEACH,5632.041056195566,42,9638388.04306752,221.2678282078823,3.9287167996413705
COMM,10,Commercial,business,0.486,LAGUNA HILLS,3498.3869598294223,59,12301775.080425592,282.41102588782223,8.072574574729673
COMM,10,Commercial,business,0.486,LAGUNA NIGUEL,9463.77397689814,75,24893328.277186897,571.474468567464,6.038523152252862
COMM,10,Commercial,business,0.486,LAGUNA WOODS,756.0075788948667,93,524539.9181405355,12.041827738900428,1.5928120177366916
COMM,10,Commercial,business,0.486,LAKE FOREST,3303.943394927112,104,19101680.673252363,438.51600275951057,13.272450410940758
COMM,10,Commercial,business,0.486,MISSION VIEJO,11525.934391435894,121,33755534.09437251,774.9235334461424,6.723276460179201
COMM,10,Commercial,business,0.486,ORANGE CO,94761.16101626148,145,25942600.41160313,595.5625386206633,0.6284854997404369
COMM,10,Commercial,business,0.486,RANCHO SANTA MARGARITA,8280.210526037783,164,16060326.300465409,368.695834296679,4.452717214803026
COMM,10,Commercial,business,0.486,SAN CLEMENTE,11739.016173821115,181,18596635.293325383,426.9217098275877,3.636761342015351
COMM,10,Commercial,business,0.486,SAN JUAN CAPISTRANO,9220.309393249185,199,30992327.35890181,711.4887816479146,7.7165082574838655
EDU,20,Education,business,0.422,ALISO VIEJO,4298.475848550746,2,8879248.009217083,203.84030133874364,4.742134029834765
EDU,20,Education,business,0.422,DANA POINT,4071.5603518392577,20,2725940.378504938,62.57923053946657,1.5369778368758735
EDU,20,Education,business,0.422,LAGUNA BEACH,5632.041056195566,43,2381886.754834498,54.680814564051886,0.9708841838228536
EDU,20,Education,business,0.422,LAGUNA HILLS,3498.3869598294223,60,3190001.0638537207,73.2326405853135,2.0933175345078125
EDU,20,Education,business,0.422,LAGUNA NIGUEL,9463.77397689814,76,4241328.703590859,97.36789873637672,1.0288444071345473
EDU,20,Education,business,0.422,LAKE FOREST,3303.943394927112,105,1375532.9746796312,31.57801829265465,0.9557637103950573
EDU,20,Education,business,0.422,MISSION VIEJO,11525.934391435894,122,23577959.564514328,541.2776372046723,4.696152639030047
EDU,20,Education,business,0.422,ORANGE CO,94761.16101626148,146,6722009.760818296,154.31672747791563,0.162847424574232
EDU,20,Education,business,0.422,RANCHO SANTA MARGARITA,8280.210526037783,165,4745586.522241365,108.94411167686872,1.315711424948384
EDU,20,Education,business,0.422,SAN CLEMENTE,11739.016173821115,182,7187340.870521663,164.9993025705095,1.4055576730690476
EDU,20,Education,business,0.422,SAN JUAN CAPISTRANO,9220.309393249185,200,8789265.528775042,201.77457956709435,2.188362275753083
IND,30,Light Industrial,business,0.414,ALISO VIEJO,4298.475848550746,3,2938407.083338552,67.45681443990236,1.5693131004948593
IND,30,Light Industrial,business,0.414,DANA POINT,4071.5603518392577,21,1344624.2842673147,30.868449558783,0.758144873651793
IND,30,Light Industrial,business,0.414,LAGUNA BEACH,5632.041056195566,44,962211.9230298294,22.089434616369793,0.39220854461670057
IND,30,Light Industrial,business,0.414,LAGUNA HILLS,3498.3869598294223,61,318050.6927197878,7.301468432653245,0.20870873664486592
IND,30,Light Industrial,business,0.414,LAGUNA NIGUEL,9463.77397689814,77,2855105.433403239,65.54446404635526,0.6925799583629122
IND,30,Light Industrial,business,0.414,LAKE FOREST,3303.943394927112,106,7684671.746953546,176.41649416282718,5.339552389681544
IND,30,Light Industrial,business,0.414,MISSION VIEJO,11525.934391435894,123,5735472.307471677,131.66885329269357,1.1423657479400584
IND,30,Light Industrial,business,0.414,ORANGE CO,94761.16101626148,147,15381491.0362459,353.11185864083166,0.37263203870435274
IND,30,Light Industrial,business,0.414,RANCHO SANTA MARGARITA,8280.210526037783,166,4642199.27457289,106.57065756257336,1.2870473636539892
IND,30,Light Industrial,business,0.414,SAN CLEMENTE,11739.016173821115,183,11120054.738648783,255.28235121673973,2.1746399043017965
IND,30,Light Industrial,business,0.414,SAN JUAN CAPISTRANO,9220.309393249185,201,23506302.57299552,539.6326124538084,5.852628484686394
UTIL,40,Commercial,business,0.486,ALISO VIEJO,4298.475848550746,18,737238.690796434,16.924739204776035,0.39373657319938543
UTIL,40,Commercial,business,0.486,DANA POINT,4071.5603518392577,34,1368421.6587985307,31.41476429067005,0.7715626422569793
UTIL,40,Commercial,business,0.486,LAGUNA BEACH,5632.041056195566,57,248128.81515730187,5.696276576573464,0.10114013258521504
UTIL,40,Commercial,business,0.486,LAGUNA HILLS,3498.3869598294223,74,206750.31626262356,4.746353151202242,0.1356720745963462
UTIL,40,Commercial,business,0.486,LAGUNA NIGUEL,9463.77397689814,91,737636.613022727,16.933874278650844,0.1789329139152974
UTIL,40,Commercial,business,0.486,LAKE FOREST,3303.943394927112,120,368247.7795358126,8.453839589792237,0.25587017584646576
UTIL,40,Commercial,business,0.486,MISSION VIEJO,11525.934391435894,136,8398458.448438575,192.80284762105492,1.6727674291959636
UTIL,40,Commercial,business,0.486,ORANGE CO,94761.16101626148,162,9677848.592104286,222.17372138693275,0.23445558318434903
